barley	artificial data	e-value	description
11_20844	2_0010	0	none
11_20021	2_0011	7.00E-54	none
12_30532	2_0012	1.00E-176	none
11_10789	2_0013	1.00E-115	none
12_30014	2_0014	2.00E-75	none
11_21392	2_0015	7.00E-63	none
12_10905	2_0016	1.00E-126	none
12_11409	2_0017	1.00E-61	none
11_10729	2_0018	0	none
11_20959	2_0019	0	none
11_10338	2_0020	0	none
11_10854	2_0021	1.00E-143	none
12_30257	2_0022	4.00E-67	none
11_10911	2_0023	1.00E-136	none
12_21172	2_0024	1.00E-102	none
11_21038	2_0025	0	none
11_11528	2_0026	1.00E-39	none
11_20908	2_0027	1.00E-162	none
12_31105	2_0028	6.00E-66	none
11_10586	2_0029	0	none
12_11457	2_0030	5.00E-99	none
12_11443	2_0031	0	none
11_10722	2_0032	2.00E-95	none
11_21140	2_0033	9.00E-86	none
11_21068	2_0034	3.00E-45	none
11_11481	2_0035	6.00E-95	none
12_10207	2_0036	9.00E-97	none
12_31377	2_0037	8.00E-25	none
12_30403	2_0038	3.00E-23	none
11_10644	2_0039	1.00E-132	none
12_31387	2_0040	6.00E-27	none
12_10808	2_0041	0	none
12_10693	2_0042	0	none
11_11038	2_0043	1.00E-110	none
12_30649	2_0044	1.00E-36	none
11_20133	2_0045	0	none
11_10903	2_0046	1.00E-180	none
11_20383	2_0047	0	none
11_10782	2_0048	1.00E-68	none
12_11271	2_0049	1.00E-102	none
12_21105	2_0050	0	none
11_11509	2_0051	1.00E-107	none
11_10041	2_0052	0.0000003	none
12_11496	2_0053	1.00E-139	none
11_21384	2_0054	1.00E-115	none
11_11105	2_0055	0	none
12_30277	2_0056	1.00E-165	none
12_30517	2_0057	1.00E-144	none
12_20599	2_0058	1.00E-117	none
11_20603	2_0059	7.00E-92	none
11_20594	2_0060	1.00E-116	none
11_20840	2_0061	0	none
12_30231	2_0062	3.00E-38	none
11_20915	2_0063	1.00E-102	none
11_10590	2_0064	0	none
12_10746	2_0065	0	none
11_20509	2_0066	0	none
11_20772	2_0067	0	none
11_10443	2_0068	0	none
12_20429	2_0069	0	none
12_30048	2_0070	1.00E-102	none
12_31081	2_0071	1.00E-105	none
12_30934	2_0072	1.00E-101	none
12_10970	2_0073	1.00E-175	none
12_10718	2_0074	1.00E-77	none
12_21415	2_0075	6.00E-53	none
12_11030	2_0076	8.00E-59	none
12_31224	2_0077	0	none
11_10326	2_0078	0	none
12_10230	2_0079	5.00E-71	none
11_11059	2_0080	1.00E-156	none
12_30781	2_0081	9.00E-88	none
12_10592	2_0082	1.00E-177	none
11_21377	2_0083	1.00E-157	none
11_20563	2_0084	0	none
12_31497	2_0085	2.00E-18	none
12_30402	2_0086	0	none
12_10502	2_0087	1.00E-121	none
12_11119	2_0088	1.00E-99	none
12_30155	2_0089	0	none
12_30775	2_0090	1.00E-102	none
11_21416	2_0091	0	none
11_20562	2_0092	0	none
12_30631	2_0093	0	none
11_20112	2_0094	1.00E-49	none
11_21423	2_0095	1.00E-102	none
11_20107	2_0096	2.00E-54	none
11_20724	2_0097	0	none
11_10943	2_0098	1.00E-145	none
11_11040	2_0099	2.00E-85	none
12_31284	2_0100	5.00E-60	none
12_10777	2_0101	0	none
11_10180	2_0102	1.00E-106	none
11_10216	2_0103	0	none
12_30871	2_0104	2.00E-77	none
12_30872	2_0105	2.00E-77	none
11_20394	2_0106	1.00E-164	none
11_21015	2_0107	0	none
11_21265	2_0108	2.00E-85	none
11_21261	2_0109	0	none
11_21366	2_0110	1.00E-156	none
11_21187	2_0111	1.00E-31	none
12_20593	2_0112	1.00E-133	none
11_10787	2_0113	0	none
11_10987	2_0114	1.00E-80	none
11_10307	2_0115	1.00E-153	none
12_20368	2_0116	1.00E-153	none
11_10891	2_0117	1.00E-178	none
11_20864	2_0118	1.00E-159	none
11_11110	2_0119	1.00E-114	none
12_21049	2_0120	1.00E-119	none
12_11452	2_0121	2.00E-86	none
12_11304	2_0122	1.00E-63	none
12_10847	2_0123	0	none
11_21304	2_0124	1.00E-178	none
11_20173	2_0125	1.00E-129	none
11_10525	2_0126	5.00E-68	none
11_11073	2_0127	6.00E-43	none
11_10399	2_0128	1.00E-153	none
12_20326	2_0129	0	none
11_10919	2_0130	4.00E-96	none
12_10296	2_0131	1.00E-138	none
12_30420	2_0132	6.00E-33	none
11_10178	2_0133	2.00E-95	none
12_11057	2_0134	1.00E-133	none
12_30657	2_0135	1.00E-147	none
11_10837	2_0136	3.00E-83	none
11_21153	2_0137	1.00E-149	none
11_10648	2_0138	6.00E-35	none
12_30432	2_0139	1.00E-116	none
11_10342	2_0140	0	none
11_21338	2_0141	0.00000001	none
11_10084	2_0142	1.00E-76	none
12_30363	2_0143	1.00E-76	none
12_11493	2_0144	1.00E-134	none
12_30029	2_0145	1.00E-123	none
12_30379	2_0146	2.00E-96	none
12_10715	2_0147	0	none
12_30491	2_0148	0	none
12_10486	2_0149	1.00E-133	none
12_11340	2_0150	1.00E-148	none
12_20281	2_0151	0	none
12_31169	2_0152	3.00E-14	none
12_30703	2_0153	1.00E-138	none
11_11061	2_0154	0	none
11_10498	2_0155	0	none
11_11505	2_0156	7.00E-25	none
11_21005	2_0157	1.00E-128	none
11_11054	2_0158	0	none
11_10234	2_0159	2.00E-24	none
12_30604	2_0160	0	none
12_20688	2_0161	0	none
12_11428	2_0162	6.00E-27	none
12_10156	2_0163	1.00E-116	none
11_10297	2_0164	1.00E-135	none
12_30691	2_0165	7.00E-50	none
11_20674	2_0166	1.00E-51	none
11_10638	2_0167	0	none
12_11131	2_0168	0	none
11_11302	2_0169	0	none
11_10422	2_0170	1.00E-112	none
11_20929	2_0171	1.00E-107	none
12_31474	2_0172	1.00E-111	none
11_11400	2_0173	1.00E-163	none
11_11522	2_0174	3.00E-19	none
11_10147	2_0175	5.00E-73	none
12_20234	2_0176	5.00E-73	none
12_20235	2_0177	2.00E-36	none
12_20917	2_0178	1.00E-99	none
12_30195	2_0179	1.00E-134	none
12_10927	2_0180	2.00E-98	none
11_20602	2_0181	1.00E-115	none
11_20387	2_0182	1.00E-80	none
12_30338	2_0183	3.00E-28	none
11_21388	2_0184	1.00E-103	none
11_10325	2_0185	0	none
12_30259	2_0186	2.00E-77	none
11_10733	2_0187	1.00E-43	none
11_21096	2_0188	1.00E-63	none
12_11272	2_0189	1.00E-148	none
11_11015	2_0190	0	none
11_20891	2_0191	1.00E-133	none
12_30251	2_0192	1.00E-108	none
11_20748	2_0193	1.00E-142	none
12_20643	2_0194	0	none
12_30557	2_0195	0	none
12_10558	2_0196	0	none
12_30209	2_0197	1.00E-166	none
12_30487	2_0198	0	none
11_10997	2_0199	4.00E-79	none
11_10602	2_0200	1.00E-135	none
12_30634	2_0201	1.00E-169	none
11_10796	2_0202	1.00E-37	none
11_11133	2_0203	1.00E-150	none
11_20500	2_0204	0	none
12_10330	2_0205	1.00E-63	none
12_10485	2_0206	1.00E-120	none
12_31288	2_0207	0.000000003	none
11_20160	2_0208	1.00E-122	none
12_10948	2_0209	1.00E-151	none
12_20878	2_0210	0	none
12_30582	2_0211	1.00E-73	none
12_31175	2_0212	3.00E-77	none
12_30179	2_0213	1.00E-174	none
11_10947	2_0214	2.00E-95	none
11_20417	2_0215	1.00E-58	none
12_10099	2_0216	1.00E-171	none
12_30042	2_0217	0	none
11_11354	2_0218	1.00E-126	none
11_20458	2_0219	2.00E-53	none
11_20039	2_0220	2.00E-82	none
12_11155	2_0221	0	none
11_21286	2_0222	1.00E-127	none
12_30772	2_0223	1.00E-164	none
11_11046	2_0224	1.00E-111	none
11_10070	2_0225	1.00E-149	none
12_20181	2_0226	1.00E-138	none
11_10679	2_0227	0	none
11_20476	2_0228	1.00E-174	none
11_10012	2_0229	9.00E-33	none
12_30828	2_0230	9.00E-33	none
12_11369	2_0231	5.00E-23	none
12_10883	2_0232	1.00E-112	none
12_10474	2_0233	0.00006	none
11_10624	2_0234	3.00E-96	none
12_30206	2_0235	7.00E-92	none
11_20251	2_0236	0	none
11_10358	2_0237	1.00E-156	none
12_30068	2_0238	3.00E-69	none
12_20196	2_0239	5.00E-36	none
12_11288	2_0240	1.00E-139	none
11_20032	2_0241	1.00E-115	none
11_20669	2_0242	6.00E-55	none
12_30514	2_0243	1.00E-143	none
11_11211	2_0244	1.00E-135	none
11_10317	2_0245	0	none
11_11178	2_0246	0	none
12_31218	2_0247	1.00E-154	none
12_31189	2_0248	1.00E-120	none
12_30561	2_0249	0	none
12_21337	2_0250	1.00E-128	none
11_11384	2_0251	1.00E-106	none
12_20335	2_0252	0	none
12_10035	2_0253	1.00E-143	none
11_10750	2_0254	1.00E-131	none
11_11206	2_0255	0	none
12_10640	2_0256	1.00E-46	none
11_10436	2_0257	1.00E-110	none
11_20690	2_0258	1.00E-137	none
11_20390	2_0259	0	none
11_10191	2_0260	1.00E-119	none
12_30275	2_0261	2.00E-55	none
11_20532	2_0262	7.00E-35	none
11_10685	2_0263	0	none
11_20887	2_0264	0	none
12_11504	2_0265	0	none
12_30265	2_0266	1.00E-102	none
11_21399	2_0267	1.00E-93	none
11_20438	2_0268	5.00E-95	none
11_10692	2_0269	1.00E-171	none
11_10909	2_0270	0	none
12_30108	2_0271	0	none
12_30724	2_0272	1.00E-61	none
12_11324	2_0273	1.00E-141	none
12_30323	2_0274	2.00E-45	none
11_20585	2_0275	0	none
12_11278	2_0276	6.00E-19	none
11_10632	2_0277	1.00E-121	none
12_31256	2_0278	4.00E-25	none
11_20374	2_0279	1.00E-41	none
11_20442	2_0280	1.00E-159	none
11_11430	2_0281	0	none
12_11316	2_0282	1.00E-139	none
12_21476	2_0283	1.00E-149	none
11_21094	2_0284	0	none
11_11072	2_0285	0	none
12_11347	2_0286	4.00E-87	none
11_21166	2_0287	0	none
12_11121	2_0288	0	none
11_21110	2_0289	3.00E-77	none
11_10651	2_0290	3.00E-76	none
12_10545	2_0291	0	none
12_11096	2_0292	1.00E-113	none
11_21144	2_0293	1.00E-176	none
11_10265	2_0294	0	none
11_21258	2_0295	1.00E-128	none
11_21251	2_0296	2.00E-61	none
12_30205	2_0297	1.00E-79	none
11_10407	2_0298	1.00E-108	none
12_31020	2_0299	1.00E-108	none
12_31021	2_0300	1.00E-102	none
12_10719	2_0301	1.00E-148	none
11_21078	2_0302	1.00E-114	none
11_20833	2_0303	3.00E-52	none
11_21205	2_0304	2.00E-52	none
12_10717	2_0305	0	none
11_20667	2_0306	1.00E-117	none
11_20528	2_0307	0	none
12_31383	3_0001	8.00E-93	none
11_20947	3_0002	0	none
12_10650	3_0003	3.00E-76	none
11_11402	3_0004	2.00E-80	none
11_21156	3_0005	2.00E-68	none
12_30674	3_0006	4.00E-81	none
11_20960	3_0007	1.00E-158	none
12_31394	3_0008	1.00E-158	none
11_20419	3_0009	1.00E-160	none
12_31380	3_0010	1.00E-120	none
11_20734	3_0011	1.00E-142	none
11_10952	3_0012	1.00E-177	none
12_11449	3_0013	2.00E-53	none
12_30178	3_0014	1.00E-109	none
12_30696	3_0015	1.00E-164	none
11_10196	3_0016	0	none
11_11435	3_0017	0	none
12_31398	3_0018	0	none
11_20699	3_0019	1.00E-100	none
12_11388	3_0020	3.00E-41	none
11_10818	3_0021	1.00E-30	none
12_20489	3_0022	0	none
12_31445	3_0023	6.00E-29	none
12_31293	3_0024	3.00E-26	none
12_10859	3_0025	1.00E-144	none
11_10823	3_0026	0	none
11_10786	3_0027	0	none
11_21242	3_0028	1.00E-146	none
11_11214	3_0029	2.00E-70	none
11_10619	3_0030	2.00E-64	none
11_11100	3_0031	8.00E-91	none
11_20781	3_0032	1.00E-115	none
11_20340	3_0033	0	none
11_10287	3_0034	0	none
12_31205	3_0035	1.00E-150	none
12_30896	3_0036	0.00000008	none
12_30897	3_0037	0.00000008	none
12_30899	3_0038	0.00000008	none
12_30900	3_0039	0.00000008	none
12_30901	3_0040	0.00000008	none
11_10213	3_0041	8.00E-68	none
11_11533	3_0042	2.00E-90	none
11_10475	3_0043	0	none
11_21136	3_0044	1.00E-150	none
11_21037	3_0045	1.00E-149	none
11_21245	3_0046	2.00E-25	none
12_31424	3_0047	2.00E-31	none
12_10936	3_0048	1.00E-100	none
11_11058	3_0049	2.00E-65	none
11_21351	3_0050	1.00E-145	none
12_20793	3_0051	1.00E-139	none
11_10214	3_0052	4.00E-44	none
11_20080	3_0053	7.00E-88	none
11_21007	3_0054	5.00E-36	none
11_10138	3_0055	2.00E-85	none
11_21175	3_0056	4.00E-67	none
11_11307	3_0057	0	none
12_11285	3_0058	5.00E-51	none
12_30216	3_0059	2.00E-50	none
12_10649	3_0060	0	none
11_20086	3_0061	5.00E-37	none
11_10876	3_0062	2.00E-60	none
11_11250	3_0063	5.00E-82	none
11_10398	3_0064	0	none
12_30200	3_0065	2.00E-84	none
11_20923	3_0066	1.00E-163	none
12_11466	3_0067	9.00E-45	none
11_10900	3_0068	1.00E-100	none
12_21527	3_0069	1.00E-83	none
12_30480	3_0070	3.00E-40	none
12_30095	3_0071	1.00E-158	none
11_21340	3_0072	1.00E-161	none
11_10630	3_0073	2.00E-76	none
12_30049	3_0074	0	none
12_30555	3_0075	0	none
11_11323	3_0076	2.00E-28	none
11_11094	3_0077	1.00E-124	none
11_11480	3_0078	1.00E-123	none
11_20064	3_0079	5.00E-59	none
11_10989	3_0080	2.00E-28	none
11_10263	3_0081	8.00E-50	none
11_10128	3_0082	6.00E-84	none
11_11118	3_0083	1.00E-126	none
11_21238	3_0084	0.000002	none
12_31402	3_0085	1.00E-75	none
11_20955	3_0086	9.00E-57	none
12_21396	3_0087	6.00E-92	none
11_10429	3_0088	0	none
12_20989	3_0089	1.00E-127	none
11_11236	3_0090	5.00E-52	none
11_20182	3_0091	7.00E-80	none
12_30459	3_0092	2.00E-31	none
11_10707	3_0093	7.00E-15	none
11_10538	3_0094	2.00E-34	none
12_31095	3_0095	2.00E-11	none
11_10404	3_0096	1.00E-121	none
12_10739	3_0097	0	none
11_10916	3_0098	0	none
12_31406	3_0099	0	none
11_10780	3_0100	1.00E-152	none
12_30598	3_0101	0	none
12_31264	3_0102	1.00E-25	none
11_21220	3_0103	1.00E-61	none
11_20511	3_0104	0	none
11_11365	3_0105	3.00E-77	none
11_21315	3_0106	1.00E-107	none
12_30097	3_0107	1.00E-121	none
11_10092	3_0108	2.00E-42	none
12_30636	3_0109	1.00E-135	none
12_30152	3_0110	5.00E-49	none
11_21370	3_0111	1.00E-169	none
12_31100	3_0112	0	none
11_10446	3_0113	0	none
11_20711	3_0114	1.00E-148	none
11_21440	3_0115	1.00E-102	none
11_20480	3_0116	0	none
11_21406	3_0117	0	none
11_11486	3_0118	1.00E-171	none
11_21459	3_0119	0	none
12_30041	3_0120	1.00E-121	none
12_30695	3_0121	6.00E-65	none
12_30310	3_0122	0	none
11_10109	3_0123	0	none
12_20183	3_0124	0	none
11_21088	3_0125	0	none
12_30690	3_0126	3.00E-88	none
11_20366	3_0127	7.00E-71	none
11_10656	3_0128	1.00E-87	none
11_21125	3_0129	1.00E-148	none
11_20215	3_0130	3.00E-56	none
12_31268	3_0131	1.00E-145	none
12_30678	3_0132	4.00E-73	none
11_10383	3_0133	0	none
11_10065	3_0134	1.00E-161	none
12_10472	3_0135	0	none
12_10164	3_0136	0	none
12_30942	3_0137	0	none
11_20895	3_0138	0	none
11_10376	3_0139	2.00E-66	none
12_10579	3_0140	0	none
11_11227	3_0141	0	none
11_20715	3_0142	0	none
12_30396	3_0143	5.00E-38	none
12_30106	3_0144	7.00E-87	none
12_30248	3_0145	0	none
11_20590	3_0146	1.00E-171	none
11_21274	3_0147	1.00E-103	none
12_30341	3_0148	1.00E-133	none
12_20027	3_0149	2.00E-72	none
12_31461	3_0150	0.0000002	none
11_10551	3_0151	9.00E-32	none
11_10625	3_0152	1.00E-102	none
11_11262	3_0153	0	none
11_10826	3_0154	5.00E-99	none
11_20494	3_0155	4.00E-63	none
12_31209	3_0156	0	none
12_30352	3_0157	1.00E-175	none
12_30914	3_0158	0	none
11_10566	3_0159	0	none
12_20518	3_0160	1.00E-37	none
11_11023	3_0161	7.00E-84	none
11_10315	3_0162	1.00E-113	none
12_10766	3_0163	1.00E-115	none
12_10447	3_0164	3.00E-13	none
11_10714	3_0165	0	none
11_21250	3_0166	1.00E-123	none
12_10487	3_0167	2.00E-58	none
12_10950	3_0168	2.00E-74	none
11_11380	3_0169	8.00E-83	none
11_21346	3_0170	1.00E-117	none
11_20994	3_0171	1.00E-67	none
12_10181	3_0172	0	none
11_20293	3_0173	0	none
11_21299	3_0174	1.00E-119	none
11_20943	3_0175	1.00E-117	none
11_10791	3_0176	0	none
11_21436	3_0177	4.00E-58	none
12_30823	3_0178	1.00E-147	none
12_31527	3_0179	2.00E-33	none
11_10072	3_0180	0	none
12_31506	3_0181	2.00E-53	none
12_31300	3_0182	1.00E-172	none
12_10937	3_0183	7.00E-44	none
11_10329	3_0184	8.00E-84	none
12_31180	3_0185	1.00E-103	none
11_21099	3_0186	0	none
11_21453	3_0187	5.00E-27	none
11_20561	3_0188	1.00E-130	none
11_10085	3_0189	1.00E-112	none
12_11050	3_0190	1.00E-116	none
11_20681	3_0191	1.00E-136	none
11_21414	3_0192	1.00E-12	none
12_21496	3_0193	1.00E-60	none
12_30378	3_0194	1.00E-52	none
12_30102	3_0195	0	none
12_31428	3_0196	2.00E-21	none
11_20858	3_0197	0	none
12_20090	3_0198	0	none
11_20797	3_0199	4.00E-71	none
12_31448	3_0200	2.00E-11	none
12_10103	3_0201	1.00E-91	none
12_11434	3_0202	0.0000005	none
12_10173	3_0203	8.00E-35	none
11_11453	3_0204	1.00E-123	none
11_20953	3_0205	1.00E-136	none
12_31409	3_0206	1.00E-155	none
11_20529	3_0207	0	none
11_21190	3_0208	0	none
12_30297	3_0209	1.00E-157	none
11_21398	3_0210	0	none
12_11005	3_0211	0	none
11_21027	3_0212	2.00E-76	none
12_30818	3_0213	6.00E-64	none
11_20976	3_0214	3.00E-37	none
11_10112	3_0215	3.00E-30	none
11_10886	3_0216	1.00E-130	none
12_30910	3_0217	1.00E-139	none
12_11310	3_0218	6.00E-64	none
11_20595	3_0219	0	none
12_30915	3_0220	0	none
12_10571	3_0221	1.00E-151	none
12_30113	3_0222	0	none
11_20172	3_0223	3.00E-74	none
11_20742	3_0224	0	none
11_10565	3_0225	1.00E-145	none
11_20982	3_0226	2.00E-31	none
12_30192	4_0001	3.00E-78	none
11_20552	4_0002	0	none
11_10559	4_0003	1.00E-123	none
12_30920	4_0004	0	none
11_20794	4_0005	0	none
12_11237	4_0006	1.00E-106	none
11_20968	4_0007	3.00E-96	none
11_20455	4_0008	1.00E-161	none
12_30284	4_0009	1.00E-97	none
11_20607	4_0010	0	none
11_10026	4_0011	1.00E-122	none
12_11414	4_0012	4.00E-35	none
12_30571	4_0013	1.00E-124	none
12_21268	4_0014	8.00E-32	none
12_11527	4_0015	1.00E-107	none
12_30431	4_0016	0	none
12_30925	4_0017	8.00E-91	none
11_10672	4_0018	0	none
12_10968	4_0019	9.00E-94	none
11_10081	4_0020	1.00E-96	none
11_10710	4_0021	0	none
11_10825	4_0022	1.00E-179	none
11_20410	4_0023	1.00E-113	none
12_30953	4_0024	1.00E-179	none
12_31298	4_0025	5.00E-85	none
12_31159	4_0026	1.00E-165	none
11_10863	4_0027	3.00E-72	none
11_20193	4_0028	5.00E-94	none
12_10114	4_0029	5.00E-94	none
11_21145	4_0030	1.00E-136	none
11_20666	4_0031	1.00E-84	none
11_20647	4_0032	0	none
11_21533	4_0033	2.00E-76	none
