feature_name1	feature_name2	evidence	is_enabled
ABC12277	LOC_Os01g16000	blast:1.00E-130	1
ABC04214	LOC_Os01g16430	blast:1.00E-111	1
ABC04826	LOC_Os01g16870	blast:0	1
1630-1150	LOC_Os01g17170	blast:0	1
ConsensusGBS0639-2	LOC_Os01g17240	blast:0	1
2465-433	LOC_Os02g17940	blast:1.00E-128	1
1590-544	LOC_Os02g18380	blast:3.00E-67	1
5771-91	LOC_Os02g02830	blast:7.00E-82	1
885-104	LOC_Os02g02890	blast:4.00E-85	1
2335-1614	LOC_Os02g19510	blast:0	1
2327-126	LOC_Os02g19820	blast:1.00E-118	1
7235-395	LOC_Os02g21250	blast:1.00E-91	1
1898-580	LOC_Os02g21660	blast:1.00E-111	1
5194-1118	LOC_Os02g21880	blast:1.00E-155	1
3209-1317	LOC_Os02g21970	blast:0	1
ABC11420	LOC_Os02g22260	blast:1.00E-60	1
1588-537	LOC_Os02g03330	blast:1.00E-99	1
3095-1153	LOC_Os02g22780	blast:0	1
ConsensusGBS0224-1	LOC_Os02g03470	blast:1.00E-157	1
4555-499	LOC_Os02g03740	blast:5.00E-67	1
5146-1963	LOC_Os02g01280	blast:0	1
1114-892	LOC_Os02g27030	blast:1.00E-173	1
ABC16534	LOC_Os02g27220	blast:4.00E-23	1
2176-891	LOC_Os02g03860	blast:1.00E-111	1
1700-616	LOC_Os02g27760	blast:2.00E-68	1
3379-1037	LOC_Os02g04100	blast:1.00E-135	1
5777-113	LOC_Os02g04160	blast:2.00E-40	1
1553-753	LOC_Os02g01340	blast:1.00E-169	1
552-188	LOC_Os02g32030	blast:1.00E-124	1
ConsensusGBS0387-1	LOC_Os02g32120	blast:1.00E-131	1
2065-3135	LOC_Os02g32350	blast:0	1
3478-1024	LOC_Os02g32520	blast:0	1
4773-1009	LOC_Os02g33110	blast:1.00E-145	1
3764-666	LOC_Os02g04460	blast:1.00E-127	1
1917-848	LOC_Os02g33450	blast:1.00E-119	1
2911-1136	LOC_Os02g34810	blast:0	1
3406-221	LOC_Os02g35090	blast:2.00E-76	1
2964-382	LOC_Os02g35130	blast:1.00E-153	1
2873-877	LOC_Os02g35590	blast:1.00E-102	1
ABC16258	LOC_Os02g36490	blast:3.00E-77	1
3580-331	LOC_Os02g37060	blast:7.00E-23	1
ABC04704	LOC_Os02g37420	blast:1.00E-113	1
5909-859	LOC_Os02g37470	blast:1.00E-114	1
5232-2041	LOC_Os02g37590	blast:0	1
ABC09144	LOC_Os02g37830	blast:0	1
810-818	LOC_Os02g37862	blast:1.00E-106	1
1791-1636	LOC_Os02g38050	blast:0	1
ConsensusGBS0088-1	LOC_Os02g38240	blast:1.00E-135	1
2559-1796	LOC_Os02g38810	blast:0	1
2284-1738	LOC_Os02g38840	blast:0	1
ABC06358	LOC_Os02g39360	blast:1.00E-102	1
ABC06878	LOC_Os02g39400	blast:1.00E-118	1
210-450	LOC_Os02g39790	blast:0	1
2661-591	LOC_Os02g39930	blast:1.00E-93	1
1490-164	LOC_Os02g41590	blast:0	1
2215-395	LOC_Os02g41910	blast:7.00E-25	1
ABC06493	LOC_Os02g41990	blast:1.00E-174	1
ABC07733	LOC_Os02g42350	blast:0	1
5803-458	LOC_Os02g42960	blast:1.00E-118	1
2298-1526	LOC_Os02g43020	blast:0	1
7505-464	LOC_Os02g05440	blast:1.00E-108	1
3469-1152	LOC_Os02g43470	blast:0	1
5324-813	LOC_Os02g43760	blast:1.00E-115	1
ABC10472	LOC_Os02g43790	blast:1.00E-107	1
1635-691	LOC_Os02g44500	blast:2.00E-85	1
1914-936	LOC_Os02g44870	blast:2.00E-93	1
ABC13523	LOC_Os02g45450	blast:2.00E-92	1
3970-1171	LOC_Os02g05680	blast:1.00E-172	1
4313-482	LOC_Os02g45820	blast:5.00E-35	1
4833-420	LOC_Os02g46480	blast:9.00E-12	1
ConsensusGBS0369-1	LOC_Os02g46610	blast:1.00E-126	1
291-486	LOC_Os02g47020	blast:0	1
ABC10738	LOC_Os02g47620	blast:1.00E-173	1
3348-395	LOC_Os02g47800	blast:0	1
3634-2095	LOC_Os02g48110	blast:0	1
1140-1508	LOC_Os02g48560	blast:0	1
2577-1122	LOC_Os02g49320	blast:1.00E-179	1
4077-76	LOC_Os02g49680	blast:1.00E-106	1
ABC14687	LOC_Os02g49760	blast:4.00E-42	1
ConsensusGBS0239-5	LOC_Os02g50560	blast:9.00E-65	1
ABC14535	LOC_Os02g51320	blast:1.00E-32	1
ABC08769	LOC_Os02g06370	blast:1.00E-105	1
ConsensusGBS0342-1	LOC_Os02g01560	blast:1.00E-145	1
1899-739	LOC_Os02g52290	blast:2.00E-51	1
2607-2929	LOC_Os02g52390	blast:0	1
1969-1322	LOC_Os02g52860	blast:0	1
2968-1066	LOC_Os02g52940	blast:1.00E-150	1
ABC06682	LOC_Os02g53320	blast:1.00E-78	1
8504-785	LOC_Os02g54060	blast:5.00E-89	1
4076-1056	LOC_Os02g54130	blast:1.00E-113	1
2702-284	LOC_Os02g54160	blast:1.00E-124	1
8208-576	LOC_Os02g54180	blast:1.00E-39	1
5124-1707	LOC_Os02g54254	blast:0	1
1649-441	LOC_Os02g54470	blast:6.00E-53	1
ConsensusGBS0440-2	LOC_Os02g54700	blast:1.00E-131	1
ConsensusGBS0708-6	LOC_Os02g56170	blast:2.00E-56	1
2411-1726	LOC_Os02g56850	blast:0	1
4396-567	LOC_Os02g56940	blast:3.00E-22	1
1852-509	LOC_Os02g56990	blast:2.00E-48	1
1192-1341	LOC_Os02g57040	blast:0	1
3611-635	LOC_Os02g57150	blast:7.00E-53	1
ABC08038	LOC_Os02g57160	blast:0	1
5225-703	LOC_Os02g57240	blast:1.00E-178	1
10535-218	LOC_Os02g57250	blast:8.00E-89	1
ABC05241	LOC_Os02g57650	blast:0	1
3467-549	LOC_Os02g57790	blast:1.00E-06	1
ABC05029	LOC_Os02g07410	blast:1.00E-74	1
3596-1091	LOC_Os02g07760	blast:0	1
382-2624	LOC_Os02g09150	blast:0	1
1219-770	LOC_Os02g10390	blast:1.00E-141	1
9966-669	LOC_Os02g02000	blast:3.00E-89	1
ABC14849	LOC_Os02g10590	blast:8.00E-58	1
8977-283	LOC_Os02g11830	blast:1.00E-39	1
4488-514	LOC_Os02g11840	blast:5.00E-17	1
ConsensusGBS0346-1	LOC_Os02g02130	blast:5.00E-48	1
4059-1498	LOC_Os02g13140	blast:0	1
ABC04352	LOC_Os02g13840	blast:0	1
ABC13045	LOC_Os02g13960	blast:0	1
384-815	LOC_Os02g02320	blast:0	1
384-815	LOC_Os02g02320	blast:0	1
1240-844	LOC_Os02g02400	blast:0	1
1066-2110	LOC_Os02g02410	blast:0	1
151-730	LOC_Os02g15710	blast:1.00E-38	1
2314-1412	LOC_Os02g16830	blast:1.00E-106	1
ABC08308	LOC_Os02g17090	blast:0	1
6954-861	LOC_Os03g18150	blast:1.00E-126	1
ABC12417	LOC_Os03g02750	blast:1.00E-146	1
1948-2117	LOC_Os03g18220	blast:0	1
7942-948	LOC_Os03g18380	blast:0	1
ABC02614	LOC_Os03g18454	blast:1.00E-72	1
1119-900	LOC_Os03g18570	blast:8.00E-99	1
4143-1534	LOC_Os03g18590	blast:1.00E-171	1
ABC09877	LOC_Os03g02920	blast:1.00E-141	1
3042-1225	LOC_Os03g20790	blast:0	1
ABC01247	LOC_Os03g21040	blast:0	1
ABC14026	LOC_Os03g21060	blast:1.00E-130	1
ABC08085	LOC_Os03g21790	blast:1.00E-110	1
30-453	LOC_Os03g21940	blast:1.00E-109	1
4410-284	LOC_Os03g22460	blast:1.00E-36	1
2651-1774	LOC_Os03g22730	blast:0	1
1341-841	LOC_Os03g22810	blast:1.00E-76	1
2633-498	LOC_Os03g22880	blast:0	1
5233-1070	LOC_Os03g23980	blast:1.00E-131	1
ABC07035	LOC_Os03g24600	blast:1.00E-72	1
7172-1536	LOC_Os03g03350	blast:1.00E-154	1
4173-749	LOC_Os03g03360	blast:1.00E-129	1
2614-1522	LOC_Os03g03510	blast:0	1
1557-1313	LOC_Os03g27120	blast:1.00E-137	1
ABC11913	LOC_Os03g27590	blast:0	1
3652-872	LOC_Os03g03660	blast:0	1
ABC06351	LOC_Os03g03700	blast:0	1
ABC00602	LOC_Os03g28330	blast:0	1
ABC48888	LOC_Os03g28980	blast:4.00E-41	1
1698-619	LOC_Os03g29460	blast:5.00E-73	1
ABC07893	LOC_Os03g03820	blast:1.00E-138	1
ConsensusGBS0288-1	LOC_Os03g03830	blast:2.00E-97	1
ABC12093	LOC_Os03g04020	blast:4.00E-90	1
4643-867	LOC_Os03g32170	blast:1.00E-129	1
ABC12292	LOC_Os03g32470	blast:1.00E-135	1
5610-428	LOC_Os03g32490	blast:1.00E-132	1
2299-2992	LOC_Os03g04410	blast:0	1
3799-1335	LOC_Os03g36540	blast:0	1
4594-971	LOC_Os03g36750	blast:1.00E-145	1
ABC20090	LOC_Os03g37260	blast:3.00E-71	1
ConsensusGBS0241-3	LOC_Os03g37840	blast:1.00E-115	1
1212-890	LOC_Os03g38000	blast:1.00E-122	1
ConsensusGBS0132-4	LOC_Os03g38520	blast:1.00E-29	1
4050-2006	LOC_Os03g38980	blast:0	1
ABC17073	LOC_Os03g40020	blast:3.00E-93	1
ConsensusGBS0222-2	LOC_Os03g40270	blast:0	1
ABC08246	LOC_Os03g04770	blast:0	1
5726-414	LOC_Os03g41060	blast:8.00E-33	1
4544-461	LOC_Os03g41080	blast:1.00E-167	1
ABC05345	LOC_Os03g42130	blast:1.00E-171	1
ConsensusGBS0295-1	LOC_Os03g43684	blast:5.00E-85	1
ConsensusGBS0712-1	LOC_Os03g43990	blast:1.00E-104	1
5844-1011	LOC_Os03g44010	blast:4.00E-98	1
211-1181	LOC_Os03g44150	blast:0	1
272-944	LOC_Os03g44620	blast:0	1
ConsensusGBS0234-1	LOC_Os03g44820	blast:5.00E-58	1
3944-1283	LOC_Os03g45320	blast:0	1
ABC07359	LOC_Os03g05310	blast:0	1
ABC14522	LOC_Os03g45390	blast:4.00E-88	1
5611-811	LOC_Os03g05320	blast:1.00E-110	1
ConsensusGBS0372-1	LOC_Os03g46390	blast:1.00E-103	1
ABC12449	LOC_Os03g47740	blast:0	1
ABC19814	LOC_Os03g47780	blast:3.00E-50	1
ABC19814	LOC_Os03g47780	blast:3.00E-50	1
1513-514	LOC_Os03g48080	blast:2.00E-59	1
5149-1645	LOC_Os03g48180	blast:0	1
3968-342	LOC_Os03g48626	blast:5.00E-49	1
2055-947	LOC_Os03g48780	blast:5.00E-96	1
ABC08396	LOC_Os03g48970	blast:3.00E-68	1
5206-758	LOC_Os03g49150	blast:4.00E-39	1
ABC06172	LOC_Os03g49180	blast:1.00E-140	1
4243-2278	LOC_Os03g49510	blast:0	1
2929-1610	LOC_Os03g49580	blast:0	1
1595-1107	LOC_Os03g49600	blast:0	1
ABC02346	LOC_Os03g49610	blast:0	1
3897-578	LOC_Os03g49710	blast:1.00E-85	1
ABC07525	LOC_Os03g50030	blast:1.00E-62	1
1094-801	LOC_Os03g50480	blast:0	1
4453-422	LOC_Os03g50850	blast:0	1
ABC09300	LOC_Os03g50860	blast:1.00E-126	1
5900-1872	LOC_Os03g51050	blast:0	1
9149-1316	LOC_Os03g05900	blast:1.00E-160	1
6603-1702	LOC_Os03g51650	blast:0	1
2670-1431	LOC_Os03g52170	blast:0	1
ABC17649	LOC_Os03g52280	blast:8.00E-26	1
2800-1016	LOC_Os03g52630	blast:0	1
14765-203	LOC_Os03g52780	blast:1.00E-49	1
1230-523	LOC_Os03g52840	blast:1.00E-107	1
1164-2683	LOC_Os03g52860	blast:0	1
1697-636	LOC_Os03g53150	blast:1.00E-102	1
ABC04322	LOC_Os03g53270	blast:1.00E-127	1
2344-1769	LOC_Os03g53800	blast:0	1
4795-782	LOC_Os03g53910	blast:1.00E-123	1
3704-1947	LOC_Os03g06220	blast:0	1
ABC03900	LOC_Os03g54130	blast:1.00E-145	1
1810-2553	LOC_Os03g06240	blast:0	1
6553-328	LOC_Os03g55320	blast:2.00E-93	1
6450-755	LOC_Os03g55670	blast:4.00E-95	1
ConsensusGBS0704-2	LOC_Os03g55704	blast:9.00E-56	1
5286-486	LOC_Os03g55784	blast:4.00E-05	1
ABC03113	LOC_Os03g55850	blast:3.00E-33	1
6050-1625	LOC_Os03g56310	blast:0	1
1431-1073	LOC_Os03g56670	blast:1.00E-109	1
1011-1110	LOC_Os03g56810	blast:0	1
4753-1091	LOC_Os03g56820	blast:1.00E-117	1
1537-1088	LOC_Os03g57200	blast:1.00E-87	1
ConsensusGBS0086-5	LOC_Os03g57420	blast:7.00E-55	1
3477-1774	LOC_Os03g57690	blast:0	1
2746-1501	LOC_Os03g58070	blast:0	1
7382-626	LOC_Os03g58170	blast:1.00E-90	1
ConsensusGBS0461-3	LOC_Os03g06620	blast:1.00E-112	1
104-641	LOC_Os03g58430	blast:1.00E-75	1
ConsensusGBS0451-1	LOC_Os03g58790	blast:1.00E-149	1
6054-1050	LOC_Os03g59040	blast:1.00E-176	1
3759-1385	LOC_Os03g59240	blast:0	1
7342-535	LOC_Os03g59300	blast:2.00E-80	1
1761-804	LOC_Os03g59310	blast:1.00E-149	1
3720-52	LOC_Os03g59320	blast:5.00E-78	1
5163-896	LOC_Os03g59340	blast:0	1
ConsensusGBS0666-1	LOC_Os03g06700	blast:2.00E-63	1
ABC13614	LOC_Os03g59750	blast:1.00E-155	1
2309-1354	LOC_Os03g60080	blast:1.00E-130	1
ConsensusGBS0269-1	LOC_Os03g60190	blast:1.00E-109	1
6803-442	LOC_Os03g60509	blast:2.00E-98	1
5413-2541	LOC_Os03g61220	blast:0	1
4103-1386	LOC_Os03g61710	blast:0	1
ConsensusGBS0152-1	LOC_Os03g61960	blast:8.00E-62	1
930-595	LOC_Os03g61970	blast:0	1
2144-852	LOC_Os03g62490	blast:1.00E-138	1
2493-660	LOC_Os03g63400	blast:1.00E-78	1
ABC16075	LOC_Os03g63490	blast:1.00E-101	1
ABC08225	LOC_Os03g63750	blast:0	1
2978-938	LOC_Os03g63770	blast:0	1
ABC49997	LOC_Os03g63920	blast:6.00E-39	1
5089-2143	LOC_Os03g63940	blast:0	1
4986-1214	LOC_Os03g07840	blast:0	1
ABC09154	LOC_Os03g07990	blast:1.00E-133	1
73-949	LOC_Os03g08050	blast:0	1
1295-1247	LOC_Os03g08440	blast:1.00E-148	1
4039-1686	LOC_Os03g08570	blast:0	1
ABC13376	LOC_Os03g09220	blast:1.00E-152	1
2490-1786	LOC_Os03g09250	blast:0	1
ConsensusGBS0701-1	LOC_Os03g01830	blast:2.00E-74	1
3416-692	LOC_Os03g10110	blast:2.00E-37	1
ConsensusGBS0589-1	LOC_Os03g10510	blast:1.00E-132	1
2878-574	LOC_Os03g01910	blast:6.00E-88	1
424-423	LOC_Os03g11220	blast:2.00E-67	1
ABC09432	LOC_Os03g11720	blast:0	1
ABC09662	LOC_Os03g11900	blast:0	1
4139-888	LOC_Os03g12020	blast:1.00E-125	1
10321-364	LOC_Os03g12260	blast:1.00E-102	1
ABC03097	LOC_Os03g12500	blast:0	1
4336-2579	LOC_Os03g12590	blast:0	1
3761-2543	LOC_Os03g02150	blast:0	1
ConsensusGBS0010-2	LOC_Os03g12730	blast:1.00E-144	1
ABC08788	LOC_Os03g14280	blast:1.00E-101	1
ConsensusGBS0001-1	LOC_Os03g14910	blast:4.00E-95	1
2268-601	LOC_Os03g02420	blast:1.00E-112	1
1351-743	LOC_Os03g15960	blast:2.00E-75	1
3716-910	LOC_Os03g16220	blast:1.00E-132	1
ABC05189	LOC_Os03g16230	blast:1.00E-125	1
3144-1501	LOC_Os03g16690	blast:0	1
4160-1365	LOC_Os03g02560	blast:1.00E-126	1
587-1438	LOC_Os03g16860	blast:0	1
ABC02813	LOC_Os03g02590	blast:1.00E-116	1
1366-1466	LOC_Os03g16980	blast:0	1
ABC00076	LOC_Os03g17100	blast:2.00E-67	1
2274-1226	LOC_Os03g17470	blast:1.00E-132	1
1169-944	LOC_Os03g17690	blast:1.00E-134	1
3917-1365	LOC_Os03g17700	blast:0	1
ABC09808	LOC_Os03g17790	blast:1.00E-20	1
ABC10254	LOC_Os03g17900	blast:0	1
ConsensusGBS0667-8	LOC_Os04g20280	blast:1.00E-107	1
6299-529	LOC_Os04g23550	blast:9.00E-41	1
1123-661	LOC_Os04g24478	blast:5.00E-31	1
6444-752	LOC_Os04g28090	blast:1.00E-10	1
697-715	LOC_Os04g28180	blast:1.00E-112	1
3627-881	LOC_Os04g01230	blast:1.00E-121	1
ConsensusGBS0658-1	LOC_Os04g29424	blast:2.00E-68	1
ABC05684	LOC_Os04g01240	blast:1.00E-99	1
ABC07299	LOC_Os04g30210	blast:1.00E-150	1
ABC17685	LOC_Os04g31710	blast:1.00E-106	1
ABC07631	LOC_Os04g32330	blast:0	1
3676-416	LOC_Os04g32550	blast:5.00E-55	1
1041-1441	LOC_Os04g32950	blast:0	1
4659-1261	LOC_Os04g33280	blast:0	1
11220-593	LOC_Os04g33370	blast:3.00E-77	1
ConsensusGBS0519-1	LOC_Os04g33500	blast:7.00E-77	1
8992-1365	LOC_Os04g33740	blast:0	1
4337-601	LOC_Os04g34610	blast:3.00E-47	1
3214-945	LOC_Os04g35180	blast:1.00E-110	1
4717-386	LOC_Os04g35190	blast:1.00E-171	1
7489-442	LOC_Os04g35290	blast:0	1
ConsensusGBS0008-1	LOC_Os04g35570	blast:0	1
1042-365	LOC_Os04g35739	blast:1.00E-31	1
ABC13156	LOC_Os04g35760	blast:1.00E-139	1
9246-134	LOC_Os04g36850	blast:1.00E-101	1
ABC03181	LOC_Os04g37619	blast:0	1
2128-874	LOC_Os04g37904	blast:8.00E-32	1
ABC05800	LOC_Os04g37920	blast:0	1
3806-486	LOC_Os04g39210	blast:0	1
4953-858	LOC_Os04g05010	blast:1.00E-77	1
3014-914	LOC_Os04g41680	blast:1.00E-109	1
4956-1444	LOC_Os04g41810	blast:1.00E-147	1
4944-2118	LOC_Os04g41970	blast:0	1
7337-388	LOC_Os04g42100	blast:4.00E-05	1
6293-1670	LOC_Os04g42140	blast:0	1
441-961	LOC_Os04g42270	blast:7.00E-76	1
ABC22343	LOC_Os04g42310	blast:2.00E-80	1
8065-1203	LOC_Os04g42980	blast:1.00E-177	1
ConsensusGBS0143-1	LOC_Os04g43160	blast:2.00E-53	1
1946-698	LOC_Os04g43390	blast:0	1
ConsensusGBS0033-1	LOC_Os04g43440	blast:3.00E-44	1
28-229	LOC_Os04g43540	blast:4.00E-68	1
233-1327	LOC_Os04g43650	blast:7.00E-89	1
6600-453	LOC_Os04g44460	blast:1.00E-145	1
5644-206	LOC_Os04g44530	blast:0	1
