BOPA_C	U35 Rice Locus	U35 Rice E-Score	U35_Rice Description
11_10238	Os10g35840	0	"protein glutamyl-tRNA reductase, chloroplast precursor, putative, expressed"
12_11498	Os04g58830	1.00E-148	"protein ribosome biogenesis regulatory protein, putative, expressed"
11_10764	Os05g03190	0	"protein IQD1, putative, expressed"
12_30336	Os10g30560	4.00E-46	"protein cytokinin-O-glucosyltransferase 2, putative, expressed"
11_10597	Os01g22520	0	"protein dihydrolipoyl dehydrogenase, mitochondrial precursor, putative, expressed"
11_10275	Os02g16830	1.00E-106	"protein glutelin type-B 4 precursor, putative, expressed"
12_30268	Os05g03610	1.00E-144	"protein phospholipase C, putative, expressed"
12_11266	Os07g10350	0	"protein RRP5 protein, putative, expressed"
11_20514	Os11g08940	1.00E-35	"protein DNA-directed RNA polymerase II 8.2 kDa polypeptide, putative"
11_21134	Os05g03550	1.00E-122	"protein myb-like DNA-binding domain containing protein, expressed"
12_10314	Os07g27790	0	"protein glutamate--cysteine ligase, chloroplast precursor, putative, expressed"
12_30796	Os02g24020	1.00E-160	"protein dihydrodipicolinate reductase, putative, expressed"
11_10294	Os05g04630	0	"protein retrotransposon protein, putative, SINE subclass, expressed"
11_10259	Os05g04700	3.00E-26	"protein hydrophobic protein LTI6B, putative, expressed"
11_10526	Os05g04850	1.00E-88	"protein RNA-binding protein 8A, putative, expressed"
12_31467	Os05g04960	8.00E-29	"protein glycerolphosphate mutase, putative, expressed"
12_30683	Os05g05160	0	"protein extracellular signal-regulated kinase 1, putative, expressed"
12_10235	Os05g05700	0	"protein cullin-1, putative, expressed"
11_10957	Os05g05480	2.00E-73	"protein protease Do-like 2, chloroplast precursor, putative, expressed"
11_11064	Os05g05680	1.00E-156	"protein 1-aminocyclopropane-1-carboxylate oxidase, putative, expressed"
12_11301	Os08g14109	1.00E-104	"protein retrotransposon protein, putative, Ty1-copia subclass, expressed"
11_20855	Os09g03210	4.00E-69	protein expressed protein
11_10470	Os05g06270	0	"protein VIP2 protein, putative, expressed"
12_30438	Os05g06350	1.00E-105	"protein importin alpha-1b subunit, putative, expressed"
12_10159	Os05g06430	1.00E-178	"protein OsPDIL2-1 - Oryza sativa protein disulfide isomerase, expressed"
12_30436	Os05g07090	0	"protein glutaryl-CoA dehydrogenase, mitochondrial precursor, putative, expressed"
11_11162	Os05g07680	0	"protein CENP-E like kinetochore protein, putative, expressed"
12_30762	Os05g08410	3.00E-92	"protein ATP10 protein, expressed"
11_11478	Os02g01560	1.00E-145	"protein 40S ribosomal protein S4, putative, expressed"
11_11287	Os03g27590	0	"protein retinoid-inducible serine carboxypeptidase precursor, putative, expressed"
12_30498	Os05g29760	1.00E-153	"protein ferrochelatase-2, chloroplast precursor, putative, expressed"
11_10438	Os07g10420	4.00E-57	protein expressed protein
12_30562	Os10g05720	2.00E-30	"protein lipid binding protein, putative, expressed"
12_10506	Os10g25680	0	"protein ubiquitin-protein ligase, putative, expressed"
11_11336	Os10g31830	1.00E-102	"protein ras-related protein Rab-18, putative, expressed"
11_20757	Os10g32880	0	"protein pre-mRNA-splicing factor 19, putative, expressed"
12_21408	Os10g33800	1.00E-176	"protein malate dehydrogenase, cytoplasmic, putative, expressed"
11_20427	Os10g34670	3.00E-69	"protein prefoldin subunit 5, putative, expressed"
12_10300	Os10g34910	7.00E-76	"protein secretory protein, putative"
12_11036	Os10g34930	1.00E-84	"protein secretory protein, putative, expressed"
12_30462	Os10g35200	2.00E-71	"protein katanin p80 WD40-containing subunit B1 homolog 1, putative, expressed"
11_20698	Os10g35220	1.00E-158	"protein nucleic acid binding protein, putative, expressed"
12_30043	Os10g35220	1.00E-158	"protein nucleic acid binding protein, putative, expressed"
11_20260	Os10g35370	0	"protein protochlorophyllide reductase B, chloroplast precursor, putative, expressed"
12_30404	Os10g35370	2.00E-96	"protein protochlorophyllide reductase B, chloroplast precursor, putative, expressed"
11_21193	Os10g35380	1.00E-154	protein expressed protein
12_31381	Os10g35560	0	protein expressed protein
12_31208	Os10g35850	1.00E-82	"protein membrane steroid-binding protein 1, putative, expressed"
12_11209	Os10g36703	3.00E-42	"protein OsSAUR56 - Auxin-responsive SAUR gene family member, expressed"
12_10938	Os10g36860	8.00E-89	"protein CRS1 / YhbY domain containing protein, expressed"
11_11484	Os10g36760	0	"protein prolyl carboxypeptidase like protein, putative, expressed"
11_21357	Os10g36470	2.00E-92	"protein methionine aminopeptidase 1A, putative, expressed"
11_10833	Os10g36550	2.00E-74	protein expressed protein
12_30592	Os10g36870	0	"protein clathrin binding protein, putative, expressed"
12_30059	Os10g37340	0	"protein O-succinylhomoserine sulfhydrylase, putative, expressed"
11_21312	Os10g37410	0	"protein GTPase activator protein of Rab-like small GTPases-like protein, putative, expressed"
12_31134	Os10g37520	0	"protein major Facilitator Superfamily protein, expressed"
12_11169	Os10g37830	1.00E-142	"protein ATPP2-A13, putative, expressed"
11_21000	Os10g37899	1.00E-142	"protein transposon protein, putative, unclassified, expressed"
11_20810	Os10g38140	3.00E-78	"protein glutathione S-transferase GSTU6, putative, expressed"
11_20912	Os10g38710	3.00E-79	"protein glutathione S-transferase GSTU6, putative, expressed"
12_30350	Os10g42180	1.00E-131	"protein ALMT1, putative, expressed"
12_30774	Os01g16146	1.00E-120	"protein phenazine biosynthesis protein, putative, expressed"
12_11107	Os10g42420	0	"protein ADP-ribosylation factor GTPase-activating protein 3, putative, expressed"
12_30522	Os12g16350	0	"protein CHY1, putative, expressed"
11_11359	Os08g19310	1.00E-143	protein conserved hypothetical protein
12_11217	Os10g42720	3.00E-72	"protein glycerol-3-phosphate acyltransferase, chloroplast precursor, putative, expressed"
11_21217	Os10g42780	1.00E-167	"protein lrgB-like family protein, expressed"
12_30786	Os10g42860	1.00E-45	"protein ribosomal protein L35 containing protein, expressed"
12_30672	Os10g42870	0	"protein peptide transporter PTR2, putative, expressed"
11_21361	Os01g32130	6.00E-79	protein expressed protein
11_10933	Os04g14150	1.00E-99	"protein early response to drought 3, putative, expressed"
11_10075	Os10g37420	3.00E-58	"protein cytochrome b5, putative, expressed"
11_10293	Os10g39440	0	"protein hexose transporter, putative, expressed"
12_30243	Os10g39760	0	"protein nucleotide binding protein, putative, expressed"
11_11256	Os10g39790	0	"protein metal ion transporter, putative, expressed"
12_30110	Os10g42430	0	"protein transcription factor MYC7E, putative, expressed"
12_30694	Os10g42439	3.00E-85	"protein GRV2, putative, expressed"
11_20798	Os10g42500	1.00E-133	"protein plastid-lipid associated protein 3, chloroplast precursor, putative, expressed"
12_30406	Os10g42540	1.00E-55	protein expressed protein
11_10520	Os10g42610	3.00E-58	"protein TPR domain protein, putative, expressed"
11_11326	Os10g42820	0	"protein RXW8, putative, expressed"
12_30750	Os10g42940	1.00E-106	"protein ADP-ribosylation factor, putative, expressed"
12_30499	Os10g43050	1.00E-118	"protein ATP-dependent Clp protease proteolytic subunit 1, putative, expressed"
12_30478	Os10g43060	1.00E-157	protein expressed protein
12_30348	Os11g35090	1.00E-110	"protein centromeric protein E, putative, expressed"
12_30710	Os10g40250	4.00E-76	protein expressed protein
11_10324	Os02g49320	1.00E-179	"protein sucrose cleavage protein-like, putative, expressed"
12_10198	Os10g40720	1.00E-130	"protein beta-expansin 1a precursor, putative, expressed"
12_30343	Os02g17850	2.00E-49	"protein TOM2B, putative, expressed"
11_21053	Os10g41710	9.00E-57	"protein CHL-CPN10, putative, expressed"
12_30820	Os07g23880	6.00E-65	"protein alpha-glucosidase 2, putative, expressed"
12_30821	Os07g23880	6.00E-65	"protein alpha-glucosidase 2, putative, expressed"
11_10552	Os08g37874	1.00E-170	"protein oxidoreductase, putative, expressed"
12_11444	Os10g41260	3.00E-75	"protein mcb1 protein, putative, expressed"
11_21333	Os10g41360	0	"protein ubiquitin-protein ligase, putative, expressed"
11_10768	Os10g41400	1.00E-117	"protein peptide methionine sulfoxide reductase, putative, expressed"
11_20997	Os05g31770	3.00E-75	"protein mitochondria fission 1 protein, putative, expressed"
12_10201	Os05g29990	0	"protein UDP-glucuronic acid decarboxylase 1, putative, expressed"
12_30753	Os05g30130	3.00E-28	"protein chaperone protein dnaJ 49, putative, expressed"
12_21463	Os05g31000	4.00E-85	"protein nascent polypeptide-associated complex alpha subunit-like protein, putative, expressed"
11_10798	Os05g28190	1.00E-176	"protein ranBP1 domain containing protein, expressed"
11_11049	Os05g28210	1.00E-34	"protein embryonic abundant protein 1, putative, expressed"
12_30304	Os05g28480	2.00E-33	protein conserved hypothetical protein
12_30744	Os05g28500	1.00E-162	protein expressed protein
11_10617	Os05g28630	0	protein expressed protein
11_10176	Os05g31140	1.00E-164	"protein lichenase-2 precursor, putative, expressed"
11_10302	Os05g33100	1.00E-116	"protein endo-1,3;1,4-beta-D-glucanase precursor, putative, expressed"
12_21131	Os05g33610	1.00E-99	protein expressed protein
12_31179	Os02g39550	5.00E-77	"protein calcium-binding mitochondrial protein Anon-60Da, putative, expressed"
12_31401	Os05g33000	1.00E-140	"protein RING zinc finger protein, putative, expressed"
11_20432	Os12g13320	0	"protein argininosuccinate synthase, chloroplast precursor, putative, expressed"
11_21431	Os05g32570	1.00E-88	"protein RING E3 ligase protein, putative, expressed"
11_20642	Os05g32630	1.00E-168	"protein peroxisomal carrier protein, putative, expressed"
11_10516	Os11g29380	0	"protein DNA replication licensing factor Mcm2, putative, expressed"
11_10043	Os05g34830	6.00E-35	"protein NAC domain-containing protein 48, putative, expressed"
12_30295	Os02g14840	3.00E-25	"protein potassium channel KAT1, putative, expressed"
12_11062	Os05g23860	0	"protein rab GDP dissociation inhibitor alpha, putative, expressed"
11_20956	Os05g34050	0	"protein DNA binding protein, putative, expressed"
12_10960	Os05g34150	1.00E-117	"protein glutathione S-transferase GSTU6, putative, expressed"
11_11367	Os05g34550	0	"protein MLO-like protein 1, putative, expressed"
12_31464	Os05g34670	1.00E-128	"protein nucleic acid binding protein, putative, expressed"
11_21219	Os05g34680	1.00E-38	protein expressed protein
11_10002	Os05g34700	1.00E-116	"protein anther-specific proline-rich protein APG, putative, expressed"
11_20290	Os05g11910	1.00E-179	"protein esterase precursor, putative, expressed"
11_20157	Os05g35170	1.00E-121	"protein NAC domain-containing protein 78, putative, expressed"
12_30298	Os05g42250	5.00E-45	"protein cyclic nucleotide-gated ion channel 2, putative, expressed"
12_10166	Os05g49840	1.00E-167	"protein triacylglycerol lipase, putative, expressed"
12_20696	Os10g28020	0	"protein acylamino-acid-releasing enzyme, putative, expressed"
12_30505	Os05g42190	1.00E-109	"protein flavoprotein wrbA, putative, expressed"
11_11075	Os01g14410	1.00E-62	"protein early light-induced protein, chloroplast precursor, putative, expressed"
11_10686	Os05g41780	7.00E-94	"protein ethylene-responsive transcription factor 4, putative, expressed"
11_20229	Os05g41930	1.00E-160	"protein gda-1, putative, expressed"
12_30742	Os09g26999	2.00E-34	"protein keratin-associated protein 5-4, putative, expressed"
12_21176	Os10g22570	1.00E-125	"protein cellulase containing protein, expressed"
11_21057	Os11g20500	0.000002	protein conserved hypothetical protein
12_11267	Os05g41190	1.00E-54	protein expressed protein
11_10006	Os01g18050	0	"protein tubulin beta-1 chain, putative, expressed"
11_10890	Os05g41060	1.00E-101	"protein ADP-ribosylation factor, putative, expressed"
11_21126	Os05g41440	1.00E-168	"protein cytochrome P450 98A1, putative, expressed"
11_20990	Os05g40990	1.00E-146	"protein NADH-cytochrome b5 reductase, putative, expressed"
11_20121	Os05g41010	9.00E-75	"protein oxidoreductase, putative, expressed"
11_10279	Os05g41110	2.00E-56	"protein 60S ribosomal protein L30, putative, expressed"
11_20657	Os05g40300	5.00E-24	protein expressed protein
11_10466	Os02g35090	2.00E-76	protein expressed protein
12_30072	Os02g20360	0	"protein tyrosine aminotransferase, putative, expressed"
11_11037	Os05g39390	1.00E-168	"protein outer membrane protein, OMP85 family protein, expressed"
12_11463	Os05g38710	0	"protein lipin, N-terminal conserved region family protein, expressed"
12_30204	Os05g38590	1.00E-105	"protein protein tyrosine phosphatase-like protein PTPLB, putative, expressed"
11_10434	Os05g39110	1.00E-120	"protein selT-like protein precursor, putative, expressed"
12_11144	Os05g38370	5.00E-97	"protein FK506-binding protein 4, putative, expressed"
11_10830	Os05g38140	1.00E-104	"protein bHLH transcription factor, putative, expressed"
11_20550	Os05g38150	0	"protein delta 1-pyrroline-5-carboxylate synthetase, putative, expressed"
12_31160	Os05g38180	1.00E-134	"protein yip1 domain family, member 2, putative, expressed"
11_20434	Os05g38400	0	"protein OsFtsH8 - Oryza sativa FtsH protease, homologue of AtFtsH3/10, expressed"
11_10471	Os05g38520	6.00E-51	"protein 60S ribosomal protein L36-2, putative, expressed"
11_21192	Os05g38610	4.00E-88	"protein coatomer subunit zeta-1, putative, expressed"
11_11189	Os01g63800	1.00E-69	"protein pleckstrin homology domain-containing protein 1, putative, expressed"
11_20792	Os05g37390	5.00E-84	"protein protein G10 homolog 2, putative, expressed"
11_21446	Os01g65094	5.00E-42	protein expressed protein
12_10535	Os05g37140	1.00E-69	"protein ferredoxin-6, chloroplast precursor, putative, expressed"
12_30546	Os01g65090	0	"protein aspartate aminotransferase, putative, expressed"
11_20475	Os05g35710	0	protein expressed protein
12_31163	Os01g01660	1.00E-124	"protein isoflavone reductase homolog IRL, putative, expressed"
12_11008	Os01g64690	5.00E-46	"protein U6 snRNA-associated Sm-like protein LSm3, putative, expressed"
11_10433	Os05g35740	8.00E-44	"protein Pi starvation-induced protein, putative, expressed"
11_21373	Os05g36190	1.00E-143	"protein tubby-like protein, putative, expressed"
12_31192	Os03g25330	1.00E-147	"protein peroxidase 66 precursor, putative, expressed"
11_20769	Os05g35540	1.00E-169	"protein GTPase, putative, expressed"
11_10396	Os05g44760	0	"protein hexokinase-2, putative, expressed"
12_31319	Os01g19870	1.00E-114	protein expressed protein
11_11277	Os09g31486	0.000002	"protein heat shock 70 kDa protein, mitochondrial precursor, putative, expressed"
11_10522	Os05g43850	0	"protein tubby-related protein 1, putative, expressed"
11_20169	Os05g43780	1.00E-51	"protein proline-rich protein precursor, putative, expressed"
11_20754	Os05g43830	0	"protein proline iminopeptidase, putative, expressed"
11_10357	Os07g10256	7.00E-81	"protein mitosis protein dim1, putative, expressed"
12_31152	Os01g16520	0	"protein glutamyl-tRNA synthetase, cytoplasmic, putative, expressed"
12_21020	Os05g43280	9.00E-57	"protein MATH domain containing protein, expressed"
12_11173	Os05g43570	0	"protein serine/threonine-protein kinase 38-like, putative, expressed"
11_20267	Os05g47446	2.00E-58	"protein programmed cell death protein 5, putative, expressed"
11_20909	Os05g47470	9.00E-47	"protein VIP1 protein, putative, expressed"
11_10111	Os05g47540	0	"protein phosphoethanolamine N-methyltransferase, putative, expressed"
12_20187	Os05g47540	8.00E-44	"protein phosphoethanolamine N-methyltransferase, putative, expressed"
12_20613	Os05g47550	0	"protein clathrin assembly protein, putative, expressed"
12_30509	Os05g46460	0	"protein catalytic/ hydrolase, putative, expressed"
12_30191	Os05g46520	1.00E-146	"protein polygalacturonase precursor, putative, expressed"
11_20780	Os05g46490	1.00E-171	"protein mov34/MPN/PAD-1 family protein, expressed"
11_20921	Os05g46450	4.00E-22	"protein fiber protein Fb11, putative, expressed"
11_20625	Os05g41172	0	"protein histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH1, putative, expressed"
11_20220	Os05g45910	0.00001	protein conserved hypothetical protein
11_20844	Os11g29400	0	"protein 6-phosphogluconate dehydrogenase, decarboxylating, putative, expressed"
11_20021	Os05g45720	7.00E-54	"protein glycogen synthase, putative, expressed"
12_30532	Os05g46270	1.00E-176	"protein flap endonuclease 1a, putative, expressed"
11_10789	Os05g45310	1.00E-115	"protein ER lumen protein retaining receptor, putative, expressed"
12_30014	Os08g36920	2.00E-75	"protein AP2 domain containing protein, expressed"
11_21392	Os01g53280	7.00E-63	"protein 50S ribosomal protein L20, putative, expressed"
12_10905	Os10g22460	1.00E-126	"protein protein phosphatase 2C, putative, expressed"
12_11409	Os05g47660	1.00E-61	"protein lipid phosphate phosphatase 3, chloroplast precursor, putative, expressed"
11_10729	Os08g16480	0	"protein ATPase, putative, expressed"
11_20959	Os03g08050	0	"protein elongation factor 1-alpha, putative, expressed"
11_10338	Os03g22880	0	"protein nucleolar protein Nop56, putative, expressed"
11_10854	Os05g48070	1.00E-143	protein expressed protein
12_30257	Os05g48160	4.00E-67	"protein electron carrier/ electron transporter/ iron ion binding protein, putative, expressed"
11_10911	Os05g48422	1.00E-136	"protein structural constituent of ribosome, putative, expressed"
12_21172	Os05g48590	1.00E-102	"protein OsIAA19 - Auxin-responsive Aux/IAA gene family member, expressed"
11_21038	Os05g48620	0	"protein tropomyosin, putative, expressed"
11_11528	Os07g35060	1.00E-39	"protein F-box domain containing protein, expressed"
11_20908	Os11g26890	1.00E-162	protein expressed protein
12_31105	Os05g48630	6.00E-66	protein expressed protein
11_10586	Os05g48760	0	protein expressed protein
12_11457	Os05g48800	5.00E-99	"protein fiber protein Fb2, putative, expressed"
12_11443	Os05g48820	0	"protein DDT domain containing protein, expressed"
11_10722	Os05g48900	2.00E-95	"protein fasciclin-like arabinogalactan protein 7 precursor, putative, expressed"
11_21140	Os01g22490	9.00E-86	"protein 40S ribosomal protein S27a, putative, expressed"
11_21068	Os05g48970	3.00E-45	"protein C-terminal zinc-finger, putative, expressed"
11_11481	Os05g49030	6.00E-95	"protein 60S ribosomal protein L18a, putative, expressed"
12_10207	Os05g49030	9.00E-97	"protein 60S ribosomal protein L18a, putative, expressed"
12_31377	Os06g31280	8.00E-25	"protein leaf-specific thionin BTH6 precursor, putative"
12_30403	Os06g32550	3.00E-23	"protein leaf-specific thionin BTH6 precursor, putative, expressed"
11_10644	Os05g49060	1.00E-132	protein expressed protein
12_31387	Os02g30600	6.00E-27	protein conserved hypothetical protein
12_10808	Os05g49150	0	"protein eukaryotic translation initiation factor 3 subunit 7, putative, expressed"
12_10693	Os05g49200	0	"protein aspartic proteinase oryzasin-1 precursor, putative, expressed"
11_11038	Os05g49270	1.00E-110	"protein solute carrier family 2, facilitated glucose transporter member 8, putative, expressed"
12_30649	Os07g17330	1.00E-36	"protein B12D protein, expressed"
11_20133	Os10g28200	0	"protein GDP-mannose 3,5-epimerase 1, putative, expressed"
11_10903	Os05g49610	1.00E-180	protein expressed protein
11_20383	Os12g01449	0	protein expressed protein
11_10782	Os05g50220	1.00E-68	"protein peroxin Pex14, putative, expressed"
12_11271	Os05g50360	1.00E-102	"protein anaphase-promoting complex subunit 10, putative, expressed"
12_21105	Os05g50480	0	protein expressed protein
11_11509	Os01g14590	1.00E-107	"protein pathogen-related protein, putative, expressed"
11_10041	Os01g42960	0.0000003	"protein electron transporter, putative, expressed"
12_11496	Os01g69970	1.00E-139	"protein periodic tryptophan protein 1, putative, expressed"
11_21384	Os05g50800	1.00E-115	"protein protein ABIL1, putative, expressed"
11_11105	Os05g50840	0	"protein Grave disease carrier protein, putative, expressed"
12_30277	Os05g50930	1.00E-165	"protein RNA polymerase sigma factor rpoD, putative, expressed"
12_30517	Os07g08430	1.00E-144	"protein indole-3-glycerol phosphate lyase, chloroplast precursor, putative, expressed"
12_20599	Os09g36680	1.00E-117	"protein ribonuclease 3 precursor, putative, expressed"
11_20603	Os09g36700	7.00E-92	"protein extracellular ribonuclease LE precursor, putative, expressed"
11_20594	Os05g51180	1.00E-116	"protein plasminogen activator inhibitor 1 RNA-binding protein, putative, expressed"
11_20840	Os05g51450	0	"protein endopeptidase Clp, putative, expressed"
12_30231	Os01g39780	3.00E-38	protein expressed protein
11_20915	Os05g51470	1.00E-102	"protein cupin, RmlC-type, putative, expressed"
11_10590	Os05g51480	0	"protein DNA damage binding protein 1a, putative, expressed"
12_10746	Os05g51500	0	"protein eukaryotic translation initiation factor 5B, putative, expressed"
11_20509	Os05g51530	0	"protein vacuolar ATP synthase subunit C, putative, expressed"
11_20772	Os01g36890	0	"protein spliceosome RNA helicase BAT1, putative, expressed"
11_10443	Os04g06770	0	"protein argonaute-like protein, putative, expressed"
12_20429	Os05g51670	0	"protein UDP-glucose 4-epimerase GEPI48, putative, expressed"
12_30048	Os05g51690	1.00E-102	"protein CCT motif family protein, expressed"
12_31081	Os05g51700	1.00E-105	"protein nucleoside diphosphate kinase 4, chloroplast precursor, putative, expressed"
12_30934	Os05g51830	1.00E-101	"protein histone deacetylase 2b, putative, expressed"
12_10970	Os04g08350	1.00E-175	"protein cysteine synthase, chloroplast precursor, putative, expressed"
12_10718	Os04g05010	1.00E-77	"protein CBS domain containing protein, expressed"
12_21415	Os04g05030	6.00E-53	"protein serine-rich 25 kDa antigen protein, putative, expressed"
12_11030	Os04g10680	8.00E-59	"protein protein binding protein, putative, expressed"
12_31224	Os04g05050	0	"protein pectate lyase 8 precursor, putative, expressed"
11_10326	Os04g02910	0	"protein CP5, putative, expressed"
12_10230	Os04g10240	5.00E-71	"protein nicotiana lesion-inducing like, putative, expressed"
11_11059	Os06g11210	1.00E-156	"protein 12-oxophytodienoate reductase 2, putative, expressed"
12_30781	Os01g26920	9.00E-88	protein expressed protein
12_10592	Os04g01590	1.00E-177	"protein arginase, putative, expressed"
11_21377	Os04g02000	1.00E-157	"protein Zn-finger, RanBP-type, containing protein, expressed"
11_20563	Os02g07120	0	"protein cullin-associated NEDD8-dissociated protein 1, putative, expressed"
12_31497	Os02g18080	2.00E-18	"protein NB-ARC domain containing protein, expressed"
12_30402	Os02g28980	0	"protein peptidyl-prolyl isomerase, putative, expressed"
12_10502	Os04g01230	1.00E-121	"protein phosphoglycerate mutase-like protein, putative, expressed"
12_11119	Os04g01240	1.00E-99	protein expressed protein
12_30155	Os04g11820	0	"protein ABC transporter-like protein, putative, expressed"
12_30775	Os07g04160	1.00E-102	"protein FK506 binding protein, putative, expressed"
11_21416	Os07g29220	0	"protein cyclopropane-fatty-acyl-phospholipid synthase/ oxidoreductase, putative, expressed"
11_20562	Os04g01290	0	"protein PCI domain containing protein, expressed"
12_30631	Os04g13210	0	"protein multidrug resistance-associated protein 4, putative, expressed"
11_20112	Os11g34180	1.00E-49	protein expressed protein
11_21423	Os04g14760	1.00E-102	"protein phosphoglycerate mutase family protein, expressed"
11_20107	Os04g20590	2.00E-54	"protein nucleus protein, putative, expressed"
11_20724	Os05g22940	0	"protein acetyl-coenzyme A carboxylase, putative, expressed"
11_10943	Os04g16450	1.00E-145	"protein aquaporin PIP2.6, putative, expressed"
11_11040	Os12g19394	2.00E-85	"protein ribulose bisphosphate carboxylase small chain C, chloroplast precursor, putative, expressed"
12_31284	Os04g24410	5.00E-60	"protein kinesin heavy chain isolog, putative, expressed"
12_10777	Os01g21160	0	"protein dihydrolipoyllysine-residue acetyltransferase component of pyruvatedehydrogenase complex, putative, expressed"
11_10180	Os08g35760	1.00E-106	"protein auxin-binding protein ABP20 precursor, putative, expressed"
11_10216	Os07g49150	0	"protein 26S protease regulatory subunit 4, putative, expressed"
12_30871	Os07g49460	2.00E-77	"protein two-component response regulator-like PRR37, putative, expressed"
12_30872	Os07g49460	2.00E-77	"protein two-component response regulator-like PRR37, putative, expressed"
11_20394	Os03g18510	1.00E-164	"protein eukaryotic translation initiation factor 2 alpha subunit, putative, expressed"
11_21015	Os07g49230	0	"protein ubiquitin-activating enzyme E1 3, putative, expressed"
11_21265	Os07g49030	2.00E-85	"protein PHD-finger family protein, expressed"
11_21261	Os07g49040	0	"protein Ca2+/calmodulin-dependent protein kinase phosphatase, putative, expressed"
11_21366	Os07g49110	1.00E-156	"protein D-alanine-D-alanine ligase, putative, expressed"
11_21187	Os03g19220	1.00E-31	protein expressed protein
12_20593	Os07g48980	1.00E-133	"protein nicotianamine synthase 3, putative, expressed"
11_10787	Os01g27730	0	"protein guanine nucleotide-binding protein-like 3, putative, expressed"
11_10987	Os07g48780	1.00E-80	"protein calmodulin, putative, expressed"
11_10307	Os07g48830	1.00E-153	"protein galactinol synthase 3, putative, expressed"
12_20368	Os07g48830	1.00E-153	"protein galactinol synthase 3, putative, expressed"
11_10891	Os07g48890	1.00E-178	"protein poly, putative, expressed"
11_20864	Os12g10784	1.00E-159	"protein 2-dehydro-3-deoxyphosphooctonate aldolase, putative, expressed"
11_11110	Os07g48510	1.00E-114	"protein thioredoxin-like 1, putative, expressed"
