chromosome	U35 Rice Locus	start	aliases	U35_Rice Description
1	LOC_Os01g15320	19138	null	protein rapid alkalinization factor 1 precursor, putative, expressed
1	LOC_Os01g15520	19492	null	protein expressed protein
1	LOC_Os01g16430	1568	null	protein multidomain cystatin, putative, expressed
1	LOC_Os01g16220	17691	null	protein sad1/unc-84-like protein 2, putative, expressed
1	LOC_Os01g17170	14838	null	protein magnesium-protoporphyrin IX monomethyl ester cyclase,chloroplast precursor, putative, expressed
1	LOC_Os01g23620	892	null	protein GTP-binding protein SAR1A, putative, expressed
1	LOC_Os01g14950	15851	null	protein importin alpha-1b subunit, putative, expressed
1	LOC_Os01g16870	1591	null	protein argonaute-like protein, putative, expressed
1	LOC_Os01g14670	4241	null	protein nectarin-1 precursor, putative, expressed
1	LOC_Os01g16000	4796	null	protein expressed protein
1	LOC_Os01g34330	2827	null	protein BAH domain containing protein, expressed
1	LOC_Os01g14860	667	null	protein glycogen synthase kinase-3 homolog MsK-3, putative, expressed
1	LOC_Os01g17240	3547	null	protein sialin, putative, expressed
1	LOC_Os01g10250	1732	null	protein monoglyceride lipase, putative, expressed
1	LOC_Os01g32350	2011	null	protein ATP-dependent Clp protease proteolytic subunit 1, putative, expressed
1	LOC_Os01g32330	383	null	protein farnesylated protein 2, putative, expressed
1	LOC_Os01g18640	17527	null	protein isopenicillin N epimerase, putative, expressed
1	LOC_Os01g16970	18779	null	protein protein kinase C substrate 80K-H, putative, expressed
1	LOC_Os01g11810	1587	null	protein expressed protein
1	LOC_Os01g24750	13881	null	protein serine/threonine-protein phosphatase PP1, putative, expressed
1	LOC_Os01g21970	4059	null	protein PTI1-like kinase, putative, expressed
1	LOC_Os01g14810	21110	null	protein 5-nucleotidase, putative, expressed
1	LOC_Os01g21820	4917	null	protein preprotein translocase secA subunit, chloroplast precursor, putative, expressed
1	LOC_Os01g05970	13979	null	protein core histone H2A/H2B/H3/H4 family protein, expressed
1	LOC_Os01g31770	3151	null	protein oxidoreductase, putative, expressed
1	LOC_Os01g36080	19973	null	protein protein phosphatase 2C containing protein, expressed
1	LOC_Os01g45900	5619	null	protein F-box domain containing protein, expressed
1	LOC_Os01g44260	15396	null	protein dihydroflavonol-4-reductase, putative, expressed
1	LOC_Os01g44210	1439	null	protein 50S ribosomal protein L31, putative, expressed
1	LOC_Os01g40570	15967	null	protein outer plastidial membrane protein porin, putative, expressed
1	LOC_Os01g38510	1781	null	protein protein transport protein Sec61 beta subunit, putative, expressed
1	LOC_Os01g43370	2384	null	protein expressed protein
1	LOC_Os01g43330	18941	null	protein expressed protein
1	LOC_Os01g45640	4356	null	protein tat pathway signal sequence family protein, expressed
1	LOC_Os01g43520	4630	null	protein ceramidase, putative, expressed
1	LOC_Os01g39270	2493	null	protein 2-hydroxy-3-oxopropionate reductase, putative, expressed
1	LOC_Os01g43020	17240	null	protein CTP synthase, putative, expressed
1	LOC_Os01g40590	5159	null	protein protein kinase APK1A, chloroplast precursor, putative, expressed
1	LOC_Os01g41120	21224	null	protein protein binding protein, putative, expressed
1	LOC_Os01g41550	16534	null	protein aspartic proteinase nepenthesin-2 precursor, putative, expressed
1	LOC_Os01g43160	19659	null	protein polygalacturonase, putative, expressed
1	LOC_Os01g42630	21122	null	protein expressed protein
1	LOC_Os01g40470	1030	null	protein vacuolar ATP synthase subunit d, putative, expressed
1	LOC_Os01g38620	1155	null	protein 3-5 exonuclease/ nucleic acid binding protein, putative, expressed
1	LOC_Os01g37690	1379	null	protein vacuolar cation/proton exchanger 1a, putative, expressed
1	LOC_Os01g43540	1570	null	protein suppressor of G2 allele of SKP1, putative, expressed
1	LOC_Os01g40070	15993	null	protein expressed protein
1	LOC_Os01g43030	16376	null	protein NMDA receptor-regulated 1-like protein, putative, expressed
1	LOC_Os01g38480	16907	null	protein expressed protein
1	LOC_Os01g41190	17072	null	protein expressed protein
1	LOC_Os01g37820	14557	null	protein expressed protein
1	LOC_Os01g42830	13844	null	protein adaptin ear-binding coat-associated protein 1, putative, expressed
1	LOC_Os01g37842	17913	null	protein expressed protein
1	LOC_Os01g40690	17536	null	protein holocarboxylase synthetase, putative, expressed
1	LOC_Os01g42970	3301	null	protein zinc finger C-x8-C-x5-C-x3-H type family protein, expressed
1	LOC_Os01g40310	1755	null	protein expressed protein
1	LOC_Os01g40094	18890	null	protein protein phosphatase 2C ABI2, putative, expressed
1	LOC_Os01g45470	495	null	protein expressed protein
1	LOC_Os01g43060	18146	null	protein expressed protein
1	LOC_Os01g45200	19929	null	protein dihydroflavonol-4-reductase, putative, expressed
1	LOC_Os01g45700	3077	null	protein expressed protein
1	LOC_Os01g45750	1652	null	protein bile acid sodium symporter/ transporter, putative, expressed
1	LOC_Os01g46980	14632	null	protein vacuolar ATP synthase subunit E, putative, expressed
1	LOC_Os01g46720	22515	null	protein protein kinase domain containing protein, expressed
1	LOC_Os01g46610	545	null	protein isocitrate dehydrogenase, chloroplast precursor, putative, expressed
1	LOC_Os01g48810	5337	null	protein transcription initiation factor TFIID subunit 11, putative, expressed
1	LOC_Os01g48190	15284	null	protein fiber protein Fb2, putative, expressed
1	LOC_Os01g49350	3129	null	protein MAPK activating protein PM28, putative, expressed
1	LOC_Os01g49190	14757	null	protein ATP synthase beta chain, mitochondrial precursor, putative, expressed
1	LOC_Os01g48270	7049	null	protein katanin p60 ATPase-containing subunit, putative, expressed
1	LOC_Os01g47740	3598	null	protein RING-finger protein like, putative, expressed
1	LOC_Os01g50030	15913	null	protein phosphoethanolamine N-methyltransferase, putative, expressed
1	LOC_Os01g47400	2805	null	protein hydrolase, hydrolyzing O-glycosyl compounds, putative, expressed
1	LOC_Os01g49290	590	null	protein guanine nucleotide-binding protein beta subunit-like protein, putative, expressed
1	LOC_Os01g48420	1039	null	protein peroxiredoxin-5, mitochondrial precursor, putative, expressed
1	LOC_Os01g48444	3553	null	protein OsIAA5 - Auxin-responsive Aux/IAA gene family member, expressed
1	LOC_Os01g46760	8070	null	protein protein phosphatase 2C ABI1, putative, expressed
1	LOC_Os01g49529	16766	null	protein OsWAK10a - OsWAK receptor-like cytoplasmic kinase (OsWAK-RLCK), expressed
1	LOC_Os01g50770	14263	null	protein AP-1 complex subunit mu-1, putative, expressed
1	LOC_Os01g50460	17225	null	protein seven-transmembrane-domain protein 1, putative, expressed
1	LOC_Os01g50910	17661	null	protein late embryogenesis abundant protein, group 3, putative, expressed
1	LOC_Os01g50450	16923	null	protein expressed protein
1	LOC_Os01g51154	3419	null	protein single myb histone 4, putative, expressed
1	LOC_Os01g50760	17316	null	protein farnesyl pyrophosphate synthetase, putative, expressed
1	LOC_Os01g52110	380	null	protein RING finger and CHY zinc finger domain-containing protein 1, putative, expressed
1	LOC_Os01g51430	3787	null	protein expressed protein
1	LOC_Os01g51380	2602	null	protein vacuolar ATP synthase subunit B isoform 1, putative, expressed
1	LOC_Os01g51360	5060	null	protein triacylglycerol lipase, putative, expressed
1	LOC_Os01g51890	8186	null	protein inositol-1,4,5-trisphosphate 5-Phosphatase, putative, expressed
1	LOC_Os01g51300	16771	null	protein WD-40 repeat protein MSI4, putative, expressed
1	LOC_Os01g51360	5060	null	protein triacylglycerol lipase, putative, expressed
1	LOC_Os01g51410	259	null	protein glycine dehydrogenase, mitochondrial precursor, putative, expressed
1	LOC_Os01g52214	1308	null	protein NADH-ubiquinone oxidoreductase 20 kDa subunit, mitochondrial precursor, putative, expressed
1	LOC_Os01g52640	17290	null	protein ubiquitin-protein ligase COP1, putative, expressed
1	LOC_Os01g52920	126	null	protein expressed protein
1	LOC_Os01g52970	19516	null	protein ribosomal RNA apurinic site specific lyase, putative, expressed
1	LOC_Os01g52230	16856	null	protein phosphatase phospho1, putative, expressed
1	LOC_Os01g53520	15085	null	protein seed maturation protein, putative, expressed
1	LOC_Os01g52550	9699	null	protein multidrug resistance protein 22, putative, expressed
1	LOC_Os01g53720	5568	null	protein expressed protein
1	LOC_Os01g53730	15542	null	protein expressed protein
1	LOC_Os01g53610	18763	null	protein pentatricopeptide repeat protein PPR1106-17, putative, expressed
1	LOC_Os01g53910	19671	null	protein expressed protein
1	LOC_Os01g54030	962	null	protein NADP-dependent malic enzyme, putative, expressed
1	LOC_Os01g54300	17563	null	protein hydrolase, hydrolyzing O-glycosyl compounds, putative, expressed
1	LOC_Os01g54030	962	null	protein NADP-dependent malic enzyme, putative, expressed
1	LOC_Os01g54080	16711	null	protein ATP binding protein, putative, expressed
1	LOC_Os01g54100	18954	null	protein ATP binding protein, putative, expressed
1	LOC_Os01g54560	1800	null	protein trehalose synthase, putative, expressed
1	LOC_Os01g54430	16914	null	protein early nodulin-like protein 3 precursor, putative, expressed
1	LOC_Os01g54520	2790	null	protein expressed protein
1	LOC_Os01g54550	8623	null	protein heat shock factor, putative, expressed
1	LOC_Os01g54580	6293	null	protein solute carrier family 35 member C2, putative, expressed
1	LOC_Os01g54540	2806	null	protein 50S ribosomal protein L13, chloroplast precursor, putative, expressed
1	LOC_Os01g53140	16009	null	protein expressed protein
1	LOC_Os01g54920	15496	null	protein heat- and acid-stable phosphoprotein, putative, expressed
1	LOC_Os01g55030	1817	null	protein expressed protein
1	LOC_Os01g55190	2222	null	protein expressed protein
1	LOC_Os01g55220	17181	null	protein hypothetical protein
1	LOC_Os01g55150	4792	null	protein transcription factor RF2b, putative, expressed
1	LOC_Os01g55190	2222	null	protein expressed protein
1	LOC_Os01g55170	1610	null	protein RNA binding protein, putative, expressed
1	LOC_Os01g55240	19338	null	protein gibberellin 2-beta-dioxygenase, putative, expressed
1	LOC_Os01g55300	2539	null	protein DNA polymerase eta, putative, expressed
1	LOC_Os01g55540	14619	null	protein aspartate aminotransferase, cytoplasmic, putative, expressed
1	LOC_Os01g55570	16428	null	protein thylakoid membrane phosphoprotein 14 kda, chloroplast precursor, putative, expressed
1	LOC_Os01g56100	18237	null	protein BSD domain containing protein, expressed
1	LOC_Os01g56290	21067	null	protein expressed protein
1	LOC_Os01g56360	17315	null	protein expressed protein
1	LOC_Os01g56880	19906	null	protein purple acid phosphatase precursor, putative, expressed
1	LOC_Os01g56180	17071	null	protein expressed protein
1	LOC_Os01g56780	735	null	protein plus-3 domain containing protein, expressed
1	LOC_Os01g56580	3906	null	protein ATP binding protein, putative, expressed
1	LOC_Os01g56910	19389	null	protein expressed protein
1	LOC_Os01g57420	10001	null	protein diacylglycerol kinase, putative, expressed
1	LOC_Os01g58114	16658	null	protein expressed protein
1	LOC_Os01g57920	20731	null	protein F-box domain containing protein, expressed
1	LOC_Os01g59080	16230	null	protein expressed protein
1	LOC_Os01g58890	15	null	protein cystatin-1 precursor, putative, expressed
1	LOC_Os01g17190	14179	null	protein calmodulin, putative, expressed
1	LOC_Os01g59110	21901	null	protein indole-3-acetate beta-glucosyltransferase, putative, expressed
1	LOC_Os01g58680	20560	null	protein apurinic endonuclease-redox protein, putative, expressed
1	LOC_Os01g59920	22023	null	protein cysteine synthase, chloroplast precursor, putative, expressed
1	LOC_Os01g59870	3373	null	protein lipid-transfer protein, putative, expressed
1	LOC_Os01g59850	3947	null	protein ZIGA4, putative, expressed
1	LOC_Os01g59660	15709	null	protein transcription factor GAMYB, putative, expressed
1	LOC_Os01g60200	5451	null	protein expressed protein
1	LOC_Os01g60230	2257	null	protein auxin hydrogen symporter, putative, expressed
1	LOC_Os01g22990	1075	null	protein immediate-early protein RSP40, putative, expressed
1	LOC_Os01g60230	2257	null	protein auxin hydrogen symporter, putative, expressed
1	LOC_Os01g60440	2725	null	protein ATP binding protein, putative, expressed
1	LOC_Os01g60410	14393	null	protein ubiquitin-conjugating enzyme E2-17 kDa, putative, expressed
1	LOC_Os01g65380	7676	null	protein patellin-5, putative, expressed
1	LOC_Os01g65100	17441	null	protein POT family protein, expressed
1	LOC_Os01g64960	546	null	protein photosystem II 22 kDa protein, chloroplast precursor, putative, expressed
1	LOC_Os01g64960	546	null	protein photosystem II 22 kDa protein, chloroplast precursor, putative, expressed
1	LOC_Os01g64770	985	null	protein retrotransposon protein, putative, unclassified, expressed
1	LOC_Os01g65070	15227	null	protein embryogenesis-associated protein EMB8, putative, expressed
1	LOC_Os01g65080	5722	null	protein nucleic acid binding protein, putative, expressed
1	LOC_Os01g64650	3564	null	protein VAMP-like protein YKT62, putative, expressed
1	LOC_Os01g64960	546	null	protein photosystem II 22 kDa protein, chloroplast precursor, putative, expressed
1	LOC_Os01g64280	2118	null	protein sorting nexin 1, putative, expressed
1	LOC_Os01g64170	16375	null	protein glucan endo-1,3-beta-glucosidase 7 precursor, putative, expressed
1	LOC_Os01g64000	3889	null	protein ABA response element binding factor, putative, expressed
1	LOC_Os01g63820	19747	null	protein CPL2, putative, expressed
1	LOC_Os01g63690	16921	null	protein nematode-resistance protein, putative, expressed
1	LOC_Os01g63410	1463	null	protein expressed protein
1	LOC_Os01g63420	16760	null	protein coronatine-insensitive protein 1, putative, expressed
1	LOC_Os01g63354	21415	null	protein ELM2, putative, expressed
1	LOC_Os01g63190	4332	null	protein L-ascorbate oxidase precursor, putative, expressed
1	LOC_Os01g62970	3634	null	protein expressed protein
1	LOC_Os01g62920	19972	null	protein homeodomain protein JUBEL2, putative, expressed
1	LOC_Os01g62600	23659	null	protein laccase, putative
1	LOC_Os01g62600	23659	null	protein laccase, putative
1	LOC_Os01g62870	2428	null	protein aldose reductase, putative, expressed
1	LOC_Os01g62260	17916	null	protein osmotin-like protein precursor, putative, expressed
1	LOC_Os01g62300	17058	null	protein SLT1 protein, putative, expressed
1	LOC_Os01g61400	1363	null	protein expressed protein
1	LOC_Os01g61970	1930	null	protein protein GPR108 precursor, putative, expressed
1	LOC_Os01g61580	24851	null	protein selT-like protein precursor, putative, expressed
1	LOC_Os01g61500	1793	null	protein BCL-2 binding anthanogene-1, putative, expressed
1	LOC_Os01g61890	4819	null	protein AT hook motif family protein, expressed
1	LOC_Os01g61690	21628	null	protein virulence-related protein Nf314, putative, expressed
1	LOC_Os01g61710	15067	null	protein coatomer subunit delta, putative, expressed
1	LOC_Os01g61570	22627	null	protein anther-specific proline-rich protein APG precursor, putative, expressed
1	LOC_Os01g67370	6485	null	protein expressed protein
1	LOC_Os01g67480	18257	null	protein helix-loop-helix DNA-binding domain containing protein, expressed
1	LOC_Os01g67180	2124	null	protein ribonuclease 2 precursor, putative, expressed
1	LOC_Os01g66940	472	null	protein fructokinase-1, putative, expressed
1	LOC_Os01g66970	5772	null	protein zinc finger protein, putative, expressed
1	LOC_Os01g67220	6448	null	protein lactase-like protein precursor, putative, expressed
1	LOC_Os01g66720	7543	null	protein NADP-dependent oxidoreductase P1, putative, expressed
1	LOC_Os01g66860	10272	null	protein ankyrin-kinase, putative, expressed
1	LOC_Os01g66330	17434	null	protein ATP-dependent Clp protease ATP-binding subunit clpX, putative, expressed
1	LOC_Os01g66240	17444	null	protein catalytic/ hydrolase, putative, expressed
1	LOC_Os01g66420	16550	null	protein PHD finger protein, putative, expressed
1	LOC_Os01g66360	19991	null	protein 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplast precursor, putative, expressed
1	LOC_Os01g66110	16066	null	protein ankyrin-like protein, putative, expressed
1	LOC_Os01g66490	23678	null	protein NAC transcription factor, putative, expressed
1	LOC_Os01g66520	835	null	protein serine/threonine-protein kinase RIO2, putative, expressed
1	LOC_Os01g66150	3759	null	protein expressed protein
1	LOC_Os01g65780	15255	null	protein secondary cell wall-related glycosyltransferase family 8, putative, expressed
1	LOC_Os01g65920	16531	null	protein F-box/LRR-repeat protein 2, putative, expressed
1	LOC_Os01g65880	17687	null	protein seven-transmembrane-domain protein 1, putative, expressed
1	LOC_Os01g65900	18691	null	protein chitin-inducible gibberellin-responsive protein 2, putative, expressed
1	LOC_Os01g67980	1830	null	protein cysteine proteinase EP-B 1 precursor, putative, expressed
1	LOC_Os01g68060	17540	null	protein copine-6, putative, expressed
1	LOC_Os01g68320	1529	null	protein ATP-dependent RNA helicase dbp2, putative, expressed
1	LOC_Os01g68300	2093	null	protein expressed protein
1	LOC_Os01g40860	2787	null	protein retinal dehydrogenase 1, putative, expressed
1	LOC_Os01g68450	1520	null	protein expressed protein
1	LOC_Os01g68440	20899	null	protein expressed protein
1	LOC_Os01g68710	3358	null	protein FK506-binding protein 2-1 precursor, putative, expressed
1	LOC_Os01g68860	16293	null	protein zinc finger CCCH type domain-containing protein ZFN-like 2, putative, expressed
1	LOC_Os01g69030	39130	null	protein sucrose-phosphate synthase, putative, expressed
1	LOC_Os01g69920	17348	null	protein histidine kinase 2, putative, expressed
1	LOC_Os01g70170	14408	null	protein transaldolase 2, putative, expressed
1	LOC_Os01g70200	16642	null	protein secondary cell wall-related glycosyltransferase family 47, putative, expressed
1	LOC_Os01g70190	15660	null	protein secondary cell wall-related glycosyltransferase family 47, putative, expressed
1	LOC_Os01g70160	4691	null	protein protein binding protein, putative, expressed
1	LOC_Os01g70310	4863	null	protein inducer of CBF expression 2, putative, expressed
1	LOC_Os01g70320	19903	null	protein expressed protein
1	LOC_Os01g70310	4863	null	protein inducer of CBF expression 2, putative, expressed
1	LOC_Os01g70520	16241	null	protein beta-glucosidase homolog precursor, putative, expressed
1	LOC_Os01g70270	14994	null	protein auxin response factor 2, putative, expressed
1	LOC_Os01g70670	2756	null	protein BTB/POZ domain containing protein, expressed
1	LOC_Os01g32080	21769	null	protein 2-hydroxyphytanoyl-CoA lyase, putative, expressed
1	LOC_Os01g70850	4001	null	protein esterase PIR7B, putative, expressed
1	LOC_Os01g71060	18541	null	protein xylanase inhibitor, putative, expressed
