chromosome	locus name	start	alias	annotation
1	locus 1_0132	7298	none	none
1	locus 1_0133	3938	none	none
1	locus 1_0134	9153	none	none
1	locus 1_0135	3283	none	none
1	locus 1_0136	9803	none	none
1	locus 1_0137	7219	none	none
1	locus 1_0138	7298	none	none
1	locus 1_0139	9968	none	none
1	locus 1_0140	2076	none	none
1	locus 1_0141	8581	none	none
1	locus 1_0142	9319	none	none
1	locus 1_0143	4272	none	none
1	locus 1_0144	8530	none	none
1	locus 1_0145	5710	none	none
1	locus 1_0146	8610	none	none
1	locus 1_0147	8211	none	none
1	locus 1_0148	4466	none	none
1	locus 1_0149	3964	none	none
1	locus 1_0150	3355	none	none
1	locus 1_0151	4297	none	none
1	locus 1_0152	4912	none	none
1	locus 1_0153	7433	none	none
1	locus 1_0154	2801	none	none
1	locus 1_0155	3340	none	none
1	locus 1_0156	3884	none	none
1	locus 1_0157	6341	none	none
1	locus 1_0158	9596	none	none
1	locus 1_0159	9524	none	none
1	locus 1_0160	2482	none	none
1	locus 1_0161	4476	none	none
1	locus 1_0162	6437	none	none
1	locus 1_0163	3589	none	none
1	locus 1_0164	6906	none	none
1	locus 1_0165	4430	none	none
1	locus 1_0166	2309	none	none
1	locus 1_0167	5245	none	none
1	locus 1_0168	4458	none	none
1	locus 1_0169	2134	none	none
1	locus 1_0170	3471	none	none
1	locus 1_0171	995	none	none
1	locus 1_0172	8611	none	none
1	locus 1_0173	2446	none	none
1	locus 1_0174	4570	none	none
1	locus 1_0175	4565	none	none
1	locus 1_0176	737	none	none
1	locus 1_0177	1283	none	none
1	locus 1_0178	3871	none	none
1	locus 1_0179	130	none	none
1	locus 1_0180	6204	none	none
1	locus 1_0181	5960	none	none
1	locus 1_0182	986	none	none
1	locus 1_0183	7492	none	none
1	locus 1_0184	3214	none	none
1	locus 1_0185	4214	none	none
1	locus 1_0186	9911	none	none
1	locus 1_0187	3228	none	none
1	locus 1_0188	6722	none	none
1	locus 1_0189	1799	none	none
1	locus 1_0190	4000	none	none
1	locus 1_0191	7299	none	none
1	locus 1_0192	263	none	none
1	locus 1_0193	6801	none	none
1	locus 1_0194	9030	none	none
1	locus 1_0195	3570	none	none
1	locus 1_0196	8281	none	none
1	locus 1_0197	5780	none	none
1	locus 1_0198	8073	none	none
1	locus 1_0199	2426	none	none
1	locus 1_0200	8815	none	none
1	locus 1_0201	6835	none	none
1	locus 1_0202	6128	none	none
1	locus 1_0203	9447	none	none
1	locus 1_0204	3618	none	none
1	locus 1_0205	4017	none	none
1	locus 1_0206	1741	none	none
1	locus 1_0207	4085	none	none
1	locus 1_0208	682	none	none
1	locus 1_0209	4846	none	none
1	locus 1_0210	244	none	none
1	locus 1_0211	4081	none	none
1	locus 1_0212	6850	none	none
1	locus 1_0213	4443	none	none
1	locus 1_0214	3152	none	none
1	locus 1_0215	5903	none	none
1	locus 1_0216	4581	none	none
1	locus 1_0217	9339	none	none
1	locus 1_0218	3532	none	none
1	locus 1_0219	6256	none	none
1	locus 1_0220	861	none	none
1	locus 1_0221	8856	none	none
1	locus 1_0222	5164	none	none
1	locus 1_0223	9306	none	none
1	locus 1_0224	348	none	none
1	locus 1_0225	1696	none	none
1	locus 1_0226	8813	none	none
2	locus 2_0001	605	none	none
2	locus 2_0002	224	none	none
2	locus 2_0003	8342	none	none
2	locus 2_0004	2105	none	none
2	locus 2_0005	7309	none	none
2	locus 2_0006	1498	none	none
2	locus 2_0007	1152	none	none
2	locus 2_0008	8826	none	none
2	locus 2_0009	9435	none	none
2	locus 2_0010	1850	none	none
2	locus 2_0011	5182	none	none
2	locus 2_0012	9707	none	none
2	locus 2_0013	1606	none	none
2	locus 2_0014	3094	none	none
2	locus 2_0015	1350	none	none
2	locus 2_0016	8527	none	none
2	locus 2_0017	1980	none	none
2	locus 2_0018	5888	none	none
2	locus 2_0019	518	none	none
2	locus 2_0020	9236	none	none
2	locus 2_0021	9852	none	none
2	locus 2_0022	867	none	none
2	locus 2_0023	1044	none	none
2	locus 2_0024	4737	none	none
2	locus 2_0025	6534	none	none
2	locus 2_0026	1355	none	none
2	locus 2_0027	7922	none	none
2	locus 2_0028	3982	none	none
2	locus 2_0029	5704	none	none
2	locus 2_0030	4174	none	none
2	locus 2_0031	3997	none	none
2	locus 2_0032	1866	none	none
2	locus 2_0033	7697	none	none
2	locus 2_0034	8127	none	none
2	locus 2_0035	1981	none	none
2	locus 2_0036	8033	none	none
2	locus 2_0037	1149	none	none
2	locus 2_0038	8753	none	none
2	locus 2_0039	3605	none	none
2	locus 2_0040	7767	none	none
2	locus 2_0041	941	none	none
2	locus 2_0042	3230	none	none
2	locus 2_0043	2505	none	none
2	locus 2_0044	4497	none	none
2	locus 2_0045	6224	none	none
2	locus 2_0046	3038	none	none
2	locus 2_0047	611	none	none
2	locus 2_0048	3392	none	none
2	locus 2_0049	1911	none	none
2	locus 2_0050	6446	none	none
2	locus 2_0051	6359	none	none
2	locus 2_0052	7545	none	none
2	locus 2_0053	3408	none	none
2	locus 2_0054	1472	none	none
2	locus 2_0055	1829	none	none
2	locus 2_0056	1006	none	none
2	locus 2_0057	416	none	none
2	locus 2_0058	9711	none	none
2	locus 2_0059	8405	none	none
2	locus 2_0060	6404	none	none
2	locus 2_0061	7060	none	none
2	locus 2_0062	377	none	none
2	locus 2_0063	674	none	none
2	locus 2_0064	3396	none	none
2	locus 2_0065	4143	none	none
2	locus 2_0066	5999	none	none
2	locus 2_0067	6835	none	none
2	locus 2_0068	7543	none	none
2	locus 2_0069	6154	none	none
2	locus 2_0070	8668	none	none
2	locus 2_0071	5099	none	none
2	locus 2_0072	6872	none	none
2	locus 2_0073	2683	none	none
2	locus 2_0074	8235	none	none
2	locus 2_0075	5022	none	none
2	locus 2_0076	1073	none	none
2	locus 2_0077	15	none	none
2	locus 2_0078	6211	none	none
2	locus 2_0079	3009	none	none
2	locus 2_0080	7267	none	none
2	locus 2_0081	5483	none	none
2	locus 2_0082	6097	none	none
2	locus 2_0083	924	none	none
2	locus 2_0084	2962	none	none
2	locus 2_0085	3113	none	none
2	locus 2_0086	7818	none	none
2	locus 2_0087	7443	none	none
2	locus 2_0088	5533	none	none
2	locus 2_0089	1604	none	none
2	locus 2_0090	291	none	none
2	locus 2_0091	1797	none	none
2	locus 2_0092	500	none	none
2	locus 2_0093	2287	none	none
2	locus 2_0094	1486	none	none
2	locus 2_0095	8854	none	none
2	locus 2_0096	7368	none	none
2	locus 2_0097	6974	none	none
2	locus 2_0098	5108	none	none
2	locus 2_0099	7861	none	none
2	locus 2_0100	7801	none	none
2	locus 2_0101	7460	none	none
2	locus 2_0102	7796	none	none
2	locus 2_0103	3642	none	none
2	locus 2_0104	72	none	none
2	locus 2_0105	6513	none	none
2	locus 2_0106	8289	none	none
2	locus 2_0107	9901	none	none
2	locus 2_0108	5712	none	none
2	locus 2_0109	527	none	none
2	locus 2_0110	8467	none	none
2	locus 2_0111	6705	none	none
2	locus 2_0112	6333	none	none
2	locus 2_0113	7966	none	none
2	locus 2_0114	449	none	none
2	locus 2_0115	142	none	none
2	locus 2_0116	8353	none	none
2	locus 2_0117	7887	none	none
2	locus 2_0118	6035	none	none
2	locus 2_0119	2035	none	none
2	locus 2_0120	8997	none	none
2	locus 2_0121	8106	none	none
2	locus 2_0122	6888	none	none
2	locus 2_0123	8024	none	none
2	locus 2_0124	8404	none	none
2	locus 2_0125	2998	none	none
2	locus 2_0126	5437	none	none
2	locus 2_0127	1444	none	none
2	locus 2_0128	5154	none	none
2	locus 2_0129	7028	none	none
2	locus 2_0130	5632	none	none
2	locus 2_0131	2539	none	none
2	locus 2_0132	14	none	none
2	locus 2_0133	2589	none	none
2	locus 2_0134	2701	none	none
2	locus 2_0135	5132	none	none
2	locus 2_0136	9851	none	none
2	locus 2_0137	8137	none	none
2	locus 2_0138	8607	none	none
2	locus 2_0139	4017	none	none
2	locus 2_0140	9031	none	none
2	locus 2_0141	2840	none	none
2	locus 2_0142	1478	none	none
2	locus 2_0143	49	none	none
2	locus 2_0144	2039	none	none
2	locus 2_0145	4947	none	none
2	locus 2_0146	1527	none	none
2	locus 2_0147	9061	none	none
2	locus 2_0148	9599	none	none
2	locus 2_0149	8794	none	none
2	locus 2_0150	648	none	none
2	locus 2_0151	1797	none	none
2	locus 2_0152	7059	none	none
2	locus 2_0153	6202	none	none
2	locus 2_0154	5914	none	none
2	locus 2_0155	8014	none	none
2	locus 2_0156	1170	none	none
2	locus 2_0157	559	none	none
2	locus 2_0158	3433	none	none
2	locus 2_0159	2242	none	none
2	locus 2_0160	1646	none	none
2	locus 2_0161	4150	none	none
2	locus 2_0162	3029	none	none
2	locus 2_0163	3115	none	none
2	locus 2_0164	5286	none	none
2	locus 2_0165	6595	none	none
2	locus 2_0166	1059	none	none
2	locus 2_0167	2751	none	none
2	locus 2_0168	3889	none	none
2	locus 2_0169	8410	none	none
2	locus 2_0170	7430	none	none
2	locus 2_0171	9218	none	none
2	locus 2_0172	8644	none	none
2	locus 2_0173	242	none	none
2	locus 2_0174	4139	none	none
2	locus 2_0175	2050	none	none
2	locus 2_0176	2238	none	none
2	locus 2_0177	5263	none	none
2	locus 2_0178	9471	none	none
2	locus 2_0179	3149	none	none
2	locus 2_0180	4723	none	none
2	locus 2_0181	5033	none	none
2	locus 2_0182	2745	none	none
2	locus 2_0183	1743	none	none
2	locus 2_0184	2858	none	none
2	locus 2_0185	2567	none	none
2	locus 2_0186	3353	none	none
2	locus 2_0187	3489	none	none
2	locus 2_0188	3027	none	none
2	locus 2_0189	5694	none	none
2	locus 2_0190	7703	none	none
2	locus 2_0191	6913	none	none
2	locus 2_0192	8671	none	none
2	locus 2_0193	1863	none	none
2	locus 2_0194	6940	none	none
2	locus 2_0195	4962	none	none
2	locus 2_0196	5754	none	none
2	locus 2_0197	6941	none	none
2	locus 2_0198	2855	none	none
2	locus 2_0199	2038	none	none
2	locus 2_0200	2328	none	none
2	locus 2_0201	9640	none	none
2	locus 2_0202	8022	none	none
2	locus 2_0203	7495	none	none
2	locus 2_0204	1036	none	none
2	locus 2_0205	2405	none	none
2	locus 2_0206	148	none	none
2	locus 2_0207	5137	none	none
2	locus 2_0208	9029	none	none
2	locus 2_0209	7624	none	none
2	locus 2_0210	5145	none	none
2	locus 2_0211	7131	none	none
2	locus 2_0212	1683	none	none
2	locus 2_0213	6388	none	none
2	locus 2_0214	6821	none	none
2	locus 2_0215	2428	none	none
2	locus 2_0216	8622	none	none
2	locus 2_0217	9072	none	none
2	locus 2_0218	4083	none	none
2	locus 2_0219	2423	none	none
2	locus 2_0220	1115	none	none
2	locus 2_0221	2666	none	none
2	locus 2_0222	2828	none	none
2	locus 2_0223	5500	none	none
2	locus 2_0224	7363	none	none
2	locus 2_0225	6041	none	none
2	locus 2_0226	9833	none	none
2	locus 2_0227	8614	none	none
2	locus 2_0228	3742	none	none
2	locus 2_0229	8261	none	none
2	locus 2_0230	5167	none	none
2	locus 2_0231	7666	none	none
2	locus 2_0232	2284	none	none
2	locus 2_0233	8066	none	none
2	locus 2_0234	8283	none	none
2	locus 2_0235	9702	none	none
2	locus 2_0236	3388	none	none
2	locus 2_0237	9115	none	none
2	locus 2_0238	2365	none	none
2	locus 2_0239	6321	none	none
2	locus 2_0240	2679	none	none
2	locus 2_0241	4430	none	none
2	locus 2_0242	3475	none	none
2	locus 2_0243	6269	none	none
2	locus 2_0244	4934	none	none
2	locus 2_0245	6791	none	none
2	locus 2_0246	7705	none	none
2	locus 2_0247	5064	none	none
2	locus 2_0248	5817	none	none
2	locus 2_0249	7436	none	none
2	locus 2_0250	6725	none	none
2	locus 2_0251	987	none	none
2	locus 2_0252	2200	none	none
2	locus 2_0253	6210	none	none
2	locus 2_0254	1316	none	none
2	locus 2_0255	7632	none	none
2	locus 2_0256	9615	none	none
2	locus 2_0257	6488	none	none
2	locus 2_0258	8137	none	none
2	locus 2_0259	107	none	none
2	locus 2_0260	6650	none	none
2	locus 2_0261	9961	none	none
2	locus 2_0262	8076	none	none
2	locus 2_0263	4074	none	none
2	locus 2_0264	7477	none	none
2	locus 2_0265	6073	none	none
2	locus 2_0266	6506	none	none
2	locus 2_0267	3779	none	none
2	locus 2_0268	7163	none	none
2	locus 2_0269	3551	none	none
2	locus 2_0270	70	none	none
2	locus 2_0271	3190	none	none
2	locus 2_0272	2374	none	none
2	locus 2_0273	1916	none	none
2	locus 2_0274	5465	none	none
2	locus 2_0275	3875	none	none
2	locus 2_0276	7857	none	none
2	locus 2_0277	4301	none	none
2	locus 2_0278	4562	none	none
2	locus 2_0279	2867	none	none
2	locus 2_0280	2722	none	none
2	locus 2_0281	7556	none	none
2	locus 2_0282	7390	none	none
2	locus 2_0283	3088	none	none
2	locus 2_0284	9358	none	none
2	locus 2_0285	7113	none	none
2	locus 2_0286	8476	none	none
2	locus 2_0287	1032	none	none
2	locus 2_0288	7810	none	none
2	locus 2_0289	5452	none	none
2	locus 2_0290	6930	none	none
2	locus 2_0291	1910	none	none
2	locus 2_0292	4757	none	none
2	locus 2_0293	4347	none	none
2	locus 2_0294	7223	none	none
2	locus 2_0295	2757	none	none
2	locus 2_0296	5069	none	none
2	locus 2_0297	6034	none	none
2	locus 2_0298	6699	none	none
2	locus 2_0299	6693	none	none
2	locus 2_0300	2139	none	none
2	locus 2_0301	9603	none	none
2	locus 2_0302	3074	none	none
2	locus 2_0303	9334	none	none
2	locus 2_0304	3214	none	none
2	locus 2_0305	9716	none	none
2	locus 2_0306	1353	none	none
2	locus 2_0307	4738	none	none
3	locus 3_0001	3042	none	none
3	locus 3_0002	4443	none	none
3	locus 3_0003	7406	none	none
3	locus 3_0004	9749	none	none
3	locus 3_0005	741	none	none
3	locus 3_0006	9523	none	none
3	locus 3_0007	6572	none	none
3	locus 3_0008	3305	none	none
3	locus 3_0009	1251	none	none
3	locus 3_0010	7639	none	none
3	locus 3_0011	263	none	none
3	locus 3_0012	1893	none	none
3	locus 3_0013	8603	none	none
3	locus 3_0014	1637	none	none
3	locus 3_0015	9893	none	none
3	locus 3_0016	9297	none	none
3	locus 3_0017	2689	none	none
3	locus 3_0018	8173	none	none
3	locus 3_0019	1411	none	none
3	locus 3_0020	7882	none	none
3	locus 3_0021	5123	none	none
3	locus 3_0022	8292	none	none
3	locus 3_0023	4269	none	none
3	locus 3_0024	7894	none	none
3	locus 3_0025	6409	none	none
3	locus 3_0026	2958	none	none
3	locus 3_0027	3647	none	none
3	locus 3_0028	1629	none	none
3	locus 3_0029	7828	none	none
3	locus 3_0030	7068	none	none
3	locus 3_0031	9777	none	none
3	locus 3_0032	5359	none	none
3	locus 3_0033	2618	none	none
3	locus 3_0034	322	none	none
3	locus 3_0035	6107	none	none
3	locus 3_0036	5706	none	none
3	locus 3_0037	9361	none	none
3	locus 3_0038	41	none	none
3	locus 3_0039	4062	none	none
3	locus 3_0040	2173	none	none
3	locus 3_0041	7540	none	none
3	locus 3_0042	4612	none	none
3	locus 3_0043	4139	none	none
3	locus 3_0044	9430	none	none
3	locus 3_0045	2636	none	none
3	locus 3_0046	3138	none	none
3	locus 3_0047	188	none	none
3	locus 3_0048	4255	none	none
3	locus 3_0049	144	none	none
3	locus 3_0050	3484	none	none
3	locus 3_0051	5451	none	none
3	locus 3_0052	4928	none	none
3	locus 3_0053	9746	none	none
3	locus 3_0054	9347	none	none
3	locus 3_0055	6201	none	none
3	locus 3_0056	8792	none	none
3	locus 3_0057	4249	none	none
3	locus 3_0058	8417	none	none
3	locus 3_0059	502	none	none
3	locus 3_0060	3726	none	none
3	locus 3_0061	4824	none	none
3	locus 3_0062	9165	none	none
3	locus 3_0063	1941	none	none
3	locus 3_0064	8192	none	none
3	locus 3_0065	4599	none	none
3	locus 3_0066	2612	none	none
3	locus 3_0067	2127	none	none
3	locus 3_0068	5860	none	none
3	locus 3_0069	4839	none	none
3	locus 3_0070	7837	none	none
3	locus 3_0071	8532	none	none
3	locus 3_0072	2303	none	none
3	locus 3_0073	8332	none	none
3	locus 3_0074	6582	none	none
3	locus 3_0075	728	none	none
3	locus 3_0076	7521	none	none
3	locus 3_0077	5416	none	none
3	locus 3_0078	4252	none	none
3	locus 3_0079	1002	none	none
3	locus 3_0080	4208	none	none
3	locus 3_0081	923	none	none
3	locus 3_0082	6724	none	none
3	locus 3_0083	7502	none	none
3	locus 3_0084	7122	none	none
3	locus 3_0085	8747	none	none
3	locus 3_0086	7769	none	none
3	locus 3_0087	5799	none	none
3	locus 3_0088	9717	none	none
3	locus 3_0089	2926	none	none
3	locus 3_0090	4183	none	none
3	locus 3_0091	4198	none	none
3	locus 3_0092	9449	none	none
3	locus 3_0093	4496	none	none
3	locus 3_0094	619	none	none
3	locus 3_0095	2657	none	none
3	locus 3_0096	2881	none	none
3	locus 3_0097	3981	none	none
3	locus 3_0098	9406	none	none
3	locus 3_0099	368	none	none
3	locus 3_0100	2557	none	none
3	locus 3_0101	6334	none	none
3	locus 3_0102	3404	none	none
3	locus 3_0103	9545	none	none
3	locus 3_0104	4073	none	none
3	locus 3_0105	8120	none	none
3	locus 3_0106	4167	none	none
3	locus 3_0107	1398	none	none
3	locus 3_0108	5161	none	none
3	locus 3_0109	5608	none	none
3	locus 3_0110	8811	none	none
3	locus 3_0111	4986	none	none
3	locus 3_0112	1202	none	none
3	locus 3_0113	1094	none	none
3	locus 3_0114	4291	none	none
3	locus 3_0115	3238	none	none
3	locus 3_0116	6111	none	none
3	locus 3_0117	5882	none	none
3	locus 3_0118	7395	none	none
3	locus 3_0119	1131	none	none
3	locus 3_0120	177	none	none
3	locus 3_0121	1686	none	none
3	locus 3_0122	9809	none	none
3	locus 3_0123	5852	none	none
3	locus 3_0124	1908	none	none
3	locus 3_0125	2588	none	none
3	locus 3_0126	5325	none	none
3	locus 3_0127	3741	none	none
3	locus 3_0128	449	none	none
3	locus 3_0129	4275	none	none
3	locus 3_0130	8922	none	none
3	locus 3_0131	6908	none	none
3	locus 3_0132	1282	none	none
3	locus 3_0133	473	none	none
3	locus 3_0134	9109	none	none
3	locus 3_0135	2142	none	none
3	locus 3_0136	7345	none	none
3	locus 3_0137	5002	none	none
3	locus 3_0138	3210	none	none
3	locus 3_0139	2417	none	none
3	locus 3_0140	2404	none	none
3	locus 3_0141	7154	none	none
3	locus 3_0142	8929	none	none
3	locus 3_0143	8079	none	none
3	locus 3_0144	7283	none	none
3	locus 3_0145	8019	none	none
3	locus 3_0146	7444	none	none
3	locus 3_0147	3351	none	none
3	locus 3_0148	4823	none	none
3	locus 3_0149	3247	none	none
3	locus 3_0150	6671	none	none
3	locus 3_0151	3202	none	none
3	locus 3_0152	9032	none	none
3	locus 3_0153	9428	none	none
3	locus 3_0154	5990	none	none
3	locus 3_0155	4420	none	none
3	locus 3_0156	4073	none	none
3	locus 3_0157	6296	none	none
3	locus 3_0158	13	none	none
3	locus 3_0159	6448	none	none
3	locus 3_0160	8233	none	none
3	locus 3_0161	2063	none	none
3	locus 3_0162	1779	none	none
3	locus 3_0163	5368	none	none
3	locus 3_0164	6628	none	none
3	locus 3_0165	661	none	none
3	locus 3_0166	2789	none	none
3	locus 3_0167	837	none	none
3	locus 3_0168	7134	none	none
3	locus 3_0169	2517	none	none
3	locus 3_0170	8253	none	none
3	locus 3_0171	8065	none	none
3	locus 3_0172	163	none	none
3	locus 3_0173	5917	none	none
3	locus 3_0174	445	none	none
3	locus 3_0175	4282	none	none
3	locus 3_0176	6680	none	none
3	locus 3_0177	5804	none	none
3	locus 3_0178	9932	none	none
3	locus 3_0179	2678	none	none
3	locus 3_0180	8695	none	none
3	locus 3_0181	4341	none	none
3	locus 3_0182	3536	none	none
3	locus 3_0183	6198	none	none
3	locus 3_0184	8930	none	none
3	locus 3_0185	2015	none	none
3	locus 3_0186	5566	none	none
3	locus 3_0187	910	none	none
3	locus 3_0188	1449	none	none
3	locus 3_0189	5934	none	none
3	locus 3_0190	881	none	none
3	locus 3_0191	2552	none	none
3	locus 3_0192	8135	none	none
3	locus 3_0193	1137	none	none
3	locus 3_0194	437	none	none
3	locus 3_0195	6718	none	none
3	locus 3_0196	4653	none	none
3	locus 3_0197	4038	none	none
3	locus 3_0198	198	none	none
3	locus 3_0199	1179	none	none
3	locus 3_0200	4419	none	none
3	locus 3_0201	3810	none	none
3	locus 3_0202	62	none	none
3	locus 3_0203	8304	none	none
3	locus 3_0204	3045	none	none
3	locus 3_0205	592	none	none
3	locus 3_0206	9121	none	none
3	locus 3_0207	2751	none	none
3	locus 3_0208	6972	none	none
3	locus 3_0209	6768	none	none
3	locus 3_0210	7651	none	none
3	locus 3_0211	4378	none	none
3	locus 3_0212	951	none	none
3	locus 3_0213	1548	none	none
3	locus 3_0214	3533	none	none
3	locus 3_0215	8036	none	none
3	locus 3_0216	5828	none	none
3	locus 3_0217	7941	none	none
3	locus 3_0218	6605	none	none
3	locus 3_0219	6793	none	none
3	locus 3_0220	8758	none	none
3	locus 3_0221	3912	none	none
3	locus 3_0222	7435	none	none
3	locus 3_0223	6754	none	none
3	locus 3_0224	9397	none	none
3	locus 3_0225	2393	none	none
3	locus 3_0226	1860	none	none
4	locus 4_0001	5729	none	none
4	locus 4_0002	5206	none	none
4	locus 4_0003	8849	none	none
4	locus 4_0004	7417	none	none
4	locus 4_0005	6795	none	none
4	locus 4_0006	5553	none	none
4	locus 4_0007	7079	none	none
4	locus 4_0008	1107	none	none
4	locus 4_0009	5196	none	none
4	locus 4_0010	2884	none	none
4	locus 4_0011	5535	none	none
4	locus 4_0012	5625	none	none
4	locus 4_0013	9851	none	none
4	locus 4_0014	8794	none	none
4	locus 4_0015	5709	none	none
4	locus 4_0016	742	none	none
4	locus 4_0017	5387	none	none
4	locus 4_0018	217	none	none
4	locus 4_0019	1111	none	none
4	locus 4_0020	4241	none	none
4	locus 4_0021	1165	none	none
4	locus 4_0022	7419	none	none
4	locus 4_0023	7536	none	none
4	locus 4_0024	6146	none	none
4	locus 4_0025	3831	none	none
4	locus 4_0026	359	none	none
4	locus 4_0027	8140	none	none
4	locus 4_0028	6097	none	none
4	locus 4_0029	4945	none	none
4	locus 4_0030	4592	none	none
4	locus 4_0031	6495	none	none
4	locus 4_0032	4914	none	none
4	locus 4_0033	9871	none	none
4	locus 4_0034	2864	none	none
4	locus 4_0035	4935	none	none
4	locus 4_0036	9358	none	none
4	locus 4_0037	2954	none	none
4	locus 4_0038	8402	none	none
4	locus 4_0039	3014	none	none
4	locus 4_0040	9223	none	none
4	locus 4_0041	9236	none	none
4	locus 4_0042	5615	none	none
4	locus 4_0043	4719	none	none
4	locus 4_0044	4866	none	none
4	locus 4_0045	4950	none	none
4	locus 4_0046	2389	none	none
4	locus 4_0047	4613	none	none
4	locus 4_0048	396	none	none
4	locus 4_0049	260	none	none
4	locus 4_0050	5249	none	none
4	locus 4_0051	619	none	none
4	locus 4_0052	8499	none	none
4	locus 4_0053	9868	none	none
4	locus 4_0054	1963	none	none
4	locus 4_0055	4536	none	none
4	locus 4_0056	6756	none	none
4	locus 4_0057	3588	none	none
4	locus 4_0058	3508	none	none
4	locus 4_0059	5526	none	none
4	locus 4_0060	108	none	none
4	locus 4_0061	974	none	none
4	locus 4_0062	2523	none	none
4	locus 4_0063	9470	none	none
4	locus 4_0064	9419	none	none
4	locus 4_0065	9711	none	none
4	locus 4_0066	1868	none	none
4	locus 4_0067	9136	none	none
