Brach chrom	Brach gene	Start	aliases	annotation
1	Bradi1g03090	2043853	none	none
1	Bradi1g03100	2045978	none	none
1	Bradi1g03110	2053325	none	none
1	Bradi1g03120	2057532	none	none
1	Bradi1g03130	2059674	none	none
1	Bradi1g03140	2067658	none	none
1	Bradi1g03150	2077995	none	none
1	Bradi1g03160	2081852	none	none
1	Bradi1g03170	2084849	none	none
1	Bradi1g03180	2091116	none	none
1	Bradi1g03190	2108797	none	none
1	Bradi1g03200	2113103	none	none
1	Bradi1g03210	2118309	none	none
1	Bradi1g03220	2124331	none	none
1	Bradi1g03230	2128838	none	none
1	Bradi1g03240	2143004	none	none
1	Bradi1g03250	2148053	none	none
1	Bradi1g03260	2155277	none	none
1	Bradi1g03270	2161227	none	none
1	Bradi1g03280	2167723	none	none
1	Bradi1g03290	2174361	none	none
1	Bradi1g03300	2177487	none	none
1	Bradi1g03310	2178969	none	none
1	Bradi1g03320	2183582	none	none
1	Bradi1g03330	2191397	none	none
1	Bradi1g03340	2196115	none	none
1	Bradi1g03350	2197363	none	none
1	Bradi1g03360	2203534	none	none
1	Bradi1g03370	2209391	none	none
1	Bradi1g03380	2211949	none	none
1	Bradi1g03390	2220442	none	none
1	Bradi1g03400	2222756	none	none
1	Bradi1g03410	2225967	none	none
1	Bradi1g03420	2228851	none	none
1	Bradi1g03430	2249266	none	none
1	Bradi1g03440	2275736	none	none
1	Bradi1g03450	2279083	none	none
1	Bradi1g03460	2283962	none	none
1	Bradi1g03470	2286167	none	none
1	Bradi1g03480	2298338	none	none
1	Bradi1g03490	2317250	none	none
1	Bradi1g03500	2328359	none	none
1	Bradi1g03510	2335760	none	none
1	Bradi1g03520	2340223	none	none
1	Bradi1g03530	2342287	none	none
1	Bradi1g03540	2352775	none	none
1	Bradi1g03550	2355353	none	none
1	Bradi1g03560	2373762	none	none
1	Bradi1g03570	2378921	none	none
1	Bradi1g03580	2382896	none	none
1	Bradi1g03590	2384854	none	none
1	Bradi1g03600	2391550	none	none
1	Bradi1g03610	2395360	none	none
1	Bradi1g03620	2398465	none	none
1	Bradi1g03630	2412899	none	none
1	Bradi1g03640	2452238	none	none
1	Bradi1g03650	2456234	none	none
1	Bradi1g03660	2462619	none	none
1	Bradi1g03670	2466241	none	none
1	Bradi1g03680	2474429	none	none
1	Bradi1g03690	2487490	none	none
1	Bradi1g03700	2492602	none	none
1	Bradi1g03710	2505000	none	none
1	Bradi1g03720	2511355	none	none
1	Bradi1g03730	2518200	none	none
1	Bradi1g03740	2527113	none	none
1	Bradi1g03750	2528831	none	none
1	Bradi1g03760	2531857	none	none
1	Bradi1g03770	2535202	none	none
1	Bradi1g03780	2537520	none	none
1	Bradi1g03790	2542710	none	none
1	Bradi1g03800	2546914	none	none
1	Bradi1g03810	2556326	none	none
1	Bradi1g03820	2557621	none	none
1	Bradi1g03830	2563514	none	none
1	Bradi1g03840	2567445	none	none
1	Bradi1g03850	2572531	none	none
1	Bradi1g03860	2588405	none	none
1	Bradi1g03870	2594047	none	none
1	Bradi1g03880	2601482	none	none
1	Bradi1g03890	2609885	none	none
1	Bradi1g03900	2615149	none	none
1	Bradi1g03910	2623802	none	none
1	Bradi1g03920	2626963	none	none
1	Bradi1g03930	2635006	none	none
1	Bradi1g03940	2643064	none	none
1	Bradi1g03950	2654523	none	none
1	Bradi1g03960	2669240	none	none
1	Bradi1g03970	2712619	none	none
1	Bradi1g03980	2728652	none	none
1	Bradi1g03990	2735417	none	none
1	Bradi1g04000	2736904	none	none
1	Bradi1g04010	2749526	none	none
1	Bradi1g04020	2752409	none	none
1	Bradi1g04030	2753428	none	none
1	Bradi1g04040	2758628	none	none
1	Bradi1g04050	2760256	none	none
1	Bradi1g04060	2764441	none	none
1	Bradi1g04070	2768919	none	none
1	Bradi1g04080	2776045	none	none
1	Bradi1g04090	2779938	none	none
1	Bradi1g04100	2783797	none	none
1	Bradi1g04110	2788463	none	none
1	Bradi1g04120	2791350	none	none
1	Bradi1g04130	2800694	none	none
1	Bradi1g04140	2807882	none	none
1	Bradi1g04150	2816863	none	none
1	Bradi1g04160	2819111	none	none
1	Bradi1g04170	2823835	none	none
1	Bradi1g04180	2827160	none	none
1	Bradi1g04190	2832355	none	none
1	Bradi1g04200	2837168	none	none
1	Bradi1g04210	2840820	none	none
1	Bradi1g04220	2857451	none	none
1	Bradi1g04230	2862017	none	none
1	Bradi1g04240	2875631	none	none
1	Bradi1g04250	2879050	none	none
1	Bradi1g04260	2882926	none	none
1	Bradi1g04270	2888102	none	none
1	Bradi1g04280	2900786	none	none
1	Bradi1g04290	2918796	none	none
1	Bradi1g04300	2925625	none	none
1	Bradi1g04310	2936075	none	none
1	Bradi1g04320	2939893	none	none
1	Bradi1g04330	2942774	none	none
1	Bradi1g04340	2950987	none	none
1	Bradi1g04350	2957517	none	none
1	Bradi1g04360	2960973	none	none
1	Bradi1g04370	2965963	none	none
1	Bradi1g04380	2967482	none	none
1	Bradi1g04390	2970627	none	none
1	Bradi1g04400	2971902	none	none
1	Bradi1g04410	2989232	none	none
1	Bradi1g04420	2990853	none	none
1	Bradi1g04430	2992052	none	none
1	Bradi1g04440	2995211	none	none
1	Bradi1g04450	3000683	none	none
1	Bradi1g04460	3002419	none	none
1	Bradi1g04470	3004917	none	none
1	Bradi1g04480	3007102	none	none
1	Bradi1g04490	3010159	none	none
1	Bradi1g04500	3011518	none	none
1	Bradi1g04510	3027649	none	none
1	Bradi1g04520	3031361	none	none
1	Bradi1g04530	3034882	none	none
1	Bradi1g04540	3044209	none	none
1	Bradi1g04550	3050177	none	none
1	Bradi1g04560	3052865	none	none
1	Bradi1g04570	3057269	none	none
1	Bradi1g04580	3066317	none	none
1	Bradi1g04590	3078295	none	none
1	Bradi1g04600	3083609	none	none
1	Bradi1g04610	3098043	none	none
1	Bradi1g04620	3103118	none	none
1	Bradi1g04630	3108431	none	none
1	Bradi1g04640	3112631	none	none
1	Bradi1g04650	3116034	none	none
1	Bradi1g04660	3118097	none	none
1	Bradi1g04670	3121842	none	none
1	Bradi1g04680	3128534	none	none
1	Bradi1g04690	3143634	none	none
1	Bradi1g04700	3147661	none	none
1	Bradi1g04710	3150394	none	none
1	Bradi1g04720	3153874	none	none
1	Bradi1g04730	3163156	none	none
1	Bradi1g04740	3166861	none	none
1	Bradi1g04750	3170544	none	none
1	Bradi1g04760	3174603	none	none
1	Bradi1g04770	3177482	none	none
1	Bradi1g04780	3184173	none	none
1	Bradi1g04790	3186322	none	none
1	Bradi1g04800	3190006	none	none
1	Bradi1g04810	3195286	none	none
1	Bradi1g04820	3197897	none	none
1	Bradi1g04830	3203642	none	none
1	Bradi1g04840	3213676	none	none
1	Bradi1g04850	3216937	none	none
1	Bradi1g04860	3226311	none	none
1	Bradi1g04870	3232026	none	none
1	Bradi1g04880	3242446	none	none
1	Bradi1g04890	3245694	none	none
1	Bradi1g04900	3247281	none	none
1	Bradi1g04910	3260690	none	none
1	Bradi1g04920	3262159	none	none
1	Bradi1g04930	3268869	none	none
1	Bradi1g04940	3274858	none	none
1	Bradi1g04950	3278349	none	none
1	Bradi1g04960	3288578	none	none
1	Bradi1g04970	3303828	none	none
1	Bradi1g04980	3307279	none	none
1	Bradi1g04990	3322921	none	none
1	Bradi1g05000	3326700	none	none
1	Bradi1g05010	3330519	none	none
1	Bradi1g05020	3333896	none	none
1	Bradi1g05030	3336960	none	none
1	Bradi1g05040	3342874	none	none
1	Bradi1g05050	3346834	none	none
1	Bradi1g05060	3363204	none	none
1	Bradi1g05070	3376464	none	none
1	Bradi1g05080	3381497	none	none
1	Bradi1g05090	3383983	none	none
1	Bradi1g05100	3388262	none	none
1	Bradi1g05110	3396075	none	none
1	Bradi1g05120	3410819	none	none
1	Bradi1g05130	3424672	none	none
1	Bradi1g05140	3433329	none	none
1	Bradi1g05150	3435837	none	none
1	Bradi1g05160	3447802	none	none
1	Bradi1g05170	3456950	none	none
1	Bradi1g05180	3469409	none	none
1	Bradi1g05190	3479778	none	none
1	Bradi1g05200	3487688	none	none
1	Bradi1g05210	3515908	none	none
1	Bradi1g05220	3520808	none	none
1	Bradi1g05230	3522177	none	none
1	Bradi1g05240	3545523	none	none
1	Bradi1g05250	3561073	none	none
1	Bradi1g05260	3569865	none	none
1	Bradi1g05270	3574497	none	none
1	Bradi1g05280	3577528	none	none
1	Bradi1g05290	3584646	none	none
1	Bradi1g05300	3593220	none	none
1	Bradi1g05310	3596423	none	none
1	Bradi1g05320	3600491	none	none
1	Bradi1g05330	3622303	none	none
1	Bradi1g05340	3629774	none	none
1	Bradi1g05350	3634382	none	none
1	Bradi1g05360	3638915	none	none
1	Bradi1g05370	3643103	none	none
1	Bradi1g05380	3644556	none	none
1	Bradi1g05390	3655235	none	none
1	Bradi1g05400	3661997	none	none
1	Bradi1g05410	3675893	none	none
1	Bradi1g05420	3678091	none	none
1	Bradi1g05430	3682563	none	none
1	Bradi1g05440	3697812	none	none
1	Bradi1g05450	3700178	none	none
1	Bradi1g05460	3708826	none	none
1	Bradi1g05470	3711013	none	none
1	Bradi1g05480	3718882	none	none
1	Bradi1g05490	3724130	none	none
1	Bradi1g05500	3741876	none	none
1	Bradi1g05510	3752460	none	none
1	Bradi1g05520	3755825	none	none
1	Bradi1g05530	3760527	none	none
1	Bradi1g05540	3774138	none	none
1	Bradi1g05550	3776618	none	none
1	Bradi1g05560	3780174	none	none
1	Bradi1g05570	3783604	none	none
1	Bradi1g05580	3784716	none	none
1	Bradi1g05590	3789038	none	none
1	Bradi1g05600	3797110	none	none
1	Bradi1g05610	3802171	none	none
1	Bradi1g05620	3808723	none	none
1	Bradi1g05630	3811545	none	none
1	Bradi1g05640	3816200	none	none
1	Bradi1g05650	3828253	none	none
1	Bradi1g05660	3833605	none	none
1	Bradi1g05670	3846083	none	none
1	Bradi1g05680	3851405	none	none
1	Bradi1g05690	3856262	none	none
1	Bradi1g05700	3857157	none	none
1	Bradi1g05710	3882483	none	none
1	Bradi1g05720	3888176	none	none
1	Bradi1g05730	3895433	none	none
1	Bradi1g05740	3900566	none	none
1	Bradi1g05750	3902667	none	none
1	Bradi1g05760	3904475	none	none
1	Bradi1g05770	3918120	none	none
1	Bradi1g05780	3921285	none	none
1	Bradi1g05790	3927230	none	none
1	Bradi1g05800	3928275	none	none
1	Bradi1g05810	3935541	none	none
1	Bradi1g05820	3947389	none	none
1	Bradi1g05830	3949939	none	none
1	Bradi1g05840	3951302	none	none
1	Bradi1g05850	3954019	none	none
1	Bradi1g05860	3955614	none	none
1	Bradi1g05870	3959314	none	none
1	Bradi1g05880	3964190	none	none
1	Bradi1g05890	3969168	none	none
1	Bradi1g05900	3977046	none	none
1	Bradi1g05910	3978131	none	none
1	Bradi1g05920	3991791	none	none
1	Bradi1g05930	4003404	none	none
1	Bradi1g05940	4012499	none	none
1	Bradi1g05950	4014692	none	none
1	Bradi1g05960	4024034	none	none
1	Bradi1g05970	4028943	none	none
1	Bradi1g05980	4034353	none	none
1	Bradi1g05990	4047883	none	none
1	Bradi1g06000	4050647	none	none
1	Bradi1g06010	4054519	none	none
1	Bradi1g06020	4057266	none	none
1	Bradi1g06030	4060195	none	none
1	Bradi1g06040	4067650	none	none
1	Bradi1g06050	4071018	none	none
1	Bradi1g06060	4075405	none	none
1	Bradi1g06070	4080078	none	none
1	Bradi1g06080	4085507	none	none
1	Bradi1g06090	4094134	none	none
1	Bradi1g06100	4098356	none	none
1	Bradi1g06110	4106565	none	none
1	Bradi1g06120	4110377	none	none
1	Bradi1g06130	4119640	none	none
1	Bradi1g06140	4122936	none	none
1	Bradi1g06150	4123978	none	none
1	Bradi1g06160	4124906	none	none
1	Bradi1g06170	4132974	none	none
1	Bradi1g06180	4134237	none	none
1	Bradi1g06190	4143979	none	none
1	Bradi1g06200	4147825	none	none
1	Bradi1g06210	4155157	none	none
1	Bradi1g06220	4167040	none	none
1	Bradi1g06230	4172753	none	none
1	Bradi1g06240	4183695	none	none
1	Bradi1g06250	4191881	none	none
1	Bradi1g06260	4201826	none	none
1	Bradi1g06270	4206012	none	none
1	Bradi1g06280	4212445	none	none
1	Bradi1g06290	4220418	none	none
1	Bradi1g06300	4224981	none	none
1	Bradi1g06310	4229752	none	none
1	Bradi1g06320	4237787	none	none
1	Bradi1g06330	4242911	none	none
1	Bradi1g06340	4251099	none	none
1	Bradi1g06350	4260252	none	none
1	Bradi1g06360	4264645	none	none
1	Bradi1g06370	4267168	none	none
1	Bradi1g06380	4275472	none	none
1	Bradi1g06390	4290906	none	none
1	Bradi1g06400	4303721	none	none
1	Bradi1g06410	4308103	none	none
1	Bradi1g06420	4317767	none	none
1	Bradi1g06430	4329488	none	none
1	Bradi1g06440	4333332	none	none
1	Bradi1g06450	4339476	none	none
1	Bradi1g06460	4343644	none	none
1	Bradi1g06470	4352352	none	none
1	Bradi1g06480	4355734	none	none
1	Bradi1g06490	4361915	none	none
1	Bradi1g06500	4378927	none	none
1	Bradi1g06510	4385976	none	none
1	Bradi1g06520	4387407	none	none
1	Bradi1g06530	4392020	none	none
1	Bradi1g06540	4397216	none	none
1	Bradi1g06550	4400913	none	none
1	Bradi1g06560	4403766	none	none
1	Bradi1g06570	4412255	none	none
1	Bradi1g06580	4416748	none	none
1	Bradi1g06590	4423380	none	none
1	Bradi1g06600	4437713	none	none
1	Bradi1g06610	4454972	none	none
1	Bradi1g06620	4462230	none	none
1	Bradi1g06630	4473477	none	none
1	Bradi1g06640	4555620	none	none
1	Bradi1g06650	4562430	none	none
1	Bradi1g06660	4569323	none	none
1	Bradi1g06670	4574101	none	none
1	Bradi1g06680	4579670	none	none
1	Bradi1g06690	4584501	none	none
1	Bradi1g06700	4591955	none	none
1	Bradi1g06710	4595004	none	none
1	Bradi1g06720	4598934	none	none
1	Bradi1g06730	4602764	none	none
1	Bradi1g06740	4607618	none	none
1	Bradi1g06750	4611789	none	none
1	Bradi1g06760	4617336	none	none
1	Bradi1g06770	4623210	none	none
1	Bradi1g06780	4627209	none	none
1	Bradi1g06790	4629431	none	none
1	Bradi1g06800	4633404	none	none
1	Bradi1g06810	4638130	none	none
1	Bradi1g06820	4644886	none	none
1	Bradi1g06830	4649802	none	none
1	Bradi1g06840	4650487	none	none
1	Bradi1g06850	4656898	none	none
1	Bradi1g06860	4683873	none	none
1	Bradi1g06870	4756686	none	none
1	Bradi1g06880	4771970	none	none
1	Bradi1g06890	4834140	none	none
1	Bradi1g06900	4834140	none	none
1	Bradi1g06910	4849459	none	none
1	Bradi1g06920	4856519	none	none
1	Bradi1g06930	4860430	none	none
1	Bradi1g06940	4863100	none	none
1	Bradi1g06950	4865641	none	none
1	Bradi1g06960	4873403	none	none
1	Bradi1g06970	4877503	none	none
1	Bradi1g06980	4884137	none	none
1	Bradi1g06990	4888584	none	none
1	Bradi1g07000	4892945	none	none
1	Bradi1g07010	4902843	none	none
1	Bradi1g07020	4906934	none	none
1	Bradi1g07030	4921815	none	none
1	Bradi1g07040	4924018	none	none
1	Bradi1g07050	4933685	none	none
1	Bradi1g07060	4938271	none	none
1	Bradi1g07070	4943406	none	none
1	Bradi1g07080	4951679	none	none
1	Bradi1g07090	4954129	none	none
1	Bradi1g07100	4956775	none	none
1	Bradi1g07110	4961927	none	none
1	Bradi1g07120	4969398	none	none
1	Bradi1g07130	4976866	none	none
1	Bradi1g07140	4982557	none	none
1	Bradi1g07150	4992944	none	none
1	Bradi1g07160	4998285	none	none
1	Bradi1g07170	5003939	none	none
1	Bradi1g07180	5011847	none	none
1	Bradi1g07190	5022965	none	none
1	Bradi1g07200	5040137	none	none
1	Bradi1g07210	5045678	none	none
1	Bradi1g07220	5051312	none	none
1	Bradi1g07230	5059047	none	none
1	Bradi1g07240	5062618	none	none
1	Bradi1g07250	5068232	none	none
1	Bradi1g07260	5079553	none	none
1	Bradi1g07270	5089443	none	none
1	Bradi1g07280	5100303	none	none
1	Bradi1g07290	5105505	none	none
1	Bradi1g07300	5121819	none	none
1	Bradi1g07310	5138398	none	none
1	Bradi1g07320	5143635	none	none
1	Bradi1g07330	5171859	none	none
1	Bradi1g07340	5174252	none	none
1	Bradi1g07350	5177970	none	none
1	Bradi1g07360	5178937	none	none
1	Bradi1g07370	5187989	none	none
1	Bradi1g07380	5191180	none	none
1	Bradi1g07390	5201598	none	none
1	Bradi1g07400	5205558	none	none
1	Bradi1g07410	5213107	none	none
1	Bradi1g07420	5218599	none	none
1	Bradi1g07430	5225433	none	none
1	Bradi1g07440	5227767	none	none
1	Bradi1g07450	5233818	none	none
1	Bradi1g07460	5234500	none	none
1	Bradi1g07470	5241549	none	none
1	Bradi1g07480	5246453	none	none
1	Bradi1g07490	5249841	none	none
1	Bradi1g07500	5260784	none	none
1	Bradi1g07510	5267005	none	none
1	Bradi1g07520	5276349	none	none
1	Bradi1g07530	5286052	none	none
1	Bradi1g07540	5292953	none	none
1	Bradi1g07550	5306068	none	none
1	Bradi1g07560	5311541	none	none
1	Bradi1g07570	5324994	none	none
1	Bradi1g07580	5328314	none	none
1	Bradi1g07590	5330962	none	none
1	Bradi1g07600	5339514	none	none
