BOPA_C	U35 Rice Locus	U35 Rice E-Score	U35_Rice Description
12_11498	LOC_Os04g58830	1.00E-148	"protein ribosome biogenesis regulatory protein, putative, expressed"
11_10764	LOC_Os05g03190	0	"protein IQD1, putative, expressed"
12_30336	LOC_Os10g30560	4.00E-46	"protein cytokinin-O-glucosyltransferase 2, putative, expressed"
11_10597	LOC_Os01g22520	0	"protein dihydrolipoyl dehydrogenase, mitochondrial precursor, putative, expressed"
11_10275	LOC_Os02g16830	1.00E-106	"protein glutelin type-B 4 precursor, putative, expressed"
12_30268	LOC_Os05g03610	1.00E-144	"protein phospholipase C, putative, expressed"
12_11266	LOC_Os07g10350	0	"protein RRP5 protein, putative, expressed"
11_20514	LOC_Os11g08940	1.00E-35	"protein DNA-directed RNA polymerase II 8.2 kDa polypeptide, putative"
11_21134	LOC_Os05g03550	1.00E-122	"protein myb-like DNA-binding domain containing protein, expressed"
12_10314	LOC_Os07g27790	0	"protein glutamate--cysteine ligase, chloroplast precursor, putative, expressed"
12_30796	LOC_Os02g24020	1.00E-160	"protein dihydrodipicolinate reductase, putative, expressed"
11_10294	LOC_Os05g04630	0	"protein retrotransposon protein, putative, SINE subclass, expressed"
11_10259	LOC_Os05g04700	3.00E-26	"protein hydrophobic protein LTI6B, putative, expressed"
11_10526	LOC_Os05g04850	1.00E-88	"protein RNA-binding protein 8A, putative, expressed"
12_31467	LOC_Os05g04960	8.00E-29	"protein glycerolphosphate mutase, putative, expressed"
12_30683	LOC_Os05g05160	0	"protein extracellular signal-regulated kinase 1, putative, expressed"
12_10235	LOC_Os05g05700	0	"protein cullin-1, putative, expressed"
11_10957	LOC_Os05g05480	2.00E-73	"protein protease Do-like 2, chloroplast precursor, putative, expressed"
11_11064	LOC_Os05g05680	1.00E-156	"protein 1-aminocyclopropane-1-carboxylate oxidase, putative, expressed"
12_11301	LOC_Os08g14109	1.00E-104	"protein retrotransposon protein, putative, Ty1-copia subclass, expressed"
11_20855	LOC_Os09g03210	4.00E-69	protein expressed protein
11_10470	LOC_Os05g06270	0	"protein VIP2 protein, putative, expressed"
12_30438	LOC_Os05g06350	1.00E-105	"protein importin alpha-1b subunit, putative, expressed"
12_10159	LOC_Os05g06430	1.00E-178	"protein OsPDIL2-1 - Oryza sativa protein disulfide isomerase, expressed"
12_30436	LOC_Os05g07090	0	"protein glutaryl-CoA dehydrogenase, mitochondrial precursor, putative, expressed"
11_11162	LOC_Os05g07680	0	"protein CENP-E like kinetochore protein, putative, expressed"
12_30762	LOC_Os05g08410	3.00E-92	"protein ATP10 protein, expressed"
11_11478	LOC_Os02g01560	1.00E-145	"protein 40S ribosomal protein S4, putative, expressed"
11_11287	LOC_Os03g27590	0	"protein retinoid-inducible serine carboxypeptidase precursor, putative, expressed"
12_30498	LOC_Os05g29760	1.00E-153	"protein ferrochelatase-2, chloroplast precursor, putative, expressed"
11_10438	LOC_Os07g10420	4.00E-57	protein expressed protein
12_30562	LOC_Os10g05720	2.00E-30	"protein lipid binding protein, putative, expressed"
12_10506	LOC_Os10g25680	0	"protein ubiquitin-protein ligase, putative, expressed"
11_11336	LOC_Os10g31830	1.00E-102	"protein ras-related protein Rab-18, putative, expressed"
11_20757	LOC_Os10g32880	0	"protein pre-mRNA-splicing factor 19, putative, expressed"
12_21408	LOC_Os10g33800	1.00E-176	"protein malate dehydrogenase, cytoplasmic, putative, expressed"
11_20427	LOC_Os10g34670	3.00E-69	"protein prefoldin subunit 5, putative, expressed"
12_10300	LOC_Os10g34910	7.00E-76	"protein secretory protein, putative"
12_11036	LOC_Os10g34930	1.00E-84	"protein secretory protein, putative, expressed"
12_30462	LOC_Os10g35200	2.00E-71	"protein katanin p80 WD40-containing subunit B1 homolog 1, putative, expressed"
11_20698	LOC_Os10g35220	1.00E-158	"protein nucleic acid binding protein, putative, expressed"
12_30043	LOC_Os10g35220	1.00E-158	"protein nucleic acid binding protein, putative, expressed"
11_20260	LOC_Os10g35370	0	"protein protochlorophyllide reductase B, chloroplast precursor, putative, expressed"
12_30404	LOC_Os10g35370	2.00E-96	"protein protochlorophyllide reductase B, chloroplast precursor, putative, expressed"
11_21193	LOC_Os10g35380	1.00E-154	protein expressed protein
12_31381	LOC_Os10g35560	0	protein expressed protein
12_31208	LOC_Os10g35850	1.00E-82	"protein membrane steroid-binding protein 1, putative, expressed"
12_11209	LOC_Os10g36703	3.00E-42	"protein OsSAUR56 - Auxin-responsive SAUR gene family member, expressed"
12_10938	LOC_Os10g36860	8.00E-89	"protein CRS1 / YhbY domain containing protein, expressed"
11_11484	LOC_Os10g36760	0	"protein prolyl carboxypeptidase like protein, putative, expressed"
11_21357	LOC_Os10g36470	2.00E-92	"protein methionine aminopeptidase 1A, putative, expressed"
11_10833	LOC_Os10g36550	2.00E-74	protein expressed protein
12_30592	LOC_Os10g36870	0	"protein clathrin binding protein, putative, expressed"
12_30059	LOC_Os10g37340	0	"protein O-succinylhomoserine sulfhydrylase, putative, expressed"
11_21312	LOC_Os10g37410	0	"protein GTPase activator protein of Rab-like small GTPases-like protein, putative, expressed"
12_31134	LOC_Os10g37520	0	"protein major Facilitator Superfamily protein, expressed"
12_11169	LOC_Os10g37830	1.00E-142	"protein ATPP2-A13, putative, expressed"
11_21000	LOC_Os10g37899	1.00E-142	"protein transposon protein, putative, unclassified, expressed"
11_20810	LOC_Os10g38140	3.00E-78	"protein glutathione S-transferase GSTU6, putative, expressed"
11_20912	LOC_Os10g38710	3.00E-79	"protein glutathione S-transferase GSTU6, putative, expressed"
12_30350	LOC_Os10g42180	1.00E-131	"protein ALMT1, putative, expressed"
12_30774	LOC_Os01g16146	1.00E-120	"protein phenazine biosynthesis protein, putative, expressed"
12_11107	LOC_Os10g42420	0	"protein ADP-ribosylation factor GTPase-activating protein 3, putative, expressed"
12_30522	LOC_Os12g16350	0	"protein CHY1, putative, expressed"
11_11359	LOC_Os08g19310	1.00E-143	protein conserved hypothetical protein
12_11217	LOC_Os10g42720	3.00E-72	"protein glycerol-3-phosphate acyltransferase, chloroplast precursor, putative, expressed"
11_21217	LOC_Os10g42780	1.00E-167	"protein lrgB-like family protein, expressed"
12_30786	LOC_Os10g42860	1.00E-45	"protein ribosomal protein L35 containing protein, expressed"
12_30672	LOC_Os10g42870	0	"protein peptide transporter PTR2, putative, expressed"
11_21361	LOC_Os01g32130	6.00E-79	protein expressed protein
11_10933	LOC_Os04g14150	1.00E-99	"protein early response to drought 3, putative, expressed"
11_10075	LOC_Os10g37420	3.00E-58	"protein cytochrome b5, putative, expressed"
11_10293	LOC_Os10g39440	0	"protein hexose transporter, putative, expressed"
12_30243	LOC_Os10g39760	0	"protein nucleotide binding protein, putative, expressed"
11_11256	LOC_Os10g39790	0	"protein metal ion transporter, putative, expressed"
12_30110	LOC_Os10g42430	0	"protein transcription factor MYC7E, putative, expressed"
12_30694	LOC_Os10g42439	3.00E-85	"protein GRV2, putative, expressed"
11_20798	LOC_Os10g42500	1.00E-133	"protein plastid-lipid associated protein 3, chloroplast precursor, putative, expressed"
12_30406	LOC_Os10g42540	1.00E-55	protein expressed protein
11_10520	LOC_Os10g42610	3.00E-58	"protein TPR domain protein, putative, expressed"
11_11326	LOC_Os10g42820	0	"protein RXW8, putative, expressed"
12_30750	LOC_Os10g42940	1.00E-106	"protein ADP-ribosylation factor, putative, expressed"
12_30499	LOC_Os10g43050	1.00E-118	"protein ATP-dependent Clp protease proteolytic subunit 1, putative, expressed"
12_30478	LOC_Os10g43060	1.00E-157	protein expressed protein
12_30348	LOC_Os11g35090	1.00E-110	"protein centromeric protein E, putative, expressed"
12_30710	LOC_Os10g40250	4.00E-76	protein expressed protein
11_10324	LOC_Os02g49320	1.00E-179	"protein sucrose cleavage protein-like, putative, expressed"
12_10198	LOC_Os10g40720	1.00E-130	"protein beta-expansin 1a precursor, putative, expressed"
12_30343	LOC_Os02g17850	2.00E-49	"protein TOM2B, putative, expressed"
11_21053	LOC_Os10g41710	9.00E-57	"protein CHL-CPN10, putative, expressed"
12_30820	LOC_Os07g23880	6.00E-65	"protein alpha-glucosidase 2, putative, expressed"
12_30821	LOC_Os07g23880	6.00E-65	"protein alpha-glucosidase 2, putative, expressed"
11_10552	LOC_Os08g37874	1.00E-170	"protein oxidoreductase, putative, expressed"
12_11444	LOC_Os10g41260	3.00E-75	"protein mcb1 protein, putative, expressed"
11_21333	LOC_Os10g41360	0	"protein ubiquitin-protein ligase, putative, expressed"
11_10768	LOC_Os10g41400	1.00E-117	"protein peptide methionine sulfoxide reductase, putative, expressed"
11_20997	LOC_Os05g31770	3.00E-75	"protein mitochondria fission 1 protein, putative, expressed"
12_10201	LOC_Os05g29990	0	"protein UDP-glucuronic acid decarboxylase 1, putative, expressed"
12_30753	LOC_Os05g30130	3.00E-28	"protein chaperone protein dnaJ 49, putative, expressed"
12_21463	LOC_Os05g31000	4.00E-85	"protein nascent polypeptide-associated complex alpha subunit-like protein, putative, expressed"
11_10798	LOC_Os05g28190	1.00E-176	"protein ranBP1 domain containing protein, expressed"
11_11049	LOC_Os05g28210	1.00E-34	"protein embryonic abundant protein 1, putative, expressed"
12_30304	LOC_Os05g28480	2.00E-33	protein conserved hypothetical protein
12_30744	LOC_Os05g28500	1.00E-162	protein expressed protein
11_10617	LOC_Os05g28630	0	protein expressed protein
11_10176	LOC_Os05g31140	1.00E-164	"protein lichenase-2 precursor, putative, expressed"
11_10302	LOC_Os05g33100	1.00E-116	"protein endo-1,3;1,4-beta-D-glucanase precursor, putative, expressed"
12_21131	LOC_Os05g33610	1.00E-99	protein expressed protein
12_31179	LOC_Os02g39550	5.00E-77	"protein calcium-binding mitochondrial protein Anon-60Da, putative, expressed"
12_31401	LOC_Os05g33000	1.00E-140	"protein RING zinc finger protein, putative, expressed"
11_20432	LOC_Os12g13320	0	"protein argininosuccinate synthase, chloroplast precursor, putative, expressed"
11_21431	LOC_Os05g32570	1.00E-88	"protein RING E3 ligase protein, putative, expressed"
11_20642	LOC_Os05g32630	1.00E-168	"protein peroxisomal carrier protein, putative, expressed"
11_10516	LOC_Os11g29380	0	"protein DNA replication licensing factor Mcm2, putative, expressed"
11_10043	LOC_Os05g34830	6.00E-35	"protein NAC domain-containing protein 48, putative, expressed"
12_30295	LOC_Os02g14840	3.00E-25	"protein potassium channel KAT1, putative, expressed"
12_11062	LOC_Os05g23860	0	"protein rab GDP dissociation inhibitor alpha, putative, expressed"
11_20956	LOC_Os05g34050	0	"protein DNA binding protein, putative, expressed"
12_10960	LOC_Os05g34150	1.00E-117	"protein glutathione S-transferase GSTU6, putative, expressed"
11_11367	LOC_Os05g34550	0	"protein MLO-like protein 1, putative, expressed"
12_31464	LOC_Os05g34670	1.00E-128	"protein nucleic acid binding protein, putative, expressed"
11_21219	LOC_Os05g34680	1.00E-38	protein expressed protein
11_10002	LOC_Os05g34700	1.00E-116	"protein anther-specific proline-rich protein APG, putative, expressed"
11_20290	LOC_Os05g11910	1.00E-179	"protein esterase precursor, putative, expressed"
11_20157	LOC_Os05g35170	1.00E-121	"protein NAC domain-containing protein 78, putative, expressed"
12_30298	LOC_Os05g42250	5.00E-45	"protein cyclic nucleotide-gated ion channel 2, putative, expressed"
12_10166	LOC_Os05g49840	1.00E-167	"protein triacylglycerol lipase, putative, expressed"
12_20696	LOC_Os10g28020	0	"protein acylamino-acid-releasing enzyme, putative, expressed"
12_30505	LOC_Os05g42190	1.00E-109	"protein flavoprotein wrbA, putative, expressed"
11_11075	LOC_Os01g14410	1.00E-62	"protein early light-induced protein, chloroplast precursor, putative, expressed"
11_10686	LOC_Os05g41780	7.00E-94	"protein ethylene-responsive transcription factor 4, putative, expressed"
11_20229	LOC_Os05g41930	1.00E-160	"protein gda-1, putative, expressed"
12_30742	LOC_Os09g26999	2.00E-34	"protein keratin-associated protein 5-4, putative, expressed"
12_21176	LOC_Os10g22570	1.00E-125	"protein cellulase containing protein, expressed"
11_21057	LOC_Os11g20500	0.000002	protein conserved hypothetical protein
12_11267	LOC_Os05g41190	1.00E-54	protein expressed protein
11_10006	LOC_Os01g18050	0	"protein tubulin beta-1 chain, putative, expressed"
11_10890	LOC_Os05g41060	1.00E-101	"protein ADP-ribosylation factor, putative, expressed"
11_21126	LOC_Os05g41440	1.00E-168	"protein cytochrome P450 98A1, putative, expressed"
11_20990	LOC_Os05g40990	1.00E-146	"protein NADH-cytochrome b5 reductase, putative, expressed"
11_20121	LOC_Os05g41010	9.00E-75	"protein oxidoreductase, putative, expressed"
11_10279	LOC_Os05g41110	2.00E-56	"protein 60S ribosomal protein L30, putative, expressed"
11_20657	LOC_Os05g40300	5.00E-24	protein expressed protein
11_10466	LOC_Os02g35090	2.00E-76	protein expressed protein
12_30072	LOC_Os02g20360	0	"protein tyrosine aminotransferase, putative, expressed"
11_11037	LOC_Os05g39390	1.00E-168	"protein outer membrane protein, OMP85 family protein, expressed"
12_11463	LOC_Os05g38710	0	"protein lipin, N-terminal conserved region family protein, expressed"
12_30204	LOC_Os05g38590	1.00E-105	"protein protein tyrosine phosphatase-like protein PTPLB, putative, expressed"
11_10434	LOC_Os05g39110	1.00E-120	"protein selT-like protein precursor, putative, expressed"
12_11144	LOC_Os05g38370	5.00E-97	"protein FK506-binding protein 4, putative, expressed"
11_10830	LOC_Os05g38140	1.00E-104	"protein bHLH transcription factor, putative, expressed"
11_20550	LOC_Os05g38150	0	"protein delta 1-pyrroline-5-carboxylate synthetase, putative, expressed"
12_31160	LOC_Os05g38180	1.00E-134	"protein yip1 domain family, member 2, putative, expressed"
11_20434	LOC_Os05g38400	0	"protein OsFtsH8 - Oryza sativa FtsH protease, homologue of AtFtsH3/10, expressed"
11_10471	LOC_Os05g38520	6.00E-51	"protein 60S ribosomal protein L36-2, putative, expressed"
11_21192	LOC_Os05g38610	4.00E-88	"protein coatomer subunit zeta-1, putative, expressed"
11_11189	LOC_Os01g63800	1.00E-69	"protein pleckstrin homology domain-containing protein 1, putative, expressed"
11_20792	LOC_Os05g37390	5.00E-84	"protein protein G10 homolog 2, putative, expressed"
11_21446	LOC_Os01g65094	5.00E-42	protein expressed protein
12_10535	LOC_Os05g37140	1.00E-69	"protein ferredoxin-6, chloroplast precursor, putative, expressed"
12_30546	LOC_Os01g65090	0	"protein aspartate aminotransferase, putative, expressed"
11_20475	LOC_Os05g35710	0	protein expressed protein
12_31163	LOC_Os01g01660	1.00E-124	"protein isoflavone reductase homolog IRL, putative, expressed"
12_11008	LOC_Os01g64690	5.00E-46	"protein U6 snRNA-associated Sm-like protein LSm3, putative, expressed"
11_10433	LOC_Os05g35740	8.00E-44	"protein Pi starvation-induced protein, putative, expressed"
11_21373	LOC_Os05g36190	1.00E-143	"protein tubby-like protein, putative, expressed"
12_31192	LOC_Os03g25330	1.00E-147	"protein peroxidase 66 precursor, putative, expressed"
11_20769	LOC_Os05g35540	1.00E-169	"protein GTPase, putative, expressed"
11_10396	LOC_Os05g44760	0	"protein hexokinase-2, putative, expressed"
12_31319	LOC_Os01g19870	1.00E-114	protein expressed protein
11_11277	LOC_Os09g31486	0.000002	"protein heat shock 70 kDa protein, mitochondrial precursor, putative, expressed"
11_10522	LOC_Os05g43850	0	"protein tubby-related protein 1, putative, expressed"
11_20169	LOC_Os05g43780	1.00E-51	"protein proline-rich protein precursor, putative, expressed"
11_20754	LOC_Os05g43830	0	"protein proline iminopeptidase, putative, expressed"
11_10357	LOC_Os07g10256	7.00E-81	"protein mitosis protein dim1, putative, expressed"
12_31152	LOC_Os01g16520	0	"protein glutamyl-tRNA synthetase, cytoplasmic, putative, expressed"
12_21020	LOC_Os05g43280	9.00E-57	"protein MATH domain containing protein, expressed"
12_11173	LOC_Os05g43570	0	"protein serine/threonine-protein kinase 38-like, putative, expressed"
11_20267	LOC_Os05g47446	2.00E-58	"protein programmed cell death protein 5, putative, expressed"
11_20909	LOC_Os05g47470	9.00E-47	"protein VIP1 protein, putative, expressed"
11_10111	LOC_Os05g47540	0	"protein phosphoethanolamine N-methyltransferase, putative, expressed"
12_20187	LOC_Os05g47540	8.00E-44	"protein phosphoethanolamine N-methyltransferase, putative, expressed"
12_20613	LOC_Os05g47550	0	"protein clathrin assembly protein, putative, expressed"
12_30509	LOC_Os05g46460	0	"protein catalytic/ hydrolase, putative, expressed"
12_30191	LOC_Os05g46520	1.00E-146	"protein polygalacturonase precursor, putative, expressed"
11_20780	LOC_Os05g46490	1.00E-171	"protein mov34/MPN/PAD-1 family protein, expressed"
11_20921	LOC_Os05g46450	4.00E-22	"protein fiber protein Fb11, putative, expressed"
11_20625	LOC_Os05g41172	0	"protein histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH1, putative, expressed"
11_20220	LOC_Os05g45910	0.00001	protein conserved hypothetical protein
11_20844	LOC_Os11g29400	0	"protein 6-phosphogluconate dehydrogenase, decarboxylating, putative, expressed"
11_20021	LOC_Os05g45720	7.00E-54	"protein glycogen synthase, putative, expressed"
12_30532	LOC_Os05g46270	1.00E-176	"protein flap endonuclease 1a, putative, expressed"
11_10789	LOC_Os05g45310	1.00E-115	"protein ER lumen protein retaining receptor, putative, expressed"
12_30014	LOC_Os08g36920	2.00E-75	"protein AP2 domain containing protein, expressed"
11_21392	LOC_Os01g53280	7.00E-63	"protein 50S ribosomal protein L20, putative, expressed"
12_10905	LOC_Os10g22460	1.00E-126	"protein protein phosphatase 2C, putative, expressed"
12_11409	LOC_Os05g47660	1.00E-61	"protein lipid phosphate phosphatase 3, chloroplast precursor, putative, expressed"
11_10729	LOC_Os08g16480	0	"protein ATPase, putative, expressed"
11_20959	LOC_Os03g08050	0	"protein elongation factor 1-alpha, putative, expressed"
11_10338	LOC_Os03g22880	0	"protein nucleolar protein Nop56, putative, expressed"
11_10854	LOC_Os05g48070	1.00E-143	protein expressed protein
12_30257	LOC_Os05g48160	4.00E-67	"protein electron carrier/ electron transporter/ iron ion binding protein, putative, expressed"
11_10911	LOC_Os05g48422	1.00E-136	"protein structural constituent of ribosome, putative, expressed"
12_21172	LOC_Os05g48590	1.00E-102	"protein OsIAA19 - Auxin-responsive Aux/IAA gene family member, expressed"
11_21038	LOC_Os05g48620	0	"protein tropomyosin, putative, expressed"
11_11528	LOC_Os07g35060	1.00E-39	"protein F-box domain containing protein, expressed"
11_20908	LOC_Os11g26890	1.00E-162	protein expressed protein
12_31105	LOC_Os05g48630	6.00E-66	protein expressed protein
11_10586	LOC_Os05g48760	0	protein expressed protein
12_11457	LOC_Os05g48800	5.00E-99	"protein fiber protein Fb2, putative, expressed"
12_11443	LOC_Os05g48820	0	"protein DDT domain containing protein, expressed"
11_10722	LOC_Os05g48900	2.00E-95	"protein fasciclin-like arabinogalactan protein 7 precursor, putative, expressed"
11_21140	LOC_Os01g22490	9.00E-86	"protein 40S ribosomal protein S27a, putative, expressed"
11_21068	LOC_Os05g48970	3.00E-45	"protein C-terminal zinc-finger, putative, expressed"
11_11481	LOC_Os05g49030	6.00E-95	"protein 60S ribosomal protein L18a, putative, expressed"
12_10207	LOC_Os05g49030	9.00E-97	"protein 60S ribosomal protein L18a, putative, expressed"
12_31377	LOC_Os06g31280	8.00E-25	"protein leaf-specific thionin BTH6 precursor, putative"
12_30403	LOC_Os06g32550	3.00E-23	"protein leaf-specific thionin BTH6 precursor, putative, expressed"
11_10644	LOC_Os05g49060	1.00E-132	protein expressed protein
12_31387	LOC_Os02g30600	6.00E-27	protein conserved hypothetical protein
12_10808	LOC_Os05g49150	0	"protein eukaryotic translation initiation factor 3 subunit 7, putative, expressed"
12_10693	LOC_Os05g49200	0	"protein aspartic proteinase oryzasin-1 precursor, putative, expressed"
11_11038	LOC_Os05g49270	1.00E-110	"protein solute carrier family 2, facilitated glucose transporter member 8, putative, expressed"
12_30649	LOC_Os07g17330	1.00E-36	"protein B12D protein, expressed"
11_20133	LOC_Os10g28200	0	"protein GDP-mannose 3,5-epimerase 1, putative, expressed"
11_10903	LOC_Os05g49610	1.00E-180	protein expressed protein
11_20383	LOC_Os12g01449	0	protein expressed protein
11_10782	LOC_Os05g50220	1.00E-68	"protein peroxin Pex14, putative, expressed"
12_11271	LOC_Os05g50360	1.00E-102	"protein anaphase-promoting complex subunit 10, putative, expressed"
12_21105	LOC_Os05g50480	0	protein expressed protein
11_11509	LOC_Os01g14590	1.00E-107	"protein pathogen-related protein, putative, expressed"
11_10041	LOC_Os01g42960	0.0000003	"protein electron transporter, putative, expressed"
12_11496	LOC_Os01g69970	1.00E-139	"protein periodic tryptophan protein 1, putative, expressed"
11_21384	LOC_Os05g50800	1.00E-115	"protein protein ABIL1, putative, expressed"
11_11105	LOC_Os05g50840	0	"protein Grave disease carrier protein, putative, expressed"
12_30277	LOC_Os05g50930	1.00E-165	"protein RNA polymerase sigma factor rpoD, putative, expressed"
12_30517	LOC_Os07g08430	1.00E-144	"protein indole-3-glycerol phosphate lyase, chloroplast precursor, putative, expressed"
12_20599	LOC_Os09g36680	1.00E-117	"protein ribonuclease 3 precursor, putative, expressed"
11_20603	LOC_Os09g36700	7.00E-92	"protein extracellular ribonuclease LE precursor, putative, expressed"
11_20594	LOC_Os05g51180	1.00E-116	"protein plasminogen activator inhibitor 1 RNA-binding protein, putative, expressed"
11_20840	LOC_Os05g51450	0	"protein endopeptidase Clp, putative, expressed"
12_30231	LOC_Os01g39780	3.00E-38	protein expressed protein
11_20915	LOC_Os05g51470	1.00E-102	"protein cupin, RmlC-type, putative, expressed"
11_10590	LOC_Os05g51480	0	"protein DNA damage binding protein 1a, putative, expressed"
12_10746	LOC_Os05g51500	0	"protein eukaryotic translation initiation factor 5B, putative, expressed"
11_20509	LOC_Os05g51530	0	"protein vacuolar ATP synthase subunit C, putative, expressed"
11_20772	LOC_Os01g36890	0	"protein spliceosome RNA helicase BAT1, putative, expressed"
11_10443	LOC_Os04g06770	0	"protein argonaute-like protein, putative, expressed"
12_20429	LOC_Os05g51670	0	"protein UDP-glucose 4-epimerase GEPI48, putative, expressed"
12_30048	LOC_Os05g51690	1.00E-102	"protein CCT motif family protein, expressed"
12_31081	LOC_Os05g51700	1.00E-105	"protein nucleoside diphosphate kinase 4, chloroplast precursor, putative, expressed"
12_30934	LOC_Os05g51830	1.00E-101	"protein histone deacetylase 2b, putative, expressed"
12_10970	LOC_Os04g08350	1.00E-175	"protein cysteine synthase, chloroplast precursor, putative, expressed"
12_10718	LOC_Os04g05010	1.00E-77	"protein CBS domain containing protein, expressed"
12_21415	LOC_Os04g05030	6.00E-53	"protein serine-rich 25 kDa antigen protein, putative, expressed"
12_11030	LOC_Os04g10680	8.00E-59	"protein protein binding protein, putative, expressed"
12_31224	LOC_Os04g05050	0	"protein pectate lyase 8 precursor, putative, expressed"
11_10326	LOC_Os04g02910	0	"protein CP5, putative, expressed"
12_10230	LOC_Os04g10240	5.00E-71	"protein nicotiana lesion-inducing like, putative, expressed"
11_11059	LOC_Os06g11210	1.00E-156	"protein 12-oxophytodienoate reductase 2, putative, expressed"
12_30781	LOC_Os01g26920	9.00E-88	protein expressed protein
12_10592	LOC_Os04g01590	1.00E-177	"protein arginase, putative, expressed"
11_21377	LOC_Os04g02000	1.00E-157	"protein Zn-finger, RanBP-type, containing protein, expressed"
11_20563	LOC_Os02g07120	0	"protein cullin-associated NEDD8-dissociated protein 1, putative, expressed"
12_31497	LOC_Os02g18080	2.00E-18	"protein NB-ARC domain containing protein, expressed"
12_30402	LOC_Os02g28980	0	"protein peptidyl-prolyl isomerase, putative, expressed"
12_10502	LOC_Os04g01230	1.00E-121	"protein phosphoglycerate mutase-like protein, putative, expressed"
12_11119	LOC_Os04g01240	1.00E-99	protein expressed protein
12_30155	LOC_Os04g11820	0	"protein ABC transporter-like protein, putative, expressed"
