barley opa_index	Brach gene	evalue	description
	Bradi1g03980	3.00E-77	none
	Bradi1g03990	2.00E-32	none
	Bradi1g04000	5.00E-88	none
	Bradi1g04010	8.00E-79	none
	Bradi1g04020	2.00E-16	none
11_11464	Bradi1g04030	8.00E-115	none
	Bradi1g04040		none
	Bradi1g04050		none
	Bradi1g04060	3.00E-91	none
	Bradi1g04070	1.00E-35	none
	Bradi1g04080	1.00E-159	none
	Bradi1g04090	2.00E-57	none
12_31375	Bradi1g04100	1.00E-158	none
	Bradi1g04110	2.00E-27	none
11_21018	Bradi1g04120	1.00E-134	none
	Bradi1g04130	9.00E-69	none
11_10251	Bradi1g04140	0	none
12_10273	Bradi1g04150	7.00E-122	none
11_20219	Bradi1g04160	3.00E-65	none
	Bradi1g04170	9.00E-12	none
11_20646	Bradi1g04180	4.00E-90	none
	Bradi1g04190		none
	Bradi1g04200	1.00E-58	none
12_11325	Bradi1g04210	0	none
	Bradi1g04220	5.00E-101	none
	Bradi1g04230	2.00E-151	none
	Bradi1g04240	6.00E-64	none
	Bradi1g04250	1.00E-94	none
	Bradi1g04260	2.00E-23	none
	Bradi1g04270	7.00E-83	none
	Bradi1g04280		none
	Bradi1g04290	6.00E-103	none
	Bradi1g04300	9.00E-169	none
	Bradi1g04310	3.00E-160	none
12_11493	Bradi1g04320	4.00E-60	none
11_20876	Bradi1g04330	0	none
11_20560	Bradi1g04340	3.00E-59	none
	Bradi1g04350		none
	Bradi1g04360		none
	Bradi1g04370	1.00E-51	none
	Bradi1g04380	1.00E-27	none
	Bradi1g04390		none
	Bradi1g04400	1.00E-114	none
	Bradi1g04410	2.00E-56	none
	Bradi1g04420	5.00E-41	none
	Bradi1g04430	3.00E-39	none
12_30165	Bradi1g04440	0	none
	Bradi1g04450		none
	Bradi1g04460	1.00E-90	none
	Bradi1g04470	1.00E-56	none
	Bradi1g04480	2.00E-107	none
	Bradi1g04490		none
	Bradi1g04500	9.00E-97	none
	Bradi1g04510	2.00E-49	none
	Bradi1g04520	2.00E-157	none
11_20078	Bradi1g04530	4.00E-70	none
	Bradi1g04540	3.00E-84	none
	Bradi1g04550	2.00E-121	none
	Bradi1g04560	4.00E-56	none
	Bradi1g04570	2.00E-35	none
	Bradi1g04580	2.00E-73	none
	Bradi1g04590	6.00E-90	none
	Bradi1g04600	0	none
	Bradi1g04610	2.00E-86	none
11_10528	Bradi1g04620	2.00E-74	none
	Bradi1g04630	2.00E-84	none
	Bradi1g04640	1.00E-46	none
	Bradi1g04650	1.00E-86	none
11_10161	Bradi1g04660	6.00E-132	none
	Bradi1g04670	2.00E-94	none
	Bradi1g04680	8.00E-51	none
11_21452	Bradi1g04690	2.00E-50	none
11_10385	Bradi1g04700	1.00E-84	none
	Bradi1g04710	2.00E-45	none
11_10536	Bradi1g04720	0	none
	Bradi1g04730		none
12_20317	Bradi1g04740	1.00E-60	none
	Bradi1g04750	2.00E-23	none
	Bradi1g04760	1.00E-147	none
	Bradi1g04770		none
	Bradi1g04780	1.00E-50	none
	Bradi1g04790	3.00E-78	none
	Bradi1g04800	2.00E-39	none
	Bradi1g04810	0	none
	Bradi1g04820	8.00E-98	none
12_30238	Bradi1g04830	8.00E-162	none
	Bradi1g04840	0	none
	Bradi1g04850	0	none
	Bradi1g04860	5.00E-175	none
11_10820	Bradi1g04870	2.00E-177	none
	Bradi1g04880	9.00E-67	none
	Bradi1g04890	3.00E-60	none
11_10820	Bradi1g04900	2.00E-166	none
12_30759	Bradi1g04910	2.00E-92	none
	Bradi1g04920	5.00E-169	none
	Bradi1g04930	3.00E-54	none
	Bradi1g04940	4.00E-73	none
	Bradi1g04950	2.00E-111	none
	Bradi1g04960	1.00E-87	none
	Bradi1g04970	1.00E-14	none
	Bradi1g04980	2.00E-144	none
	Bradi1g04990	3.00E-111	none
	Bradi1g05000	2.00E-143	none
	Bradi1g05010		none
	Bradi1g05020		none
	Bradi1g05030	4.00E-103	none
	Bradi1g05040	3.00E-39	none
	Bradi1g05050	0	none
	Bradi1g05060	7.00E-102	none
	Bradi1g05070	7.00E-112	none
	Bradi1g05080		none
	Bradi1g05090	3.00E-53	none
	Bradi1g05100	1.00E-41	none
	Bradi1g05110	2.00E-98	none
11_20573	Bradi1g05120	0	none
	Bradi1g05130	6.00E-132	none
	Bradi1g05140	5.00E-20	none
	Bradi1g05150	2.00E-54	none
	Bradi1g05160	0	none
	Bradi1g05170	2.00E-44	none
	Bradi1g05180	3.00E-136	none
	Bradi1g05190	2.00E-83	none
	Bradi1g05200	7.00E-61	none
	Bradi1g05210	1.00E-152	none
	Bradi1g05220	1.00E-64	none
	Bradi1g05230		none
	Bradi1g05240	0	none
11_11490	Bradi1g05250	9.00E-56	none
11_10839	Bradi1g05260	7.00E-54	none
	Bradi1g05270		none
	Bradi1g05280	5.00E-44	none
	Bradi1g05290		none
	Bradi1g05300		none
	Bradi1g05310	3.00E-23	none
	Bradi1g05320	7.00E-122	none
	Bradi1g05330	2.00E-16	none
12_10016	Bradi1g05340	8.00E-79	none
	Bradi1g05350		none
11_21173	Bradi1g05360	5.00E-158	none
	Bradi1g05370		none
	Bradi1g05380	0	none
	Bradi1g05390	4.00E-64	none
	Bradi1g05400	1.00E-19	none
	Bradi1g05410	1.00E-35	none
11_21355	Bradi1g05420	7.00E-90	none
	Bradi1g05430	2.00E-61	none
	Bradi1g05440		none
	Bradi1g05450	3.00E-100	none
	Bradi1g05460	3.00E-87	none
	Bradi1g05470	2.00E-126	none
	Bradi1g05480	8.00E-140	none
12_31221	Bradi1g05490	6.00E-101	none
12_30183	Bradi1g05500	2.00E-91	none
12_30390	Bradi1g05510	0	none
	Bradi1g05520	7.00E-13	none
	Bradi1g05530		none
12_10904	Bradi1g05540	3.00E-111	none
	Bradi1g05550	4.00E-151	none
	Bradi1g05560	5.00E-92	none
	Bradi1g05570	6.00E-66	none
	Bradi1g05580	3.00E-80	none
	Bradi1g05590	2.00E-37	none
12_30665	Bradi1g05600	1.00E-133	none
	Bradi1g05610	2.00E-101	none
	Bradi1g05620	5.00E-33	none
	Bradi1g05630	3.00E-101	none
	Bradi1g05640	1.00E-18	none
11_10363	Bradi1g05650	0	none
	Bradi1g05660	0	none
	Bradi1g05670	9.00E-72	none
12_30062	Bradi1g05680	0	none
	Bradi1g05690	1.00E-25	none
	Bradi1g05700	2.00E-65	none
	Bradi1g05710	2.00E-82	none
	Bradi1g05720		none
	Bradi1g05730		none
	Bradi1g05740		none
11_20495	Bradi1g05750	6.00E-33	none
	Bradi1g05760		none
	Bradi1g05770	2.00E-17	none
	Bradi1g05780		none
	Bradi1g05790	1.00E-33	none
	Bradi1g05800	3.00E-45	none
	Bradi1g05810	6.00E-68	none
	Bradi1g05820	2.00E-81	none
	Bradi1g05830	6.00E-22	none
	Bradi1g05840	8.00E-64	none
11_21514	Bradi1g05850	3.00E-40	none
	Bradi1g05860	8.00E-157	none
	Bradi1g05870	2.00E-177	none
	Bradi1g05880	7.00E-174	none
	Bradi1g05890	2.00E-161	none
	Bradi1g05900	9.00E-17	none
	Bradi1g05910	7.00E-92	none
	Bradi1g05920	4.00E-91	none
	Bradi1g05930	0	none
	Bradi1g05940	1.00E-50	none
	Bradi1g05950	0	none
	Bradi1g05960	4.00E-35	none
12_10333	Bradi1g05970	4.00E-178	none
	Bradi1g05980	4.00E-41	none
11_21509	Bradi1g05990	1.00E-21	none
	Bradi1g06000	4.00E-41	none
	Bradi1g06010	4.00E-42	none
	Bradi1g06020	4.00E-30	none
12_10241	Bradi1g06030	1.00E-168	none
12_31206	Bradi1g06040	5.00E-60	none
	Bradi1g06050	4.00E-161	none
11_20791	Bradi1g06060	0	none
	Bradi1g06070	0	none
	Bradi1g06080	0	none
12_30400	Bradi1g06090	6.00E-87	none
	Bradi1g06100	3.00E-95	none
12_30580	Bradi1g06110	1.00E-119	none
	Bradi1g06120		none
	Bradi1g06130	2.00E-30	none
	Bradi1g06140	4.00E-42	none
	Bradi1g06150	2.00E-20	none
	Bradi1g06160	0	none
	Bradi1g06170	2.00E-12	none
	Bradi1g06180	0	none
	Bradi1g06190	3.00E-22	none
	Bradi1g06200	0	none
	Bradi1g06210	6.00E-21	none
12_10650	Bradi1g06220	2.00E-49	none
	Bradi1g06230	1.00E-144	none
12_30168	Bradi1g06240	7.00E-69	none
	Bradi1g06250	5.00E-54	none
	Bradi1g06260		none
	Bradi1g06270	0	none
	Bradi1g06280	2.00E-121	none
	Bradi1g06290	4.00E-150	none
11_10429	Bradi1g06300	0	none
	Bradi1g06310	2.00E-35	none
11_11441	Bradi1g06320	1.00E-60	none
	Bradi1g06330	2.00E-17	none
	Bradi1g06340	0	none
	Bradi1g06350	6.00E-100	none
	Bradi1g06360	5.00E-103	none
	Bradi1g06370	1.00E-70	none
	Bradi1g06380	4.00E-129	none
	Bradi1g06390	0	none
	Bradi1g06400	5.00E-24	none
	Bradi1g06410	7.00E-12	none
	Bradi1g06420	3.00E-23	none
11_20100	Bradi1g06430	0	none
	Bradi1g06440	1.00E-47	none
12_21462	Bradi1g06450	2.00E-90	none
	Bradi1g06460	3.00E-24	none
	Bradi1g06470	4.00E-112	none
	Bradi1g06480	2.00E-151	none
	Bradi1g06490	4.00E-52	none
	Bradi1g06500	5.00E-59	none
	Bradi1g06510	4.00E-54	none
	Bradi1g06520	3.00E-65	none
	Bradi1g06530	7.00E-101	none
	Bradi1g06540	0	none
	Bradi1g06550	1.00E-12	none
	Bradi1g06560	6.00E-154	none
	Bradi1g06570	6.00E-64	none
	Bradi1g06580	2.00E-175	none
	Bradi1g06590	2.00E-110	none
	Bradi1g06600		none
	Bradi1g06610	2.00E-52	none
	Bradi1g06620	1.00E-158	none
	Bradi1g06630	1.00E-85	none
12_20830	Bradi1g06640	1.00E-176	none
	Bradi1g06650	0	none
	Bradi1g06660	1.00E-27	none
	Bradi1g06670	7.00E-60	none
	Bradi1g06680	2.00E-14	none
	Bradi1g06690	7.00E-22	none
11_20731	Bradi1g06700	2.00E-114	none
	Bradi1g06710		none
12_21449	Bradi1g06720	1.00E-74	none
12_21449	Bradi1g06730	6.00E-81	none
12_21449	Bradi1g06740	3.00E-79	none
	Bradi1g06750	2.00E-58	none
	Bradi1g06760		none
	Bradi1g06770	0	none
	Bradi1g06780	2.00E-147	none
	Bradi1g06790	1.00E-133	none
	Bradi1g06800	0	none
	Bradi1g06810	0	none
12_30833	Bradi1g06820	4.00E-76	none
	Bradi1g06830	2.00E-18	none
	Bradi1g06840	1.00E-69	none
	Bradi1g06850	8.00E-54	none
	Bradi1g06860	0	none
	Bradi1g06870	0	none
	Bradi1g06880	9.00E-72	none
	Bradi1g06890	1.00E-90	none
	Bradi1g06900	2.00E-51	none
	Bradi1g06910	1.00E-153	none
	Bradi1g06920	4.00E-109	none
	Bradi1g06930	1.00E-18	none
	Bradi1g06940	4.00E-39	none
	Bradi1g06950	8.00E-26	none
	Bradi1g06960	2.00E-15	none
12_30924	Bradi1g06970	2.00E-42	none
	Bradi1g06980	5.00E-47	none
	Bradi1g06990	3.00E-16	none
11_10903	Bradi1g07000	1.00E-44	none
	Bradi1g07010	4.00E-121	none
11_10292	Bradi1g07020	0	none
	Bradi1g07030	9.00E-115	none
12_10410	Bradi1g07040	0	none
	Bradi1g07050		none
	Bradi1g07060	7.00E-68	none
	Bradi1g07070	3.00E-140	none
11_21184	Bradi1g07080	8.00E-37	none
	Bradi1g07090	3.00E-78	none
	Bradi1g07100	3.00E-163	none
12_30084	Bradi1g07110	8.00E-159	none
	Bradi1g07120	3.00E-61	none
	Bradi1g07130	7.00E-67	none
11_10819	Bradi1g07140	0	none
11_20375	Bradi1g07150	1.00E-98	none
11_10658	Bradi1g07160	0	none
	Bradi1g07170	7.00E-179	none
	Bradi1g07180	0	none
	Bradi1g07190	6.00E-135	none
	Bradi1g07200	5.00E-103	none
	Bradi1g07210	2.00E-31	none
	Bradi1g07220	0	none
11_20551	Bradi1g07230	6.00E-35	none
	Bradi1g07240	3.00E-158	none
	Bradi1g07250	6.00E-56	none
	Bradi1g07260	9.00E-73	none
	Bradi1g07270	2.00E-72	none
	Bradi1g07280	0	none
	Bradi1g07290	3.00E-87	none
	Bradi1g07300	6.00E-99	none
	Bradi1g07310		none
	Bradi1g07320	5.00E-85	none
	Bradi1g07330	3.00E-36	none
	Bradi1g07340	0	none
	Bradi1g07350	1.00E-26	none
	Bradi1g07360	9.00E-154	none
	Bradi1g07370	4.00E-69	none
	Bradi1g07380	3.00E-134	none
	Bradi1g07390	6.00E-47	none
12_10579	Bradi1g07400	0	none
12_30410	Bradi1g07410	0	none
	Bradi1g07420	9.00E-36	none
	Bradi1g07430	8.00E-53	none
11_11071	Bradi1g07440	2.00E-65	none
	Bradi1g07450	3.00E-44	none
	Bradi1g07460	5.00E-156	none
	Bradi1g07470	2.00E-59	none
	Bradi1g07480	2.00E-143	none
	Bradi1g07490	2.00E-148	none
	Bradi1g07500	4.00E-24	none
	Bradi1g07510	5.00E-15	none
	Bradi1g07520	1.00E-128	none
	Bradi1g07530	3.00E-47	none
	Bradi1g07540	2.00E-148	none
11_10845	Bradi1g07550	1.00E-89	none
	Bradi1g07560	6.00E-157	none
	Bradi1g07570	9.00E-100	none
11_21289	Bradi1g07580	2.00E-109	none
	Bradi1g07590	2.00E-140	none
	Bradi1g07600	1.00E-26	none
	Bradi1g07610		none
	Bradi1g07620	0	none
	Bradi1g07630	3.00E-57	none
	Bradi1g07640	1.00E-98	none
	Bradi1g07650	2.00E-113	none
	Bradi1g07660	1.00E-32	none
	Bradi1g07670	3.00E-110	none
	Bradi1g07680	3.00E-13	none
	Bradi1g07690		none
	Bradi1g07700	1.00E-132	none
	Bradi1g07710	1.00E-92	none
	Bradi1g07720	0	none
	Bradi1g07730	5.00E-13	none
	Bradi1g07740		none
	Bradi1g07750	2.00E-133	none
	Bradi1g07760	8.00E-99	none
	Bradi1g07770	3.00E-22	none
