locus barley	locus artificial data	e-value	description
12_30343	locus 1_0135	2.00E-49	none
11_21053	locus 1_0136	9.00E-57	none
12_30820	locus 1_0137	6.00E-65	none
12_30821	locus 1_0138	6.00E-65	none
11_10552	locus 1_0139	1.00E-170	none
12_11444	locus 1_0140	3.00E-75	none
11_21333	locus 1_0141	0	none
11_10768	locus 1_0142	1.00E-117	none
11_20997	locus 1_0143	3.00E-75	none
12_10201	locus 1_0144	0	none
12_30753	locus 1_0145	3.00E-28	none
12_21463	locus 1_0146	4.00E-85	none
11_10798	locus 1_0147	1.00E-176	none
11_11049	locus 1_0148	1.00E-34	none
12_30304	locus 1_0149	2.00E-33	none
12_30744	locus 1_0150	1.00E-162	none
11_10617	locus 1_0151	0	none
11_10176	locus 1_0152	1.00E-164	none
11_10302	locus 1_0153	1.00E-116	none
12_21131	locus 1_0154	1.00E-99	none
12_31179	locus 1_0155	5.00E-77	none
12_31401	locus 1_0156	1.00E-140	none
11_20432	locus 1_0157	0	none
11_21431	locus 1_0158	1.00E-88	none
11_20642	locus 1_0159	1.00E-168	none
11_10516	locus 1_0160	0	none
11_10043	locus 1_0161	6.00E-35	none
12_30295	locus 1_0162	3.00E-25	none
12_11062	locus 1_0163	0	none
11_20956	locus 1_0164	0	none
12_10960	locus 1_0165	1.00E-117	none
11_11367	locus 1_0166	0	none
12_31464	locus 1_0167	1.00E-128	none
11_21219	locus 1_0168	1.00E-38	none
11_10002	locus 1_0169	1.00E-116	none
11_20290	locus 1_0170	1.00E-179	none
11_20157	locus 1_0171	1.00E-121	none
12_30298	locus 1_0172	5.00E-45	none
12_10166	locus 1_0173	1.00E-167	none
12_20696	locus 1_0174	0	none
12_30505	locus 1_0175	1.00E-109	none
11_11075	locus 1_0176	1.00E-62	none
11_10686	locus 1_0177	7.00E-94	none
11_20229	locus 1_0178	1.00E-160	none
12_30742	locus 1_0179	2.00E-34	none
12_21176	locus 1_0180	1.00E-125	none
11_21057	locus 1_0181	0.000002	none
12_11267	locus 1_0182	1.00E-54	none
11_10006	locus 1_0183	0	none
11_10890	locus 1_0184	1.00E-101	none
11_21126	locus 1_0185	1.00E-168	none
11_20990	locus 1_0186	1.00E-146	none
11_20121	locus 1_0187	9.00E-75	none
11_10279	locus 1_0188	2.00E-56	none
11_20657	locus 1_0189	5.00E-24	none
11_10466	locus 1_0190	2.00E-76	none
12_30072	locus 1_0191	0	none
11_11037	locus 1_0192	1.00E-168	none
12_11463	locus 1_0193	0	none
12_30204	locus 1_0194	1.00E-105	none
11_10434	locus 1_0195	1.00E-120	none
12_11144	locus 1_0196	5.00E-97	none
11_10830	locus 1_0197	1.00E-104	none
11_20550	locus 1_0198	0	none
12_31160	locus 1_0199	1.00E-134	none
11_20434	locus 1_0200	0	none
11_10471	locus 1_0201	6.00E-51	none
11_21192	locus 1_0202	4.00E-88	none
11_11189	locus 1_0203	1.00E-69	none
11_20792	locus 1_0204	5.00E-84	none
11_21446	locus 1_0205	5.00E-42	none
12_10535	locus 1_0206	1.00E-69	none
12_30546	locus 1_0207	0	none
11_20475	locus 1_0208	0	none
12_31163	locus 1_0209	1.00E-124	none
12_11008	locus 1_0210	5.00E-46	none
11_10433	locus 1_0211	8.00E-44	none
11_21373	locus 1_0212	1.00E-143	none
12_31192	locus 1_0213	1.00E-147	none
11_20769	locus 1_0214	1.00E-169	none
11_10396	locus 1_0215	0	none
12_31319	locus 1_0216	1.00E-114	none
11_11277	locus 1_0217	0.000002	none
11_10522	locus 1_0218	0	none
11_20169	locus 1_0219	1.00E-51	none
11_20754	locus 1_0220	0	none
11_10357	locus 1_0221	7.00E-81	none
12_31152	locus 1_0222	0	none
12_21020	locus 1_0223	9.00E-57	none
12_11173	locus 1_0224	0	none
11_20267	locus 1_0225	2.00E-58	none
11_20909	locus 1_0226	9.00E-47	none
11_10111	locus 2_0001	0	none
12_20187	locus 2_0002	8.00E-44	none
12_20613	locus 2_0003	0	none
12_30509	locus 2_0004	0	none
12_30191	locus 2_0005	1.00E-146	none
11_20780	locus 2_0006	1.00E-171	none
11_20921	locus 2_0007	4.00E-22	none
11_20625	locus 2_0008	0	none
11_20220	locus 2_0009	0.00001	none
11_20844	locus 2_0010	0	none
11_20021	locus 2_0011	7.00E-54	none
12_30532	locus 2_0012	1.00E-176	none
11_10789	locus 2_0013	1.00E-115	none
12_30014	locus 2_0014	2.00E-75	none
11_21392	locus 2_0015	7.00E-63	none
12_10905	locus 2_0016	1.00E-126	none
12_11409	locus 2_0017	1.00E-61	none
11_10729	locus 2_0018	0	none
11_20959	locus 2_0019	0	none
11_10338	locus 2_0020	0	none
11_10854	locus 2_0021	1.00E-143	none
12_30257	locus 2_0022	4.00E-67	none
11_10911	locus 2_0023	1.00E-136	none
12_21172	locus 2_0024	1.00E-102	none
11_21038	locus 2_0025	0	none
11_11528	locus 2_0026	1.00E-39	none
11_20908	locus 2_0027	1.00E-162	none
12_31105	locus 2_0028	6.00E-66	none
11_10586	locus 2_0029	0	none
12_11457	locus 2_0030	5.00E-99	none
12_11443	locus 2_0031	0	none
11_10722	locus 2_0032	2.00E-95	none
11_21140	locus 2_0033	9.00E-86	none
11_21068	locus 2_0034	3.00E-45	none
11_11481	locus 2_0035	6.00E-95	none
12_10207	locus 2_0036	9.00E-97	none
12_31377	locus 2_0037	8.00E-25	none
12_30403	locus 2_0038	3.00E-23	none
11_10644	locus 2_0039	1.00E-132	none
12_31387	locus 2_0040	6.00E-27	none
12_10808	locus 2_0041	0	none
12_10693	locus 2_0042	0	none
11_11038	locus 2_0043	1.00E-110	none
12_30649	locus 2_0044	1.00E-36	none
11_20133	locus 2_0045	0	none
11_10903	locus 2_0046	1.00E-180	none
11_20383	locus 2_0047	0	none
11_10782	locus 2_0048	1.00E-68	none
12_11271	locus 2_0049	1.00E-102	none
12_21105	locus 2_0050	0	none
11_11509	locus 2_0051	1.00E-107	none
11_10041	locus 2_0052	0.0000003	none
12_11496	locus 2_0053	1.00E-139	none
11_21384	locus 2_0054	1.00E-115	none
11_11105	locus 2_0055	0	none
12_30277	locus 2_0056	1.00E-165	none
12_30517	locus 2_0057	1.00E-144	none
12_20599	locus 2_0058	1.00E-117	none
11_20603	locus 2_0059	7.00E-92	none
11_20594	locus 2_0060	1.00E-116	none
11_20840	locus 2_0061	0	none
12_30231	locus 2_0062	3.00E-38	none
11_20915	locus 2_0063	1.00E-102	none
11_10590	locus 2_0064	0	none
12_10746	locus 2_0065	0	none
11_20509	locus 2_0066	0	none
11_20772	locus 2_0067	0	none
11_10443	locus 2_0068	0	none
12_20429	locus 2_0069	0	none
12_30048	locus 2_0070	1.00E-102	none
12_31081	locus 2_0071	1.00E-105	none
12_30934	locus 2_0072	1.00E-101	none
12_10970	locus 2_0073	1.00E-175	none
12_10718	locus 2_0074	1.00E-77	none
12_21415	locus 2_0075	6.00E-53	none
12_11030	locus 2_0076	8.00E-59	none
12_31224	locus 2_0077	0	none
11_10326	locus 2_0078	0	none
12_10230	locus 2_0079	5.00E-71	none
11_11059	locus 2_0080	1.00E-156	none
12_30781	locus 2_0081	9.00E-88	none
12_10592	locus 2_0082	1.00E-177	none
11_21377	locus 2_0083	1.00E-157	none
11_20563	locus 2_0084	0	none
12_31497	locus 2_0085	2.00E-18	none
12_30402	locus 2_0086	0	none
12_10502	locus 2_0087	1.00E-121	none
12_11119	locus 2_0088	1.00E-99	none
12_30155	locus 2_0089	0	none
12_30775	locus 2_0090	1.00E-102	none
11_21416	locus 2_0091	0	none
11_20562	locus 2_0092	0	none
12_30631	locus 2_0093	0	none
11_20112	locus 2_0094	1.00E-49	none
11_21423	locus 2_0095	1.00E-102	none
11_20107	locus 2_0096	2.00E-54	none
11_20724	locus 2_0097	0	none
11_10943	locus 2_0098	1.00E-145	none
11_11040	locus 2_0099	2.00E-85	none
12_31284	locus 2_0100	5.00E-60	none
12_10777	locus 2_0101	0	none
11_10180	locus 2_0102	1.00E-106	none
11_10216	locus 2_0103	0	none
12_30871	locus 2_0104	2.00E-77	none
12_30872	locus 2_0105	2.00E-77	none
11_20394	locus 2_0106	1.00E-164	none
11_21015	locus 2_0107	0	none
11_21265	locus 2_0108	2.00E-85	none
11_21261	locus 2_0109	0	none
11_21366	locus 2_0110	1.00E-156	none
11_21187	locus 2_0111	1.00E-31	none
12_20593	locus 2_0112	1.00E-133	none
11_10787	locus 2_0113	0	none
11_10987	locus 2_0114	1.00E-80	none
11_10307	locus 2_0115	1.00E-153	none
12_20368	locus 2_0116	1.00E-153	none
11_10891	locus 2_0117	1.00E-178	none
11_20864	locus 2_0118	1.00E-159	none
11_11110	locus 2_0119	1.00E-114	none
12_21049	locus 2_0120	1.00E-119	none
12_11452	locus 2_0121	2.00E-86	none
12_11304	locus 2_0122	1.00E-63	none
12_10847	locus 2_0123	0	none
11_21304	locus 2_0124	1.00E-178	none
11_20173	locus 2_0125	1.00E-129	none
11_10525	locus 2_0126	5.00E-68	none
11_11073	locus 2_0127	6.00E-43	none
11_10399	locus 2_0128	1.00E-153	none
12_20326	locus 2_0129	0	none
11_10919	locus 2_0130	4.00E-96	none
12_10296	locus 2_0131	1.00E-138	none
12_30420	locus 2_0132	6.00E-33	none
11_10178	locus 2_0133	2.00E-95	none
12_11057	locus 2_0134	1.00E-133	none
12_30657	locus 2_0135	1.00E-147	none
11_10837	locus 2_0136	3.00E-83	none
11_21153	locus 2_0137	1.00E-149	none
11_10648	locus 2_0138	6.00E-35	none
12_30432	locus 2_0139	1.00E-116	none
11_10342	locus 2_0140	0	none
11_21338	locus 2_0141	0.00000001	none
11_10084	locus 2_0142	1.00E-76	none
12_30363	locus 2_0143	1.00E-76	none
12_11493	locus 2_0144	1.00E-134	none
12_30029	locus 2_0145	1.00E-123	none
12_30379	locus 2_0146	2.00E-96	none
12_10715	locus 2_0147	0	none
12_30491	locus 2_0148	0	none
12_10486	locus 2_0149	1.00E-133	none
12_11340	locus 2_0150	1.00E-148	none
12_20281	locus 2_0151	0	none
12_31169	locus 2_0152	3.00E-14	none
12_30703	locus 2_0153	1.00E-138	none
11_11061	locus 2_0154	0	none
11_10498	locus 2_0155	0	none
11_11505	locus 2_0156	7.00E-25	none
11_21005	locus 2_0157	1.00E-128	none
11_11054	locus 2_0158	0	none
11_10234	locus 2_0159	2.00E-24	none
12_30604	locus 2_0160	0	none
12_20688	locus 2_0161	0	none
12_11428	locus 2_0162	6.00E-27	none
12_10156	locus 2_0163	1.00E-116	none
11_10297	locus 2_0164	1.00E-135	none
12_30691	locus 2_0165	7.00E-50	none
11_20674	locus 2_0166	1.00E-51	none
11_10638	locus 2_0167	0	none
12_11131	locus 2_0168	0	none
11_11302	locus 2_0169	0	none
11_10422	locus 2_0170	1.00E-112	none
11_20929	locus 2_0171	1.00E-107	none
12_31474	locus 2_0172	1.00E-111	none
11_11400	locus 2_0173	1.00E-163	none
11_11522	locus 2_0174	3.00E-19	none
11_10147	locus 2_0175	5.00E-73	none
12_20234	locus 2_0176	5.00E-73	none
12_20235	locus 2_0177	2.00E-36	none
12_20917	locus 2_0178	1.00E-99	none
12_30195	locus 2_0179	1.00E-134	none
12_10927	locus 2_0180	2.00E-98	none
11_20602	locus 2_0181	1.00E-115	none
11_20387	locus 2_0182	1.00E-80	none
12_30338	locus 2_0183	3.00E-28	none
11_21388	locus 2_0184	1.00E-103	none
11_10325	locus 2_0185	0	none
12_30259	locus 2_0186	2.00E-77	none
11_10733	locus 2_0187	1.00E-43	none
11_21096	locus 2_0188	1.00E-63	none
12_11272	locus 2_0189	1.00E-148	none
11_11015	locus 2_0190	0	none
11_20891	locus 2_0191	1.00E-133	none
12_30251	locus 2_0192	1.00E-108	none
11_20748	locus 2_0193	1.00E-142	none
12_20643	locus 2_0194	0	none
12_30557	locus 2_0195	0	none
12_10558	locus 2_0196	0	none
12_30209	locus 2_0197	1.00E-166	none
12_30487	locus 2_0198	0	none
11_10997	locus 2_0199	4.00E-79	none
11_10602	locus 2_0200	1.00E-135	none
12_30634	locus 2_0201	1.00E-169	none
11_10796	locus 2_0202	1.00E-37	none
11_11133	locus 2_0203	1.00E-150	none
11_20500	locus 2_0204	0	none
12_10330	locus 2_0205	1.00E-63	none
12_10485	locus 2_0206	1.00E-120	none
12_31288	locus 2_0207	0.000000003	none
11_20160	locus 2_0208	1.00E-122	none
12_10948	locus 2_0209	1.00E-151	none
12_20878	locus 2_0210	0	none
12_30582	locus 2_0211	1.00E-73	none
12_31175	locus 2_0212	3.00E-77	none
12_30179	locus 2_0213	1.00E-174	none
11_10947	locus 2_0214	2.00E-95	none
11_20417	locus 2_0215	1.00E-58	none
12_10099	locus 2_0216	1.00E-171	none
12_30042	locus 2_0217	0	none
11_11354	locus 2_0218	1.00E-126	none
11_20458	locus 2_0219	2.00E-53	none
11_20039	locus 2_0220	2.00E-82	none
12_11155	locus 2_0221	0	none
11_21286	locus 2_0222	1.00E-127	none
12_30772	locus 2_0223	1.00E-164	none
11_11046	locus 2_0224	1.00E-111	none
11_10070	locus 2_0225	1.00E-149	none
12_20181	locus 2_0226	1.00E-138	none
11_10679	locus 2_0227	0	none
11_20476	locus 2_0228	1.00E-174	none
11_10012	locus 2_0229	9.00E-33	none
12_30828	locus 2_0230	9.00E-33	none
12_11369	locus 2_0231	5.00E-23	none
12_10883	locus 2_0232	1.00E-112	none
12_10474	locus 2_0233	0.00006	none
11_10624	locus 2_0234	3.00E-96	none
12_30206	locus 2_0235	7.00E-92	none
11_20251	locus 2_0236	0	none
11_10358	locus 2_0237	1.00E-156	none
12_30068	locus 2_0238	3.00E-69	none
12_20196	locus 2_0239	5.00E-36	none
12_11288	locus 2_0240	1.00E-139	none
11_20032	locus 2_0241	1.00E-115	none
11_20669	locus 2_0242	6.00E-55	none
12_30514	locus 2_0243	1.00E-143	none
11_11211	locus 2_0244	1.00E-135	none
11_10317	locus 2_0245	0	none
11_11178	locus 2_0246	0	none
12_31218	locus 2_0247	1.00E-154	none
12_31189	locus 2_0248	1.00E-120	none
12_30561	locus 2_0249	0	none
12_21337	locus 2_0250	1.00E-128	none
11_11384	locus 2_0251	1.00E-106	none
12_20335	locus 2_0252	0	none
12_10035	locus 2_0253	1.00E-143	none
11_10750	locus 2_0254	1.00E-131	none
11_11206	locus 2_0255	0	none
12_10640	locus 2_0256	1.00E-46	none
11_10436	locus 2_0257	1.00E-110	none
11_20690	locus 2_0258	1.00E-137	none
11_20390	locus 2_0259	0	none
11_10191	locus 2_0260	1.00E-119	none
12_30275	locus 2_0261	2.00E-55	none
11_20532	locus 2_0262	7.00E-35	none
11_10685	locus 2_0263	0	none
11_20887	locus 2_0264	0	none
12_11504	locus 2_0265	0	none
12_30265	locus 2_0266	1.00E-102	none
11_21399	locus 2_0267	1.00E-93	none
11_20438	locus 2_0268	5.00E-95	none
11_10692	locus 2_0269	1.00E-171	none
11_10909	locus 2_0270	0	none
12_30108	locus 2_0271	0	none
12_30724	locus 2_0272	1.00E-61	none
12_11324	locus 2_0273	1.00E-141	none
12_30323	locus 2_0274	2.00E-45	none
11_20585	locus 2_0275	0	none
12_11278	locus 2_0276	6.00E-19	none
11_10632	locus 2_0277	1.00E-121	none
12_31256	locus 2_0278	4.00E-25	none
11_20374	locus 2_0279	1.00E-41	none
11_20442	locus 2_0280	1.00E-159	none
11_11430	locus 2_0281	0	none
12_11316	locus 2_0282	1.00E-139	none
12_21476	locus 2_0283	1.00E-149	none
11_21094	locus 2_0284	0	none
11_11072	locus 2_0285	0	none
12_11347	locus 2_0286	4.00E-87	none
11_21166	locus 2_0287	0	none
12_11121	locus 2_0288	0	none
11_21110	locus 2_0289	3.00E-77	none
11_10651	locus 2_0290	3.00E-76	none
12_10545	locus 2_0291	0	none
12_11096	locus 2_0292	1.00E-113	none
11_21144	locus 2_0293	1.00E-176	none
11_10265	locus 2_0294	0	none
11_21258	locus 2_0295	1.00E-128	none
11_21251	locus 2_0296	2.00E-61	none
12_30205	locus 2_0297	1.00E-79	none
11_10407	locus 2_0298	1.00E-108	none
12_31020	locus 2_0299	1.00E-108	none
12_31021	locus 2_0300	1.00E-102	none
12_10719	locus 2_0301	1.00E-148	none
11_21078	locus 2_0302	1.00E-114	none
11_20833	locus 2_0303	3.00E-52	none
11_21205	locus 2_0304	2.00E-52	none
12_10717	locus 2_0305	0	none
11_20667	locus 2_0306	1.00E-117	none
11_20528	locus 2_0307	0	none
12_31383	locus 3_0001	8.00E-93	none
11_20947	locus 3_0002	0	none
12_10650	locus 3_0003	3.00E-76	none
11_11402	locus 3_0004	2.00E-80	none
11_21156	locus 3_0005	2.00E-68	none
12_30674	locus 3_0006	4.00E-81	none
11_20960	locus 3_0007	1.00E-158	none
12_31394	locus 3_0008	1.00E-158	none
11_20419	locus 3_0009	1.00E-160	none
12_31380	locus 3_0010	1.00E-120	none
11_20734	locus 3_0011	1.00E-142	none
11_10952	locus 3_0012	1.00E-177	none
12_11449	locus 3_0013	2.00E-53	none
12_30178	locus 3_0014	1.00E-109	none
12_30696	locus 3_0015	1.00E-164	none
11_10196	locus 3_0016	0	none
11_11435	locus 3_0017	0	none
12_31398	locus 3_0018	0	none
11_20699	locus 3_0019	1.00E-100	none
12_11388	locus 3_0020	3.00E-41	none
11_10818	locus 3_0021	1.00E-30	none
12_20489	locus 3_0022	0	none
12_31445	locus 3_0023	6.00E-29	none
12_31293	locus 3_0024	3.00E-26	none
12_10859	locus 3_0025	1.00E-144	none
11_10823	locus 3_0026	0	none
11_10786	locus 3_0027	0	none
11_21242	locus 3_0028	1.00E-146	none
11_11214	locus 3_0029	2.00E-70	none
11_10619	locus 3_0030	2.00E-64	none
11_11100	locus 3_0031	8.00E-91	none
11_20781	locus 3_0032	1.00E-115	none
11_20340	locus 3_0033	0	none
11_10287	locus 3_0034	0	none
12_31205	locus 3_0035	1.00E-150	none
12_30896	locus 3_0036	0.00000008	none
12_30897	locus 3_0037	0.00000008	none
12_30899	locus 3_0038	0.00000008	none
12_30900	locus 3_0039	0.00000008	none
12_30901	locus 3_0040	0.00000008	none
11_10213	locus 3_0041	8.00E-68	none
11_11533	locus 3_0042	2.00E-90	none
11_10475	locus 3_0043	0	none
11_21136	locus 3_0044	1.00E-150	none
11_21037	locus 3_0045	1.00E-149	none
11_21245	locus 3_0046	2.00E-25	none
12_31424	locus 3_0047	2.00E-31	none
12_10936	locus 3_0048	1.00E-100	none
11_11058	locus 3_0049	2.00E-65	none
11_21351	locus 3_0050	1.00E-145	none
12_20793	locus 3_0051	1.00E-139	none
11_10214	locus 3_0052	4.00E-44	none
11_20080	locus 3_0053	7.00E-88	none
11_21007	locus 3_0054	5.00E-36	none
11_10138	locus 3_0055	2.00E-85	none
11_21175	locus 3_0056	4.00E-67	none
11_11307	locus 3_0057	0	none
12_11285	locus 3_0058	5.00E-51	none
12_30216	locus 3_0059	2.00E-50	none
12_10649	locus 3_0060	0	none
11_20086	locus 3_0061	5.00E-37	none
11_10876	locus 3_0062	2.00E-60	none
11_11250	locus 3_0063	5.00E-82	none
11_10398	locus 3_0064	0	none
12_30200	locus 3_0065	2.00E-84	none
11_20923	locus 3_0066	1.00E-163	none
12_11466	locus 3_0067	9.00E-45	none
11_10900	locus 3_0068	1.00E-100	none
12_21527	locus 3_0069	1.00E-83	none
12_30480	locus 3_0070	3.00E-40	none
12_30095	locus 3_0071	1.00E-158	none
11_21340	locus 3_0072	1.00E-161	none
11_10630	locus 3_0073	2.00E-76	none
12_30049	locus 3_0074	0	none
12_30555	locus 3_0075	0	none
11_11323	locus 3_0076	2.00E-28	none
11_11094	locus 3_0077	1.00E-124	none
11_11480	locus 3_0078	1.00E-123	none
11_20064	locus 3_0079	5.00E-59	none
11_10989	locus 3_0080	2.00E-28	none
11_10263	locus 3_0081	8.00E-50	none
11_10128	locus 3_0082	6.00E-84	none
11_11118	locus 3_0083	1.00E-126	none
11_21238	locus 3_0084	0.000002	none
12_31402	locus 3_0085	1.00E-75	none
11_20955	locus 3_0086	9.00E-57	none
12_21396	locus 3_0087	6.00E-92	none
11_10429	locus 3_0088	0	none
12_20989	locus 3_0089	1.00E-127	none
11_11236	locus 3_0090	5.00E-52	none
11_20182	locus 3_0091	7.00E-80	none
12_30459	locus 3_0092	2.00E-31	none
11_10707	locus 3_0093	7.00E-15	none
11_10538	locus 3_0094	2.00E-34	none
12_31095	locus 3_0095	2.00E-11	none
11_10404	locus 3_0096	1.00E-121	none
12_10739	locus 3_0097	0	none
11_10916	locus 3_0098	0	none
12_31406	locus 3_0099	0	none
11_10780	locus 3_0100	1.00E-152	none
12_30598	locus 3_0101	0	none
12_31264	locus 3_0102	1.00E-25	none
11_21220	locus 3_0103	1.00E-61	none
11_20511	locus 3_0104	0	none
11_11365	locus 3_0105	3.00E-77	none
11_21315	locus 3_0106	1.00E-107	none
12_30097	locus 3_0107	1.00E-121	none
11_10092	locus 3_0108	2.00E-42	none
12_30636	locus 3_0109	1.00E-135	none
12_30152	locus 3_0110	5.00E-49	none
11_21370	locus 3_0111	1.00E-169	none
12_31100	locus 3_0112	0	none
11_10446	locus 3_0113	0	none
11_20711	locus 3_0114	1.00E-148	none
11_21440	locus 3_0115	1.00E-102	none
11_20480	locus 3_0116	0	none
11_21406	locus 3_0117	0	none
11_11486	locus 3_0118	1.00E-171	none
11_21459	locus 3_0119	0	none
12_30041	locus 3_0120	1.00E-121	none
12_30695	locus 3_0121	6.00E-65	none
12_30310	locus 3_0122	0	none
11_10109	locus 3_0123	0	none
12_20183	locus 3_0124	0	none
11_21088	locus 3_0125	0	none
12_30690	locus 3_0126	3.00E-88	none
11_20366	locus 3_0127	7.00E-71	none
11_10656	locus 3_0128	1.00E-87	none
11_21125	locus 3_0129	1.00E-148	none
11_20215	locus 3_0130	3.00E-56	none
12_31268	locus 3_0131	1.00E-145	none
12_30678	locus 3_0132	4.00E-73	none
11_10383	locus 3_0133	0	none
11_10065	locus 3_0134	1.00E-161	none
12_10472	locus 3_0135	0	none
12_10164	locus 3_0136	0	none
12_30942	locus 3_0137	0	none
11_20895	locus 3_0138	0	none
11_10376	locus 3_0139	2.00E-66	none
12_10579	locus 3_0140	0	none
11_11227	locus 3_0141	0	none
11_20715	locus 3_0142	0	none
12_30396	locus 3_0143	5.00E-38	none
12_30106	locus 3_0144	7.00E-87	none
