Chrom	BOPA_C	cM_NAI	aliases	annotation
1H	11_10957	49.34	none	none
1H	11_11064	49.34	none	none
1H	12_11301	49.34	none	none
1H	11_20855	49.34	none	none
1H	11_10470	49.7	none	none
1H	12_30438	49.7	none	none
1H	12_10159	49.7	none	none
1H	12_30436	49.7	none	none
1H	11_11162	49.7	none	none
1H	12_30762	49.7	none	none
1H	11_11478	50	none	none
1H	11_11287	50	none	none
1H	12_30498	50	none	none
1H	11_10438	50	none	none
1H	12_30562	50	none	none
1H	12_10506	50.6	none	none
1H	11_11336	50.6	none	none
1H	11_20757	50.6	none	none
1H	12_21408	50.6	none	none
1H	11_20427	50.6	none	none
1H	12_10300	50.6	none	none
1H	12_11036	50.6	none	none
1H	12_30462	50.6	none	none
1H	11_20698	50.6	none	none
1H	12_30043	50.6	none	none
1H	11_20260	50.6	none	none
1H	12_30404	50.6	none	none
1H	11_21193	50.6	none	none
1H	12_31381	50.6	none	none
1H	12_31208	50.6	none	none
1H	12_11209	50.6	none	none
1H	12_10938	50.6	none	none
1H	11_11484	51.23	none	none
1H	11_21357	51.7	none	none
1H	11_10833	52.46	none	none
1H	12_30592	52.46	none	none
1H	12_30059	52.46	none	none
1H	11_21312	52.46	none	none
1H	12_31134	52.46	none	none
1H	12_11169	52.46	none	none
1H	11_21000	52.46	none	none
1H	11_20810	52.46	none	none
1H	11_20912	52.46	none	none
1H	12_30350	52.46	none	none
1H	12_30774	53.22	none	none
1H	12_11107	53.22	none	none
1H	12_30522	53.22	none	none
1H	11_11359	54.73	none	none
1H	12_11217	54.73	none	none
1H	11_21217	54.73	none	none
1H	12_30786	54.73	none	none
1H	12_30672	54.73	none	none
1H	11_21361	55.49	none	none
1H	11_10933	55.49	none	none
1H	11_10075	55.49	none	none
1H	11_10293	55.49	none	none
1H	12_30243	55.49	none	none
1H	11_11256	55.49	none	none
1H	12_30110	55.49	none	none
1H	12_30694	55.49	none	none
1H	11_20798	55.49	none	none
1H	12_30406	55.49	none	none
1H	11_10520	55.49	none	none
1H	11_11326	55.49	none	none
1H	12_30750	55.49	none	none
1H	12_30499	55.49	none	none
1H	12_30478	55.49	none	none
1H	12_30348	55.49	none	none
1H	12_30710	56.25	none	none
1H	11_10324	57.01	none	none
1H	12_10198	57.77	none	none
1H	12_30343	58.9	none	none
1H	11_21053	58.9	none	none
1H	12_30820	59.71	none	none
1H	12_30821	59.71	none	none
1H	11_10552	59.71	none	none
1H	12_11444	59.71	none	none
1H	11_21333	59.71	none	none
1H	11_10768	59.71	none	none
1H	11_20997	60.19	none	none
1H	12_10201	60.77	none	none
1H	12_30753	60.77	none	none
1H	12_21463	60.77	none	none
1H	11_10798	61.53	none	none
1H	11_11049	61.53	none	none
1H	12_30304	61.53	none	none
1H	12_30744	61.53	none	none
1H	11_10617	61.53	none	none
1H	11_10176	61.53	none	none
1H	11_10302	62.78	none	none
1H	12_21131	62.78	none	none
1H	12_31179	63.54	none	none
1H	12_31401	63.54	none	none
1H	11_20432	64.3	none	none
1H	11_21431	64.91	none	none
1H	11_20642	64.91	none	none
1H	11_10516	65.53	none	none
1H	11_10043	65.96	none	none
1H	12_30295	66.7	none	none
1H	12_11062	66.7	none	none
1H	11_20956	66.7	none	none
1H	12_10960	66.7	none	none
1H	11_11367	66.7	none	none
1H	12_31464	66.7	none	none
1H	11_21219	66.7	none	none
1H	11_10002	66.7	none	none
1H	11_20290	69.53	none	none
1H	11_20157	69.53	none	none
1H	12_30298	69.53	none	none
1H	12_10166	69.53	none	none
1H	12_20696	69.53	none	none
1H	12_30505	70.29	none	none
1H	11_11075	71.43	none	none
1H	11_10686	71.43	none	none
1H	11_20229	71.43	none	none
1H	12_30742	71.43	none	none
1H	12_21176	71.43	none	none
1H	11_21057	71.43	none	none
1H	12_11267	72.43	none	none
1H	11_10006	73.94	none	none
1H	11_10890	73.94	none	none
1H	11_21126	73.94	none	none
1H	11_20990	75.45	none	none
1H	11_20121	75.45	none	none
1H	11_10279	75.45	none	none
1H	11_20657	77.29	none	none
1H	11_10466	80.26	none	none
1H	12_30072	83.3	none	none
1H	11_11037	84.69	none	none
1H	12_11463	85.43	none	none
1H	12_30204	86.19	none	none
1H	11_10434	86.19	none	none
1H	12_11144	87.62	none	none
1H	11_10830	88.23	none	none
1H	11_20550	88.23	none	none
1H	12_31160	88.23	none	none
1H	11_20434	88.23	none	none
1H	11_10471	88.23	none	none
1H	11_21192	88.23	none	none
1H	11_11189	90.97	none	none
1H	11_20792	90.97	none	none
1H	11_21446	92.04	none	none
1H	12_10535	92.04	none	none
1H	12_30546	92.8	none	none
1H	11_20475	92.8	none	none
1H	12_31163	93.95	none	none
1H	12_11008	93.95	none	none
1H	11_10433	93.95	none	none
1H	11_21373	95.42	none	none
1H	12_31192	96.92	none	none
1H	11_20769	96.92	none	none
1H	11_10396	96.92	none	none
1H	12_31319	97.68	none	none
1H	11_11277	97.68	none	none
1H	11_10522	99.19	none	none
1H	11_20169	99.95	none	none
1H	11_20754	99.95	none	none
1H	11_10357	100.69	none	none
1H	12_31152	101.45	none	none
1H	12_21020	101.45	none	none
1H	12_11173	101.45	none	none
1H	11_20267	101.45	none	none
1H	11_20909	101.45	none	none
1H	11_10111	101.45	none	none
1H	12_20187	101.45	none	none
1H	12_20613	101.45	none	none
1H	12_30509	102.96	none	none
1H	12_30191	104.35	none	none
1H	11_20780	105.1	none	none
1H	11_20921	105.85	none	none
1H	11_20625	106.6	none	none
1H	11_20220	107.55	none	none
1H	11_20844	108.31	none	none
1H	11_20021	109.82	none	none
1H	12_30532	109.82	none	none
1H	11_10789	112.54	none	none
1H	12_30014	113.3	none	none
1H	11_21392	114.84	none	none
1H	12_10905	114.84	none	none
1H	12_11409	115.92	none	none
1H	11_10729	116.31	none	none
1H	11_20959	117.8	none	none
1H	11_10338	117.8	none	none
1H	11_10854	117.8	none	none
1H	12_30257	117.8	none	none
1H	11_10911	120.51	none	none
1H	12_21172	121.12	none	none
1H	11_21038	121.12	none	none
1H	11_11528	121.12	none	none
1H	11_20908	121.12	none	none
1H	12_31105	121.77	none	none
1H	11_10586	121.77	none	none
1H	12_11457	122.53	none	none
1H	12_11443	123.75	none	none
1H	11_10722	125.27	none	none
1H	11_21140	126.01	none	none
1H	11_21068	126.48	none	none
1H	11_11481	126.48	none	none
1H	12_10207	126.48	none	none
1H	12_31377	126.48	none	none
1H	12_30403	126.48	none	none
1H	11_10644	127.1	none	none
1H	12_31387	127.38	none	none
1H	12_10808	127.38	none	none
1H	12_10693	128.14	none	none
1H	11_11038	128.14	none	none
1H	12_30649	128.14	none	none
1H	11_20133	128.14	none	none
1H	11_10903	129.64	none	none
1H	11_20383	131.15	none	none
1H	11_10782	131.89	none	none
1H	12_11271	132.53	none	none
1H	12_21105	134.05	none	none
1H	11_11509	135.56	none	none
1H	11_10041	135.56	none	none
1H	12_11496	135.56	none	none
1H	11_21384	135.56	none	none
1H	11_11105	135.56	none	none
1H	12_30277	135.56	none	none
1H	12_30517	135.56	none	none
1H	12_20599	135.56	none	none
1H	11_20603	135.56	none	none
1H	11_20594	136.31	none	none
1H	11_20840	137.83	none	none
1H	12_30231	138.31	none	none
1H	11_20915	138.31	none	none
1H	11_10590	138.31	none	none
1H	12_10746	138.31	none	none
1H	11_20509	138.92	none	none
1H	11_20772	139.79	none	none
1H	11_10443	140.53	none	none
1H	12_20429	140.53	none	none
1H	12_30048	140.53	none	none
1H	12_31081	140.53	none	none
1H	12_30934	140.53	none	none
2H	12_10970	0	none	none
2H	12_10718	2.14	none	none
2H	12_21415	2.86	none	none
2H	12_11030	3.57	none	none
2H	12_31224	4.08	none	none
2H	11_10326	6.45	none	none
2H	12_10230	7.14	none	none
2H	11_11059	7.14	none	none
2H	12_30781	8.57	none	none
2H	12_10592	8.57	none	none
2H	11_21377	8.57	none	none
2H	11_20563	9.28	none	none
2H	12_31497	10.06	none	none
2H	12_30402	10.06	none	none
2H	12_10502	10.06	none	none
2H	12_11119	10.06	none	none
2H	12_30155	10.06	none	none
2H	12_30775	10.06	none	none
2H	11_21416	10.06	none	none
2H	11_20562	10.94	none	none
2H	12_30631	15.15	none	none
2H	11_20112	15.15	none	none
2H	11_21423	16.06	none	none
2H	11_20107	17.85	none	none
2H	11_20724	18.2	none	none
2H	11_10943	18.32	none	none
2H	11_11040	19.27	none	none
2H	12_31284	19.47	none	none
2H	12_10777	21.61	none	none
2H	11_10180	21.61	none	none
2H	11_10216	26.53	none	none
2H	12_30871	26.57	none	none
2H	12_30872	26.57	none	none
2H	11_20394	27.29	none	none
2H	11_21015	27.29	none	none
2H	11_21265	28.44	none	none
2H	11_21261	28.44	none	none
2H	11_21366	28.44	none	none
2H	11_21187	29.15	none	none
2H	12_20593	30.31	none	none
2H	11_10787	31.02	none	none
2H	11_10987	31.02	none	none
2H	11_10307	31.02	none	none
2H	12_20368	31.02	none	none
2H	11_10891	31.02	none	none
2H	11_20864	31.72	none	none
2H	11_11110	32.17	none	none
2H	12_21049	32.33	none	none
2H	12_11452	32.63	none	none
2H	12_11304	33.02	none	none
2H	12_10847	33.73	none	none
2H	11_21304	33.74	none	none
2H	11_20173	37.32	none	none
2H	11_10525	38.03	none	none
2H	11_11073	38.48	none	none
2H	11_10399	39.1	none	none
2H	12_20326	39.1	none	none
2H	11_10919	39.1	none	none
2H	12_10296	39.1	none	none
2H	12_30420	39.1	none	none
2H	11_10178	39.1	none	none
2H	12_11057	39.1	none	none
2H	12_30657	39.1	none	none
2H	11_10837	40.5	none	none
2H	11_21153	40.94	none	none
2H	11_10648	41.66	none	none
2H	12_30432	41.66	none	none
2H	11_10342	44.13	none	none
2H	11_21338	44.84	none	none
2H	11_10084	45.55	none	none
2H	12_30363	45.55	none	none
2H	12_11493	45.55	none	none
2H	12_30029	46.26	none	none
2H	12_30379	46.26	none	none
2H	12_10715	46.26	none	none
2H	12_30491	46.98	none	none
2H	12_10486	46.98	none	none
2H	12_11340	47.69	none	none
2H	12_20281	47.69	none	none
2H	12_31169	48.4	none	none
2H	12_30703	49.03	none	none
2H	11_11061	49.03	none	none
2H	11_10498	49.07	none	none
2H	11_11505	49.07	none	none
2H	11_21005	50.49	none	none
2H	11_11054	50.6	none	none
2H	11_10234	51.75	none	none
2H	12_30604	51.75	none	none
2H	12_20688	51.75	none	none
2H	12_11428	51.75	none	none
2H	12_10156	51.75	none	none
2H	11_10297	51.75	none	none
2H	12_30691	51.75	none	none
2H	11_20674	51.75	none	none
2H	11_10638	52.47	none	none
2H	12_11131	52.47	none	none
2H	11_11302	52.47	none	none
2H	11_10422	52.47	none	none
2H	11_20929	52.47	none	none
2H	12_31474	53.53	none	none
2H	11_11400	53.53	none	none
2H	11_11522	53.53	none	none
2H	11_10147	54.95	none	none
2H	12_20234	54.95	none	none
2H	12_20235	54.95	none	none
2H	12_20917	54.95	none	none
2H	12_30195	54.95	none	none
2H	12_10927	54.95	none	none
2H	11_20602	54.95	none	none
2H	11_20387	54.95	none	none
2H	12_30338	54.95	none	none
2H	11_21388	54.95	none	none
2H	11_10325	54.95	none	none
2H	12_30259	54.95	none	none
2H	11_10733	54.95	none	none
2H	11_21096	54.95	none	none
2H	12_11272	55.67	none	none
2H	11_11015	55.67	none	none
2H	11_20891	56.28	none	none
2H	12_30251	56.28	none	none
2H	11_20748	56.28	none	none
2H	12_20643	56.99	none	none
2H	12_30557	56.99	none	none
2H	12_10558	56.99	none	none
2H	12_30209	56.99	none	none
2H	12_30487	56.99	none	none
2H	11_10997	57.54	none	none
2H	11_10602	58.24	none	none
2H	12_30634	58.24	none	none
2H	11_10796	58.24	none	none
2H	11_11133	58.24	none	none
2H	11_20500	58.24	none	none
2H	12_10330	58.24	none	none
2H	12_10485	58.24	none	none
2H	12_31288	58.24	none	none
2H	11_20160	58.9	none	none
2H	12_10948	58.9	none	none
2H	12_20878	58.9	none	none
2H	12_30582	58.9	none	none
2H	12_31175	58.9	none	none
2H	12_30179	58.9	none	none
2H	11_10947	58.9	none	none
2H	11_20417	58.9	none	none
2H	12_10099	58.9	none	none
2H	12_30042	58.9	none	none
2H	11_11354	58.9	none	none
2H	11_20458	58.9	none	none
2H	11_20039	58.9	none	none
2H	12_11155	58.9	none	none
2H	11_21286	58.9	none	none
2H	12_30772	58.9	none	none
2H	11_11046	58.9	none	none
2H	11_10070	58.9	none	none
2H	12_20181	58.9	none	none
2H	11_10679	58.9	none	none
2H	11_20476	58.9	none	none
2H	11_10012	58.9	none	none
2H	12_30828	58.9	none	none
2H	12_11369	59.21	none	none
2H	12_10883	59.21	none	none
2H	12_10474	59.21	none	none
2H	11_10624	59.21	none	none
2H	12_30206	59.21	none	none
2H	11_20251	59.9	none	none
2H	11_10358	59.9	none	none
2H	12_30068	59.9	none	none
2H	12_20196	59.9	none	none
2H	12_11288	59.9	none	none
2H	11_20032	59.9	none	none
2H	11_20669	59.9	none	none
2H	12_30514	59.9	none	none
2H	11_11211	59.9	none	none
2H	11_10317	59.9	none	none
2H	11_11178	59.9	none	none
2H	12_31218	59.9	none	none
2H	12_31189	59.9	none	none
2H	12_30561	59.9	none	none
2H	12_21337	59.9	none	none
2H	11_11384	60.68	none	none
2H	12_20335	61.39	none	none
2H	12_10035	62.82	none	none
2H	11_10750	62.82	none	none
2H	11_11206	62.82	none	none
2H	12_10640	62.82	none	none
2H	11_10436	62.82	none	none
2H	11_20690	62.82	none	none
2H	11_20390	63.53	none	none
2H	11_10191	63.53	none	none
2H	12_30275	63.53	none	none
2H	11_20532	63.53	none	none
2H	11_10685	63.53	none	none
2H	11_20887	63.53	none	none
2H	12_11504	63.53	none	none
2H	12_30265	63.53	none	none
2H	11_21399	63.53	none	none
2H	11_20438	63.53	none	none
2H	11_10692	63.53	none	none
2H	11_10909	63.53	none	none
2H	12_30108	63.53	none	none
2H	12_30724	63.53	none	none
2H	12_11324	63.53	none	none
2H	12_30323	63.53	none	none
2H	11_20585	63.53	none	none
2H	12_11278	63.53	none	none
2H	11_10632	63.53	none	none
2H	12_31256	64.24	none	none
2H	11_20374	64.24	none	none
2H	11_20442	64.24	none	none
2H	11_11430	64.24	none	none
2H	12_11316	64.24	none	none
2H	12_21476	64.24	none	none
2H	11_21094	65.67	none	none
2H	11_11072	66.12	none	none
2H	12_11347	66.12	none	none
2H	11_21166	66.83	none	none
2H	12_11121	67.54	none	none
2H	11_21110	67.54	none	none
2H	11_10651	68.24	none	none
2H	12_10545	69.13	none	none
2H	12_11096	69.16	none	none
2H	11_21144	69.25	none	none
2H	11_10265	70.54	none	none
2H	11_21258	70.54	none	none
2H	11_21251	71.12	none	none
2H	12_30205	71.12	none	none
2H	11_10407	71.12	none	none
2H	12_31020	71.12	none	none
2H	12_31021	71.12	none	none
2H	12_10719	71.12	none	none
2H	11_21078	71.12	none	none
2H	11_20833	71.12	none	none
2H	11_21205	71.56	none	none
2H	12_10717	71.56	none	none
2H	11_20667	72.33	none	none
2H	11_20528	73.04	none	none
2H	12_31383	73.75	none	none
2H	11_20947	73.75	none	none
2H	12_10650	73.75	none	none
2H	11_11402	73.75	none	none
2H	11_21156	74.37	none	none
2H	12_30674	74.37	none	none
2H	11_20960	74.37	none	none
2H	12_31394	74.37	none	none
2H	11_20419	74.37	none	none
2H	12_31380	74.37	none	none
2H	11_20734	75.18	none	none
2H	11_10952	75.18	none	none
2H	12_11449	75.18	none	none
2H	12_30178	75.89	none	none
2H	12_30696	78.03	none	none
2H	11_10196	78.03	none	none
2H	11_11435	78.03	none	none
2H	12_31398	78.03	none	none
2H	11_20699	78.03	none	none
2H	12_11388	78.03	none	none
2H	11_10818	78.03	none	none
2H	12_20489	79.19	none	none
2H	12_31445	79.19	none	none
2H	12_31293	81.33	none	none
2H	12_10859	81.33	none	none
2H	11_10823	82.75	none	none
2H	11_10786	82.75	none	none
2H	11_21242	82.75	none	none
2H	11_11214	82.75	none	none
2H	11_10619	82.75	none	none
2H	11_11100	83.82	none	none
2H	11_20781	83.82	none	none
2H	11_20340	85.92	none	none
2H	11_10287	85.92	none	none
2H	12_31205	86.63	none	none
2H	12_30896	86.63	none	none
2H	12_30897	86.63	none	none
2H	12_30899	86.63	none	none
2H	12_30900	86.63	none	none
2H	12_30901	86.63	none	none
2H	11_10213	86.63	none	none
2H	11_11533	87.33	none	none
2H	11_10475	88.74	none	none
2H	11_21136	88.74	none	none
2H	11_21037	88.74	none	none
2H	11_21245	89.32	none	none
2H	12_31424	89.32	none	none
2H	12_10936	89.32	none	none
2H	11_11058	90.1	none	none
2H	11_21351	90.1	none	none
2H	12_20793	90.82	none	none
2H	11_10214	93.5	none	none
2H	11_20080	95.64	none	none
2H	11_21007	96.25	none	none
2H	11_10138	96.82	none	none
2H	11_21175	96.82	none	none
2H	11_11307	96.82	none	none
2H	12_11285	96.82	none	none
2H	12_30216	96.82	none	none
2H	12_10649	96.82	none	none
2H	11_20086	98.59	none	none
2H	11_10876	100.37	none	none
2H	11_11250	100.37	none	none
2H	11_10398	100.37	none	none
2H	12_30200	100.37	none	none
2H	11_20923	100.37	none	none
2H	12_11466	101.78	none	none
2H	11_10900	101.78	none	none
2H	12_21527	101.78	none	none
2H	12_30480	102.49	none	none
2H	12_30095	102.49	none	none
2H	11_21340	103.67	none	none
2H	11_10630	105.77	none	none
2H	12_30049	106.46	none	none
2H	12_30555	106.46	none	none
2H	11_11323	106.46	none	none
2H	11_11094	108.61	none	none
2H	11_11480	108.61	none	none
2H	11_20064	112.91	none	none
2H	11_10989	113.48	none	none
2H	11_10263	113.48	none	none
2H	11_10128	113.48	none	none
2H	11_11118	113.48	none	none
2H	11_21238	113.48	none	none
2H	12_31402	113.48	none	none
2H	11_20955	113.48	none	none
2H	12_21396	113.92	none	none
2H	11_10429	115.08	none	none
2H	12_20989	115.08	none	none
2H	11_11236	115.78	none	none
2H	11_20182	116.49	none	none
2H	12_30459	116.49	none	none
2H	11_10707	116.49	none	none
2H	11_10538	116.49	none	none
2H	12_31095	116.49	none	none
2H	11_10404	117.2	none	none
2H	12_10739	117.7	none	none
2H	11_10916	117.91	none	none
2H	12_31406	119.05	none	none
2H	11_10780	119.05	none	none
2H	12_30598	119.31	none	none
2H	12_31264	119.31	none	none
2H	11_21220	120.02	none	none
2H	11_20511	120.8	none	none
2H	11_11365	121.5	none	none
2H	11_21315	121.5	none	none
2H	12_30097	121.5	none	none
2H	11_10092	121.5	none	none
2H	12_30636	122.21	none	none
2H	12_30152	122.21	none	none
2H	11_21370	125.46	none	none
2H	12_31100	125.46	none	none
2H	11_10446	125.46	none	none
2H	11_20711	126.03	none	none
2H	11_21440	126.03	none	none
2H	11_20480	126.03	none	none
2H	11_21406	126.37	none	none
2H	11_11486	127.06	none	none
2H	11_21459	127.06	none	none
2H	12_30041	127.64	none	none
2H	12_30695	127.64	none	none
2H	12_30310	127.64	none	none
2H	11_10109	127.64	none	none
2H	12_20183	127.64	none	none
2H	11_21088	128.26	none	none
2H	12_30690	128.26	none	none
2H	11_20366	128.26	none	none
2H	11_10656	128.26	none	none
2H	11_21125	129.31	none	none
2H	11_20215	130.01	none	none
2H	12_31268	130.01	none	none
2H	12_30678	130.01	none	none
2H	11_10383	130.01	none	none
2H	11_10065	130.01	none	none
2H	12_10472	130.01	none	none
2H	12_10164	130.01	none	none
2H	12_30942	130.01	none	none
2H	11_20895	131.77	none	none
2H	11_10376	131.77	none	none
2H	12_10579	132.48	none	none
2H	11_11227	133.22	none	none
2H	11_20715	133.94	none	none
2H	12_30396	133.94	none	none
2H	12_30106	133.94	none	none
2H	12_30248	136.8	none	none
2H	11_20590	137.51	none	none
2H	11_21274	137.51	none	none
2H	12_30341	137.51	none	none
2H	12_20027	138.94	none	none
2H	12_31461	138.94	none	none
2H	11_10551	139.65	none	none
2H	11_10625	139.65	none	none
2H	11_11262	139.65	none	none
2H	11_10826	139.65	none	none
2H	11_20494	139.65	none	none
2H	12_31209	139.65	none	none
2H	12_30352	139.65	none	none
2H	12_30914	139.65	none	none
2H	11_10566	140.27	none	none
2H	12_20518	141.28	none	none
2H	11_11023	141.28	none	none
2H	11_10315	141.28	none	none
2H	12_10766	141.28	none	none
2H	12_10447	141.28	none	none
2H	11_10714	143.6	none	none
2H	11_21250	144.31	none	none
2H	12_10487	144.31	none	none
2H	12_10950	144.31	none	none
2H	11_11380	145.03	none	none
2H	11_21346	147.12	none	none
2H	11_20994	147.12	none	none
2H	12_10181	147.12	none	none
2H	11_20293	147.94	none	none
2H	11_21299	149.36	none	none
2H	11_20943	149.61	none	none
2H	11_10791	150.67	none	none
2H	11_21436	150.67	none	none
2H	12_30823	150.67	none	none
2H	12_31527	151.37	none	none
2H	11_10072	151.37	none	none
2H	12_31506	152.79	none	none
2H	12_31300	152.79	none	none
2H	12_10937	152.79	none	none
2H	11_10329	155.3	none	none
2H	12_31180	155.3	none	none
2H	11_21099	155.3	none	none
2H	11_21453	155.3	none	none
2H	11_20561	156.72	none	none
2H	11_10085	156.72	none	none
2H	12_11050	156.72	none	none
2H	11_20681	156.72	none	none
2H	11_21414	158.15	none	none
2H	12_21496	158.87	none	none
2H	12_30378	158.87	none	none
2H	12_30102	160.29	none	none
3H	12_31428	0	none	none
3H	11_20858	0	none	none
3H	12_20090	0	none	none
3H	11_20797	2.29	none	none
3H	12_31448	2.9	none	none
3H	12_10103	2.9	none	none
3H	12_11434	3.71	none	none
3H	12_10173	6.03	none	none
3H	11_11453	6.03	none	none
3H	11_20953	6.7	none	none
3H	12_31409	6.7	none	none
3H	11_20529	8.23	none	none
3H	11_21190	8.23	none	none
3H	12_30297	8.23	none	none
3H	11_21398	8.23	none	none
3H	12_11005	8.23	none	none
3H	11_21027	8.86	none	none
3H	12_30818	9.63	none	none
3H	11_20976	9.63	none	none
3H	11_10112	10.8	none	none
3H	11_10886	10.8	none	none
3H	12_30910	10.8	none	none
3H	12_11310	10.8	none	none
3H	11_20595	12.46	none	none
3H	12_30915	13.23	none	none
3H	12_10571	15.55	none	none
3H	12_30113	15.55	none	none
3H	11_20172	16.33	none	none
3H	11_20742	19.15	none	none
3H	11_10565	19.15	none	none
3H	11_20982	22.68	none	none
3H	12_30192	23.45	none	none
3H	11_20552	24.22	none	none
3H	11_10559	24.99	none	none
3H	12_30920	24.99	none	none
3H	11_20794	26.9	none	none
3H	12_11237	28.44	none	none
3H	11_20968	28.44	none	none
3H	11_20455	28.44	none	none
3H	12_30284	28.44	none	none
3H	11_20607	32.83	none	none
3H	11_10026	32.83	none	none
3H	12_11414	32.83	none	none
3H	12_30571	32.83	none	none
3H	12_21268	32.83	none	none
3H	12_11527	32.83	none	none
3H	12_30431	35.22	none	none
3H	12_30925	37.17	none	none
3H	11_10672	37.17	none	none
3H	12_10968	38.68	none	none
3H	11_10081	39.45	none	none
3H	11_10710	39.45	none	none
3H	11_10825	39.45	none	none
3H	11_20410	39.45	none	none
3H	12_30953	41	none	none
3H	12_31298	41	none	none
3H	12_31159	41	none	none
3H	11_10863	41.68	none	none
3H	11_20193	42.06	none	none
3H	12_10114	42.06	none	none
3H	11_21145	42.47	none	none
3H	11_20666	43.23	none	none
3H	11_20647	43.23	none	none
3H	11_21533	43.23	none	none
3H	11_11002	43.99	none	none
3H	12_11117	44.76	none	none
3H	12_30913	44.76	none	none
3H	11_21259	44.76	none	none
3H	12_21506	44.76	none	none
3H	12_31475	45.54	none	none
3H	12_30785	45.54	none	none
3H	11_10601	46.31	none	none
3H	12_30064	46.31	none	none
3H	11_20356	47.09	none	none
3H	12_10532	48.63	none	none
3H	11_21101	48.63	none	none
3H	11_21189	48.63	none	none
3H	11_20328	48.63	none	none
3H	12_30737	48.63	none	none
3H	11_20719	48.63	none	none
3H	12_31009	48.63	none	none
3H	12_30609	48.63	none	none
3H	12_30474	48.63	none	none
3H	12_31122	48.63	none	none
3H	12_11069	49.41	none	none
3H	12_30467	49.41	none	none
3H	12_20264	49.41	none	none
3H	12_30721	50.18	none	none
3H	12_11102	50.18	none	none
3H	12_30583	50.18	none	none
3H	12_30922	50.96	none	none
3H	12_30923	50.96	none	none
3H	12_31015	50.96	none	none
3H	12_11387	50.96	none	none
3H	11_11313	51.73	none	none
3H	12_11511	51.73	none	none
3H	11_21109	51.73	none	none
3H	11_21197	51.73	none	none
3H	12_30680	51.73	none	none
3H	12_10233	51.73	none	none
3H	11_10380	51.73	none	none
3H	11_11258	52.5	none	none
3H	12_30799	52.5	none	none
3H	11_21129	52.5	none	none
3H	11_20866	52.5	none	none
3H	12_30618	53.27	none	none
3H	11_11086	53.27	none	none
3H	12_31008	54.4	none	none
3H	12_20574	54.4	none	none
3H	12_21475	54.4	none	none
3H	12_11265	54.4	none	none
3H	12_30262	54.4	none	none
3H	11_11502	54.4	none	none
3H	12_10391	54.4	none	none
3H	12_11295	54.4	none	none
3H	11_11099	54.4	none	none
3H	12_21411	54.4	none	none
3H	11_10137	54.4	none	none
3H	12_11518	54.4	none	none
3H	11_20970	54.4	none	none
3H	12_30318	54.4	none	none
3H	12_30130	54.4	none	none
3H	11_10328	54.4	none	none
3H	12_30039	54.4	none	none
3H	12_31372	54.4	none	none
3H	12_20591	54.4	none	none
3H	11_11501	54.4	none	none
3H	12_10784	55.57	none	none
3H	12_10155	55.57	none	none
3H	12_30809	55.57	none	none
3H	11_10365	55.57	none	none
3H	11_10008	56.4	none	none
3H	11_20428	56.4	none	none
3H	11_20856	56.4	none	none
3H	11_21062	56.4	none	none
3H	11_20796	56.4	none	none
3H	11_10456	56.4	none	none
3H	11_20333	56.4	none	none
3H	11_11124	56.4	none	none
3H	11_20583	56.4	none	none
3H	12_30126	56.4	none	none
3H	11_21472	56.4	none	none
3H	11_20288	56.4	none	none
3H	11_10437	56.4	none	none
3H	11_11283	56.4	none	none
